"","species"
"1","Abramis_brama"
"2","Alburnoides_bipunctatus"
"3","Alternanthera_philoxeroides"
"4","Ambloplites_rupestris"
"5","Ameiurus_natalis"
"6","Amia_calva"
"7","Barbatula_barbatula"
"8","Bithynia_tentaculata"
"9","Carassius_carassius"
"10","Carassius_gibelio"
"11","Cercopagis_pengoi"
"12","Channa_argus"
"13","Corbicula_fluminea"
"14","Cyprinella_lutrensis"
"15","Dikerogammarus_villosus"
"16","Dorosoma_cepedianum"
"17","Dreissena_polymorpha"
"18","Esox_lucius"
"19","Esox_masquinongy"
"20","Esox_reichertii"
"21","Gambusia_affinis"
"22","Gila_atraria"
"23","Gymnocephalus_cernua"
"24","Hydrilla_verticillata"
"25","Hydrocharis_dubia"
"26","Hydrocharis_morsus-ranae"
"27","Ictalurus_furcatus"
"28","Lepisosteus_osseus"
"29","Lepisosteus_platostomus"
"30","Lepomis_cyanellus"
"31","Lepomis_gibbosus"
"32","Lepomis_humilis"
"33","Lepomis_macrochirus"
"34","Lepomis_megalotis"
"35","Lepomis_microlophus"
"36","Lepomis_peltastes"
"37","Leuciscus_aspius"
"38","Leuciscus_idus"
"39","Leuciscus_leuciscus"
"40","Marsilea_quadrifolia"
"41","Menidia_beryllina"
"42","Micropterus_salmoides"
"43","Misgurnus_anguillicaudatus"
"44","Myocastor_coypus"
"45","Myriophyllum_spicatum"
"46","Mytilopsis_leucophaeata"
"47","Najas_marina"
"48","Najas_minor"
"49","Neogobius_melanostomus"
"50","Nitellopsis_obtusa"
"51","Oreochromis_aureus"
"52","Oreochromis_mossambicus"
"53","Oreochromis_niloticus"
"54","Perca_fluviatilis"
"55","Perccottus_glenii"
"56","Phoxinus_phoxinus"
"57","Pisidium_amnicum"
"58","Poecilia_latipinna"
"59","Poecilia_reticulata"
"60","Polyodon_spathula"
"61","Pontastacus_leptodactylus"
"62","Pontogammarus_robustoides"
"63","Potamogeton_crispus"
"64","Potamopyrgus_antipodarum"
"65","Procambarus_clarkii"
"66","Procambarus_virginalis"
