"","species"
"1","Abramis_brama"
"2","Alburnoides_bipunctatus"
"3","Alternanthera_philoxeroides"
"4","Ambloplites_rupestris"
"5","Ameiurus_catus"
"6","Ameiurus_natalis"
"7","Amia_calva"
"8","Barbatula_barbatula"
"9","Bithynia_tentaculata"
"10","Carassius_carassius"
"11","Carassius_gibelio"
"12","Cercopagis_pengoi"
"13","Channa_argus"
"14","Corbicula_fluminea"
"15","Cyprinella_lutrensis"
"16","Dikerogammarus_villosus"
"17","Dorosoma_cepedianum"
"18","Dreissena_polymorpha"
"19","Erimyzon_sucetta"
"20","Esox_lucius"
"21","Esox_masquinongy"
"22","Esox_reichertii"
"23","Gambusia_affinis"
"24","Gila_atraria"
"25","Gymnocephalus_cernua"
"26","Hydrilla_verticillata"
"27","Hydrocharis_morsus-ranae"
"28","Ictalurus_furcatus"
"29","Lepisosteus_oculatus"
"30","Lepisosteus_osseus"
"31","Lepisosteus_platostomus"
"32","Lepomis_cyanellus"
"33","Lepomis_gibbosus"
"34","Lepomis_humilis"
"35","Lepomis_macrochirus"
"36","Lepomis_megalotis"
"37","Lepomis_microlophus"
"38","Lepomis_peltastes"
"39","Leuciscus_aspius"
"40","Leuciscus_idus"
"41","Leuciscus_leuciscus"
"42","Marsilea_quadrifolia"
"43","Menidia_beryllina"
"44","Micropterus_salmoides"
"45","Misgurnus_anguillicaudatus"
"46","Myocastor_coypus"
"47","Myriophyllum_aquaticum"
"48","Myriophyllum_spicatum"
"49","Mytilopsis_leucophaeata"
"50","Najas_marina"
"51","Najas_minor"
"52","Neogobius_melanostomus"
"53","Nitellopsis_obtusa"
"54","Oreochromis_aureus"
"55","Oreochromis_mossambicus"
"56","Oreochromis_niloticus"
"57","Perca_fluviatilis"
"58","Perccottus_glenii"
"59","Phoxinus_phoxinus"
"60","Pisidium_amnicum"
"61","Poecilia_reticulata"
"62","Polyodon_spathula"
"63","Pomacea_canaliculata"
"64","Pontastacus_leptodactylus"
"65","Pontogammarus_robustoides"
"66","Potamogeton_crispus"
