"","species"
"1","Abramis_brama"
"2","Alburnoides_bipunctatus"
"3","Ambloplites_rupestris"
"4","Ameiurus_catus"
"5","Ameiurus_natalis"
"6","Amia_calva"
"7","Barbatula_barbatula"
"8","Bithynia_tentaculata"
"9","Carassius_carassius"
"10","Carassius_gibelio"
"11","Cercopagis_pengoi"
"12","Channa_argus"
"13","Corbicula_fluminea"
"14","Dorosoma_cepedianum"
"15","Dreissena_polymorpha"
"16","Enneacanthus_gloriosus"
"17","Esox_lucius"
"18","Esox_masquinongy"
"19","Gila_atraria"
"20","Gymnocephalus_cernua"
"21","Hydrilla_verticillata"
"22","Hydrocharis_morsus-ranae"
"23","Lagarosiphon_major"
"24","Lepisosteus_oculatus"
"25","Lepisosteus_osseus"
"26","Lepomis_cyanellus"
"27","Lepomis_gibbosus"
"28","Lepomis_macrochirus"
"29","Lepomis_megalotis"
"30","Lepomis_microlophus"
"31","Lepomis_peltastes"
"32","Leuciscus_aspius"
"33","Leuciscus_idus"
"34","Leuciscus_leuciscus"
"35","Marsilea_quadrifolia"
"36","Micropterus_salmoides"
"37","Misgurnus_anguillicaudatus"
"38","Myocastor_coypus"
"39","Myriophyllum_aquaticum"
"40","Myriophyllum_spicatum"
"41","Najas_marina"
"42","Najas_minor"
"43","Neogobius_melanostomus"
"44","Nitellopsis_obtusa"
"45","Perca_fluviatilis"
"46","Phoxinus_phoxinus"
"47","Pisidium_amnicum"
"48","Pontastacus_leptodactylus"
"49","Potamogeton_crispus"
"50","Potamopyrgus_antipodarum"
"51","Proterorhinus_semilunaris"
"52","Pseudorasbora_parva"
"53","Pylodictis_olivaris"
"54","Radix_auricularia"
"55","Rhodeus_amarus"
"56","Rutilus_rutilus"
"57","Sander_lucioperca"
"58","Sander_vitreus"
"59","Silurus_glanis"
"60","Sphaerium_corneum"
"61","Stratiotes_aloides"
"62","Thymallus_arcticus"
"63","Tinca_tinca"
"64","Trapa_natans"
"65","Valvata_piscinalis"
"66","Vimba_vimba"
"67","Alburnus_alburnus"
