species,native,established,aquatic,ref
Alburnus_alburnus,N ,N,Y,
Ameiurus_melas,N,N,Y,https://invasions.si.edu/nemesis/species_summary/164039
Atriplex_hortensis,N,N,N,"https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.87637450#:~:text=Welbaum%2C%202015).-,Overview,originated%20in%20the%20Indian%20subcontinent."
Bythotrephes_longimanus,N,N,Y,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=162
Cabomba_caroliniana,N,Y,Y,known in NS
Castor_canadensis,Y,Y,Y,https://www.fs.usda.gov/database/feis/animals/mammal/caca/all.html
Corbicula_fluminalis,N,N,Y,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.109136
Crassula_helmsii,N,N,Y,https://www.invasive-species.org/species/australian-swamp-stonecrop/
Ctenopharyngodon_idella,N,N,Y,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=514
Cyperus_iria,N,N,Y,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.17501
Cyperus_microiria,N,N,Y,http://vaplantatlas.org/index.php?do=plant&plant=4607&search=vicia
Cyperus_strigosus,N,N,Y,https://gobotany.nativeplanttrust.org/species/cyperus/strigosus/
Cyprinus_carpio,N,N,Y,KNOWN  
Daphnia_ambigua,DD,DD,Y,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.113794
Digitalis_grandiflora,N,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=287003
Elodea_nuttallii,N,N,Y,https://gobotany.nativeplanttrust.org/species/elodea/nuttallii/
Equisetum_palustre,Y,Y,N,https://www.wildflower.org/plants/result.php?id_plant=EQPA
Eriocheir_sinensis,N,N,Y,https://www.dfo-mpo.gc.ca/species-especes/profiles-profils/chinesemittencrab-crabechinoisamitaine-eng.html
Faxonius_limosus,N,Y,Y,KNOWN
Faxonius_rusticus,N,N,Y,KNOWN
Faxonius_virilis,N,N,Y,KNOWN
Filipendula_rubra,N,N,Y,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=x930
Filipendula_vulgaris,N,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286347
Galium_uliginosum,N,N,Y,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128596/Galium_uliginosum
Gammarus_tigrinus,Y,Y,Y,https://invasions.si.edu/nemesis/species_summary/93781
Geranium_sylvaticum,N,N,N,https://www.first-nature.com/flowers/geranium-sylvaticum.php
Geum_aleppicum,DD,DD,N,http://ontariowildflowers.com/main/species.php?id=206
Glossostigma_cleistanthum,N,N,Y,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=257
Glyceria_declinata,N,N,Y,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.114599
Glyceria_maxima,N,N,Y,https://nas.er.usgs.gov/queries/GreatLakes/FactSheet.aspx?Species_ID=1120
Goodyera_repens,Y,Y,N,https://www.fs.usda.gov/database/feis/plants/forb/goorep/all.html
Gratiola_officinalis,DD,DD,Y,https://www.rhs.org.uk/plants/33621/gratiola-officinalis/details
Hemimysis_anomala,N,N,Y,https://nas.er.usgs.gov/queries/greatlakes/FactSheet.aspx?Species_ID=2627
Ictalurus_punctatus,N,N,Y,KNOWN
