"","species"
"1","Abramis_brama"
"2","Alburnoides_bipunctatus"
"3","Ambloplites_rupestris"
"4","Ameiurus_catus"
"5","Ameiurus_natalis"
"6","Amia_calva"
"7","Barbatula_barbatula"
"8","Bithynia_tentaculata"
"9","Carassius_carassius"
"10","Carassius_gibelio"
"11","Cercopagis_pengoi"
"12","Channa_argus"
"13","Corbicula_fluminea"
"14","Cyprinella_lutrensis"
"15","Dikerogammarus_villosus"
"16","Dorosoma_cepedianum"
"17","Dreissena_polymorpha"
"18","Enneacanthus_gloriosus"
"19","Erimyzon_sucetta"
"20","Esox_lucius"
"21","Esox_masquinongy"
"22","Gambusia_affinis"
"23","Gila_atraria"
"24","Gymnocephalus_cernua"
"25","Hydrilla_verticillata"
"26","Hydrocharis_morsus-ranae"
"27","Ictalurus_furcatus"
"28","Lepisosteus_oculatus"
"29","Lepisosteus_osseus"
"30","Lepisosteus_platostomus"
"31","Lepomis_cyanellus"
"32","Lepomis_gibbosus"
"33","Lepomis_humilis"
"34","Lepomis_macrochirus"
"35","Lepomis_megalotis"
"36","Lepomis_microlophus"
"37","Lepomis_peltastes"
"38","Leuciscus_aspius"
"39","Leuciscus_idus"
"40","Leuciscus_leuciscus"
"41","Marsilea_quadrifolia"
"42","Menidia_beryllina"
"43","Micropterus_salmoides"
"44","Misgurnus_anguillicaudatus"
"45","Myocastor_coypus"
"46","Myriophyllum_aquaticum"
"47","Myriophyllum_spicatum"
"48","Najas_marina"
"49","Najas_minor"
"50","Neogobius_melanostomus"
"51","Nitellopsis_obtusa"
"52","Oreochromis_aureus"
"53","Oreochromis_niloticus"
"54","Perca_fluviatilis"
"55","Perccottus_glenii"
"56","Phoxinus_phoxinus"
"57","Pisidium_amnicum"
"58","Poecilia_reticulata"
"59","Polyodon_spathula"
"60","Potamogeton_crispus"
"61","Potamopyrgus_antipodarum"
"62","Procambarus_clarkii"
"63","Proterorhinus_semilunaris"
"64","Pseudorasbora_parva"
"65","Pterygoplichthys_pardalis"
