"","species_common.x","species_latin","Family","Qu.1","RationaleQu1","Qu.2","RationaleQu.2","Qu.3","RationaleQu.3","Qu.4","RationaleQu.4","Global environmental risk","AISR_Listing","Secondary_Assessment","Science_Support","Notes.x","species_common.y","taxa","listed_elsewhere","pet_aquarium","Aquaculture","rec_fish","biofouler","Bilge Water","water_garden","possible_to_overwinter","suitable_hab_suspected","Notes.y"
"1","Abbott's rivulus","Abbottina rivularis","Cyprinidae",1,"The main pathway for A. rivularis is the fish seed transfer between farms.",3,"Abbottina rivularis inhabits lowland aquatic habitats such as irrigation channels, ponds, and lakes (Hosoya 2005). A. rivularis is found in rivers, lakes, reservoirs, canals, and marshes. It keeps to the water surface in stagnant waters and inhabits the shallow zones of lentic rivers, lakes and ponds with sandy or muddy bottoms.",2,"A. rivularis competes with native species, and has displaced native species in Central Asia. It probably hybridizes with the native Turkestan gudgeon (Gobio gobio lepidolaemus) (Mitrofanov et al., 1988).",1,"A. rivularis is considered as a pest in fish farms where it competes with commercial species for food.",7,"Yes","No","Yes","unclear if it could survive in our climate based on the species temperature tolerance","Abbott's rivulus","Fish",NA,"Yes","Yes","No","No","No","No","Yes","Yes",NA
"2","American Skunk Cabbage","Lysichiton americanus","Araceae",1,"While the species is considered invasive in the EU, it is native to the west coast of N America and has not shown a propensity to further its range. It's not a very popular plant for water gardens because of it's noxious smell.",1,"This species has not shown to colonize much beyond it's native range in BC and the western USA, therefore it is not considered a threat to high value habtiat in Canada.",1,"No indication of strong impacts on native plants except for its large leaves potentially causing issues with sun penetration to lower levels",2,"If it becomes established as a monoculture (has potentially happened in Europe apparently), it can have detrimental effects on the overall ecosystem but these reports of it happening are unconfirmed and may not actually have occurred. It also has particularly deep rhizomes which can make management difficult.",5,"No","No","No",NA,"American Skunk Cabbage","Plant",NA,"No","No","No","No","Yes","Yes","Yes","No",NA
"3","Amur pike","Esox reichertii","Esocidae",1,"Only one report of intention introduction in Pennsylvania, which is considered not-established (Fuller 2022).",1,"not yet found outside of native range.",1,"No data available that suggests this species has established outside of native range. Therefore, little information available on impacts.",1,"same as previous responses",4,"No","No","No",NA,"Amur pike","Fish","USFW, USGS","No","No","Yes","No","No","No","uncertain","uncertain",NA
"4","Amur river clam","Potamocorbula amurensis","Corbulidae",3,"Corbula amurensis larvae were shown to be pelagic for 2-3 weeks in the laboratory (Nicolini and Penry, 2000) and Thompson et al. (2008) show that this is sufficient time for larvae produced in the northern estuary to transit the 40 plus km and settle in the southern estuary. The species may  also be spread through ballast water.",3,"Potamocorbula amurensis have been observed in all habitats except epifaunal (i.e. attached to hard substrate) habitats in the SFE. They prefer mid-intertidal to subtidal ranges but large populations can be found in the high intertidal. Individuals have been collected in silt, clay, hard-pack clay, sand, gravel, peaty mud and shell hash.",3,"Potamocorbula amurensis has eliminated the appearance of two bivalves that used to invade the mesohaline (salinity of 5-18) portion of the estuary during dry and wet periods. Species ability to rapidly increase ppulation size and their ability to filer zooplankton out of the water have been hypothesized to have caused or contributed to a shift in foob webs. There has been a reduction in zooplankton and mysid shrimp concurrent with the invasion of P. amurensis, both of which are important prey for larval and adult fish.",3,"hypothesized to have altered food webs through competition for resources with natiev fish species",12,"yes","No","no","present in ""high intertidal"" is that considered close enough to freshwater to be included in this list of species?","Amur river clam","Mollusc","NIMBUS","No","Yes","No","Yes","Yes","No","Yes","Yes","salt water?"
"5","Amur sleeper","Perccottus glenii","Odontobutidae",3,"This species has a predicted to be introduced to the Great Lakes either through ballast water transfers, use as bait, pond stocking, or aquarium releases (Baker et al. 2022). The species has been reported as invasive in multiple European countries with similar climates to NS (Baker et al. 2022). Although this species is unlikely to be introduced to Maritimes through ballast water, it is possible that these introduction occur through aquarium release. Once established, the species spreads widely through connected watersheds and can spread further during high-flooding events.",3,"This species is highly tolerant to a range of environmentals thresholds, including brackish environments, water bodies that have low dissolve oxygen ocncentration, and eutrophic or near-eutrophic systems (Baker et al. 2022). P. glenii would be particularly impactful on SARA listed and COSEWIC lsited species that are small-bodied fish such as Atlantic whitefish, Lake Utopia rainbow smelt, and red-sided dace.",3,"P. glenii has a high fecundity for a nest-gaurding fish, which increases their reproductive success and can result in monospecific fish communities (Baker et al. 2022; Kutsokon et al. 2021). Morevoer, P. glenii is a parasite host for a number of parasites (listed in Baker et al. 2022). These non-native parasites' range expansions have been linked to the range expansion of this fish in Europe. Also, P. glenii reduces the feeding rate of native species through agressive copmpetition. P. glenii consumes relative large portions of benthic macroinvertebrates, leading the slowed growth and population declines of native species. Lastly, P. glenii has been linked with population declines of multiple native fish species (Baker et al. 2022).",2,"Litertaure of modifications to ecosystem function were not located for this assessment. However, my expert opinion is that P. glenii is likely to alter ecosystem functioning through shift in foodweb structure.",11,"Yes","No","Yes","Should conduct a detailed-level risk assessment to predict areas mostly at risk of introduction.","Amur sleeper","Fish","USFW, USGS","Yes","No","No","No","Yes","Yes","Yes","Yes",NA
"6","Annual Beardgrass","Polypogon monspeliensis","Poaceae",1,"Widespread throughout NA and the world, this species does not seem to have a propensity to invade further than it has. It is not a common",1,"Rabbitsfoot grass prefers moist to wet conditions, including meadows, streams, ponds, lakes, ditches, seasonally wet locations, and disturbed sites. The grass is adaptable and found in a wide range of conditions including saline soils and brackish waters at elevations between 100-8200 feet. (It can't really affect waterways)",2,"As an exotic annual species, rabbitsfoot grass can form dense stands that outcompete native plants and limit their reproduction. Seeds can germinate while still attached to the parent stem.",1,"Typically restricted to moist areas where it can form dense stands and outcompete native vegetation.",5,"No","No","No",NA,"Annual Beardgrass","Plant",NA,"No","No","No","No","Yes","Yes","Yes","Yes",NA
"7","Arctic grayling","Thymallus arcticus","Salmonidae",1,"The species can be found in Northern Canada and Western US, but is unlikely to find suitable habitat in Atlantic Canada due to the preferrence for cold, clear, deep lakes at higher altitude. The only known establishments of T. arcticus are where humans have intentionally stocked the species (Fuller et al. 2022).",1,"Unliekly to become established in Maritiems due to habitat preferences. However, if introduced and successfully established, some inter-species competition would be expected.",2,"If introduced and established T. arcticus would likely be prey upon by trout and salmon (Cutting et al. 2016).",2,"Possible to have some impacts on food webs due to predation on tourt and salmon.",6,"No","No","Yes","What is this species ability to establish in non-alpine environments?","Arctic grayling","Fish","USFW, USGS","No","No","Yes","No","No","No","Yes","uncertain",NA
"8","Arrowhead","Sagittaria sagittifolia","Alismataceae",2,"Although it is widely considered to be a weed of natural, anthropogenic and agricultural systems, there is little information about its specific impact. A recent weed risk assessment for this species rates it as having a high risk of becoming weedy or invasive in the United States. Sagittaria sagittifolia is regarded as having a medium to high risk of introduction due to its use as food or as an ornamental",2,"This species could definetly colonize areas of high value if allowed to invade. Instances of it happening around the world have been documented.",2,"Known to compete with native species, but not much documentation on this subject.",2,"Sagittaria sagittifolia can produce masses of underwater vegetation that could interfere with water flow. It can overgrow small ponds and detrimentally affect the oxygen regime. Forms floating mats, blocking irrigation ditches, shallow dams and waterways.",8,"Yes","Yes","No",NA,"Aarowhead","Plant",NA,"No","No","No","No","Yes","Yes","Yes","Yes",NA
"9","Asian clam","Corbicula fluminea","Corbiculidae",3,"This species is widely distributed throughout North America and can inhabit both freshwater and brackish water ecosystems. There exist multiple vectors for primary introduction including human consumption, use as feed for aquaculture, aquarium release, use as fish bait, bilge water transfers, and biofouling. The species has cause considerable damage to infastructure. Additionally, this species is able to disperse naturally via water currents (Foster et al. 2022; Sabapathy Allen 2019).",2,"This species prefers finer sediments such as fine sand, oragnically-enriched fine sand, coarse sand, and gavel (presumably small-size gravel)(Sabapathy Allen 2019). Therefore, although not all Maritime lakes would offer such fine sediments, many areas where native bivalves are established would be equally suitable for C. fluminea. This would be particularly important to preventing this species introduction to yellow lampmussel and brook floater mussel habitat. Additionally, low pH in Southern and Central Nova Scotia may limit the species establishment.",2,"This species ecosystem impacts are similar to that of zebra and quagga mussels, with very high filtration raates per biomass. Light penetration is an expected outcome post -establishment, as are foodweb shifts and increased macrophyte growth. Also, nutrient cycling may be impacted by shfits in nitrogen and phosphorous cycling and increased bioturbation from bivalve movement  (Sabapathy Allen 2019). However, these impacts would be restricted to areas where the species is able to become established.",3,"In areas where the species is able to established, it is expected that those eocsystems would be greatly impacted. Specific eocsystems functions expected to be impacted by C. fluminea include nutrient cycling, plant growth, food web structure, light interception, and changes in ecosystem composition (Sabapathy Allen 2019).",10,"Yes","No","Yes","Should conduct a detailed-level risk assessment to predict areas mostly at risk of introduction.","Asian clam","Mollusc","AISR, USGS","No","No","No","Yes","Yes","No","Yes","Yes",NA
"10","Asian Semele","Theora lubrica","Semelidae",3,"T. lubrica has shown a wide capacity to colonize other geographical regions and has a quickly reproducing population. Shipping activity is the most likely pathway of introduction of this alien species in the new settlements. Spawning and recruitment occur year-round and the species is highly opportunistic and tolerant of poor water quality.",2,"bays, basins, ports and harbours. In these ambient conditions, it lives on the surface of subtidal soft-bottoms",1,"Ecological impacts are not clear, because it is an opportunistic colonizer of highly disturbed environments, where much of the native fauna has been extirpated",1,"Ecological impacts are not clear, because it is an opportunistic colonizer of highly disturbed environments, where much of the native fauna has been extirpated. Suspected to impact successional patterns.",7,"Yes","No","Yes","Science advice on its impacts would be beneficial to support listing this species. This species does not inhabit freshwater habitats, only marine.","NA","Mollusc",NA,"No","Yes","No","Yes","Yes","No","uncertain","Yes","Appears to be a marine species"
