"","species"
"1","Abramis_brama"
"2","Alternanthera_philoxeroides"
"3","Ambloplites_rupestris"
"4","Ameiurus_natalis"
"5","Amia_calva"
"6","Barbatula_barbatula"
"7","Bithynia_tentaculata"
"8","Carassius_carassius"
"9","Carassius_gibelio"
"10","Channa_argus"
"11","Corbicula_fluminea"
"12","Cyprinella_lutrensis"
"13","Dikerogammarus_villosus"
"14","Dorosoma_cepedianum"
"15","Dreissena_polymorpha"
"16","Esox_lucius"
"17","Esox_masquinongy"
"18","Esox_reichertii"
"19","Gambusia_affinis"
"20","Gila_atraria"
"21","Gymnocephalus_cernua"
"22","Hydrilla_verticillata"
"23","Hydrocharis_morsus-ranae"
"24","Ictalurus_furcatus"
"25","Lepisosteus_osseus"
"26","Lepisosteus_platostomus"
"27","Lepomis_cyanellus"
"28","Lepomis_gibbosus"
"29","Lepomis_humilis"
"30","Lepomis_macrochirus"
"31","Lepomis_megalotis"
"32","Lepomis_microlophus"
"33","Lepomis_peltastes"
"34","Leuciscus_idus"
"35","Menidia_beryllina"
"36","Micropterus_salmoides"
"37","Myriophyllum_spicatum"
"38","Najas_marina"
"39","Najas_minor"
"40","Neogobius_melanostomus"
"41","Nitellopsis_obtusa"
"42","Oreochromis_aureus"
"43","Oreochromis_mossambicus"
"44","Oreochromis_niloticus"
"45","Perca_fluviatilis"
"46","Perccottus_glenii"
"47","Phoxinus_phoxinus"
"48","Pisidium_amnicum"
"49","Poecilia_latipinna"
"50","Poecilia_reticulata"
"51","Polyodon_spathula"
"52","Potamogeton_crispus"
"53","Potamopyrgus_antipodarum"
"54","Procambarus_clarkii"
"55","Proterorhinus_semilunaris"
"56","Pseudorasbora_parva"
"57","Pylodictis_olivaris"
"58","Radix_auricularia"
"59","Rutilus_rutilus"
"60","Sander_lucioperca"
"61","Sander_vitreus"
"62","Silurus_asotus"
"63","Sphaerium_corneum"
"64","Stratiotes_aloides"
"65","Thymallus_arcticus"
"66","Tinca_tinca"
"67","Trapa_natans"
"68","Valvata_piscinalis"
"69","Abbottina_rivularis"
"70","Alburnus_alburnus"
"71","Alternanthera_sessilis"
"72","Ameiurus_melas"
"73","Atriplex_hortensis"
"74","Boltonia_asteroides"
"75","Bythotrephes_longimanus"
"76","Castor_canadensis"
"77","Clupeonella_cultriventris"
"78","Coregonus_albula"
"79","Ctenopharyngodon_idella"
"80","Cyperus_strigosus"
"81","Cyprinus_carpio"
"82","Daphnia_lumholtzi"
"83","Digitalis_grandiflora"
"84","Elodea_nuttallii"
"85","Equisetum_palustre"
"86","Faxonius_rusticus"
"87","Faxonius_virilis"
"88","Filipendula_rubra"
"89","Filipendula_vulgaris"
"90","Galium_uliginosum"
"91","Geranium_sylvaticum"
"92","Geum_aleppicum"
"93","Glyceria_maxima"
"94","Goodyera_repens"
"95","Gratiola_officinalis"
"96","Hemibarbus_maculatus"
"97","Hemiculter_leucisculus"
"98","Hemimysis_anomala"
"99","Hieracium_piloselloides"
"100","Ictalurus_punctatus"
"101","Ipomoea_purpurea"
"102","Juncus_compressus"
"103","Juncus_ensifolius"
"104","Lemna_minuta"
"105","Lepomis_gulosus"
"106","Leucaspius_delineatus"
"107","Ligustrum_sinense"
"108","Limosella_aquatica"
"109","Lysichiton_americanus"
"110","Lysichiton_camtschatcensis"
"111","Lythrum_portula"
"112","Lythrum_virgatum"
"113","Marsilea_minuta"
"114","Mentha_aquatica"
"115","Micropterus_dolomieu"
"116","Montia_fontana"
"117","Muhlenbergia_frondosa"
"118","Myriophyllum_heterophyllum"
"119","Mysis_relicta"
"120","Nasturtium_microphyllum"
"121","Nuphar_pumila"
"122","Nymphaea_tetragona"
"123","Oenothera_flava"
"124","Oenothera_parviflora"
"125","Oncorhynchus_tshawytscha"
"126","Piaractus_brachypomus"
"127","Pimephales_promelas"
"128","Polygonum_ramosissimum"
"129","Polypogon_monspeliensis"
"130","Pomoxis_annularis"
"131","Pomoxis_nigromaculatus"
"132","Potamogeton_compressus"
"133","Potentilla_supina"
"134","Prunella_laciniata"
"135","Pulicaria_dysenterica"
"136","Rorippa_austriaca"
"137","Rorippa_curvisiliqua"
"138","Rotala_ramosior"
"139","Rumex_thyrsiflorus"
"140","Sagittaria_sagittifolia"
"141","Salicornia_europaea"
"142","Salmo_salar"
"143","Salvelinus_namaycush"
"144","Sanguisorba_officinalis"
"145","Scardinius_erythrophthalmus"
"146","Sesbania_herbacea"
"147","Typha_domingensis"
"148","Typha_glauca"
"149","Urena_lobata"
"150","Xiphophorus_hellerii"
"151","Xiphophorus_maculatus"
"152","Arundo_donax"
"153","Hedychium_coronarium"
"154","Imperata_cylindrica"
"155","Sporobolus_pyramidatus"
"156","Tetragonia_tetragonioides"
"157","Aconitum_lycoctonum"
"158","Alchemilla_glaucescens"
"159","Alyssum_simplex"
"160","Amaranthus_blitum"
"161","Amaranthus_hybridus"
"162","Amaranthus_viridis"
"163","Amsonia_tabernaemontana"
"164","Apera_interrupta"
"165","Bassia_prostrata"
"166","Bidens_pilosa"
"167","Brachypodium_sylvaticum"
"168","Bromus_japonicus"
"169","Bromus_kalmii"
"170","Bromus_squarrosus"
"171","Caltha_leptosepala"
"172","Cardamine_parviflora"
"173","Carlina_vulgaris"
"174","Catharanthus_roseus"
"175","Caucalis_platycarpos"
"176","Cirsium_ochrocentrum"
"177","Cuscuta_approximata"
"178","Cyclachaena_xanthiifolia"
"179","Cynodon_dactylon"
"180","Echinops_sphaerocephalus"
"181","Eragrostis_curvula"
"182","Euphorbia_glyptosperma"
"183","Filago_arvensis"
"184","Filipendula_ulmaria"
"185","Galeopsis_speciosa"
"186","Galium_album"
"187","Gamochaeta_pensylvanica"
"188","Geranium_lucidum"
"189","Geranium_nepalense"
"190","Geranium_pratense"
"191","Glyceria_declinata"
"192","Gypsophila_paniculata"
"193","Helianthus_annuus"
"194","Helianthus_laetiflorus"
"195","Heliotropium_curassavicum"
"196","Hibiscus_trionum"
"197","Holosteum_umbellatum"
"198","Hovenia_dulcis"
"199","Iris_sibirica"
"200","Lamium_galeobdolon"
"201","Lepidium_appelianum"
"202","Leucanthemella_serotina"
"203","Leymus_innovatus"
"204","Ligusticum_scoticum"
"205","Linaria_genistifolia"
"206","Lobelia_siphilitica"
"207","Lonicera_alpigena"
"208","Lonicera_japonica"
"209","Lupinus_perennis"
"210","Lupinus_plattensis"
"211","Luzula_campestris"
"212","Maianthemum_stellatum"
"213","Malva_sylvestris"
"214","Matthiola_longipetala"
"215","Medicago_polymorpha"
"216","Medicago_rigidula"
"217","Mirabilis_jalapa"
"218","Miscanthus_sinensis"
"219","Mycelis_muralis"
"220","Nepeta_racemosa"
"221","Nicandra_physalodes"
"222","Ophrys_insectifera"
"223","Opuntia_humifusa"
"224","Opuntia_macrorhiza"
"225","Papaver_radicatum"
"226","Parietaria_judaica"
"227","Parietaria_pensylvanica"
"228","Petrorhagia_prolifera"
"229","Phacelia_ciliata"
"230","Phedimus_aizoon"
"231","Physalis_angulata"
"232","Physalis_longifolia"
"233","Pimpinella_saxifraga"
"234","Plantago_patagonica"
"235","Poa_angustifolia"
"236","Poa_supina"
"237","Polygonum_arenarium"
"238","Polygonum_bistorta"
"239","Potentilla_pensylvanica"
"240","Primula_elatior"
"241","Puccinellia_hauptiana"
"242","Puccinellia_nuttalliana"
"243","Raphanus_sativus"
"244","Reseda_luteola"
"245","Ricinus_communis"
"246","Rumex_confertus"
"247","Rumex_crispus"
"248","Sagina_saginoides"
"249","Salsola_soda"
"250","Salvia_verticillata"
"251","Scabiosa_ochroleuca"
"252","Schoenus_ferrugineus"
"253","Scleranthus_perennis"
"254","Secale_montanum"
"255","Seseli_libanotis"
"256","Sidalcea_malviflora"
"257","Silene_antirrhina"
"258","Silene_sibirica"
"259","Sinapis_arvensis"
"260","Sisymbrium_irio"
"261","Smelowskia_calycina"
"262","Solanum_alatum"
"263","Solanum_nigrum"
"264","Solanum_tuberosum"
"265","Sphaerophysa_salsula"
"266","Stachys_byzantina"
"267","Tagetes_erecta"
"268","Tagetes_minuta"
"269","Tanacetum_balsamita"
"270","Taraxacum_laevigatum"
"271","Thalictrum_minus"
"272","Thymelaea_passerina"
"273","Thymus_pulegioides"
"274","Thymus_serpyllum"
"275","Torilis_japonica"
"276","Tradescantia_ohiensis"
"277","Trifolium_diffusum"
"278","Trifolium_medium"
"279","Trifolium_montanum"
"280","Tulipa_sylvestris"
"281","Verbascum_chaixii"
"282","Verbascum_nigrum"
"283","Verbena_urticifolia"
"284","Veronica_biloba"
"285","Veronica_verna"
"286","Vicia_sylvatica"
"287","Vicia_tenuifolia"
"288","Vinca_major"
"289","Viola_canadensis"
"290","Xanthium_spinosum"
"291","Astragalus_galegiformis"
"292","Cabomba_caroliniana"
"293","Capsicum_annuum"
"294","Cynosurus_echinatus"
"295","Cyperus_difformis"
"296","Cyperus_iria"
"297","Ficus_carica"
"298","Galega_officinalis"
"299","Iris_spuria"
"300","Mosla_dianthera"
"301","Rosa_micrantha"
"302","Rudbeckia_triloba"
"303","Salvia_viridis"
"304","Sedum_album"
"305","Stachys_cretica"
"306","Heteranthera_rotundifolia"
