"","species"
"1","Ambloplites_rupestris"
"2","Ameiurus_natalis"
"3","Barbatula_barbatula"
"4","Bithynia_tentaculata"
"5","Carassius_carassius"
"6","Carassius_gibelio"
"7","Corbicula_fluminea"
"8","Cyprinella_lutrensis"
"9","Dorosoma_cepedianum"
"10","Dreissena_polymorpha"
"11","Esox_lucius"
"12","Esox_masquinongy"
"13","Gambusia_affinis"
"14","Gila_atraria"
"15","Gymnocephalus_cernua"
"16","Hydrilla_verticillata"
"17","Hydrocharis_morsus-ranae"
"18","Lepisosteus_platostomus"
"19","Lepomis_cyanellus"
"20","Lepomis_gibbosus"
"21","Lepomis_humilis"
"22","Lepomis_macrochirus"
"23","Lepomis_megalotis"
"24","Lepomis_peltastes"
"25","Leuciscus_leuciscus"
"26","Micropterus_salmoides"
"27","Misgurnus_anguillicaudatus"
"28","Myriophyllum_spicatum"
"29","Najas_marina"
"30","Neogobius_melanostomus"
"31","Nitellopsis_obtusa"
"32","Perca_fluviatilis"
"33","Phoxinus_phoxinus"
"34","Pisidium_amnicum"
"35","Potamogeton_crispus"
"36","Potamopyrgus_antipodarum"
"37","Proterorhinus_semilunaris"
"38","Pylodictis_olivaris"
"39","Radix_auricularia"
"40","Rutilus_rutilus"
"41","Sander_vitreus"
"42","Sphaerium_corneum"
"43","Stratiotes_aloides"
"44","Thymallus_arcticus"
"45","Trapa_natans"
"46","Valvata_piscinalis"
"47","Alburnus_alburnus"
"48","Ameiurus_melas"
"49","Atriplex_hortensis"
"50","Boltonia_asteroides"
"51","Bythotrephes_longimanus"
"52","Castor_canadensis"
"53","Clupeonella_cultriventris"
"54","Coregonus_albula"
"55","Ctenopharyngodon_idella"
"56","Cyprinus_carpio"
"57","Digitalis_grandiflora"
"58","Elodea_nuttallii"
"59","Equisetum_palustre"
"60","Faxonius_rusticus"
"61","Faxonius_virilis"
"62","Filipendula_vulgaris"
"63","Galium_uliginosum"
"64","Geranium_sylvaticum"
"65","Geum_aleppicum"
"66","Glyceria_maxima"
"67","Goodyera_repens"
"68","Hieracium_piloselloides"
"69","Ictalurus_punctatus"
"70","Ipomoea_purpurea"
"71","Juncus_compressus"
"72","Juncus_ensifolius"
"73","Lemna_minuta"
"74","Leucaspius_delineatus"
"75","Limosella_aquatica"
"76","Lysichiton_americanus"
"77","Lysichiton_camtschatcensis"
"78","Lythrum_portula"
"79","Lythrum_virgatum"
"80","Mentha_aquatica"
"81","Micropterus_dolomieu"
"82","Montia_fontana"
"83","Myriophyllum_heterophyllum"
"84","Mysis_relicta"
"85","Neyraudia_reynaudiana"
"86","Nuphar_pumila"
"87","Nymphaea_tetragona"
"88","Oenothera_flava"
"89","Oenothera_parviflora"
"90","Oncorhynchus_tshawytscha"
"91","Osmerus_eperlanus"
"92","Pacifastacus_leniusculus"
"93","Pimephales_promelas"
"94","Polygonum_bistorta"
"95","Polygonum_plebeium"
"96","Polygonum_ramosissimum"
"97","Polypogon_monspeliensis"
"98","Pomoxis_annularis"
"99","Pomoxis_nigromaculatus"
"100","Potamogeton_compressus"
"101","Potentilla_supina"
"102","Rorippa_curvisiliqua"
"103","Rumex_thyrsiflorus"
"104","Sagittaria_sagittifolia"
"105","Salicornia_europaea"
"106","Salmo_salar"
"107","Salvelinus_namaycush"
"108","Sanguisorba_officinalis"
"109","Tropaeolum_majus"
"110","Typha_glauca"
"111","Xiphophorus_hellerii"
"112","Xiphophorus_maculatus"
"113","Hedychium_coronarium"
"114","Imperata_cylindrica"
"115","Aconitum_lycoctonum"
"116","Alchemilla_glaucescens"
"117","Alyssum_simplex"
"118","Amaranthus_blitum"
"119","Amaranthus_hybridus"
"120","Apera_interrupta"
"121","Astragalus_galegiformis"
"122","Bassia_prostrata"
"123","Bidens_pilosa"
"124","Brachypodium_sylvaticum"
"125","Bromus_japonicus"
"126","Bromus_kalmii"
"127","Bromus_squarrosus"
"128","Caltha_leptosepala"
"129","Capsicum_annuum"
"130","Cardamine_parviflora"
"131","Caucalis_platycarpos"
"132","Cirsium_ochrocentrum"
"133","Cuscuta_approximata"
"134","Cyclachaena_xanthiifolia"
"135","Cynodon_dactylon"
"136","Echinops_sphaerocephalus"
"137","Euphorbia_glyptosperma"
"138","Filago_arvensis"
"139","Filipendula_ulmaria"
"140","Galeopsis_speciosa"
"141","Galium_album"
"142","Galium_saxatile"
"143","Gamochaeta_pensylvanica"
"144","Geranium_nepalense"
"145","Geranium_pratense"
"146","Gypsophila_paniculata"
"147","Helianthus_annuus"
"148","Heliotropium_curassavicum"
"149","Hibiscus_trionum"
"150","Holcus_mollis"
"151","Holosteum_umbellatum"
"152","Hovenia_dulcis"
"153","Iris_sibirica"
"154","Lamium_confertum"
"155","Lamium_galeobdolon"
"156","Lepidium_appelianum"
"157","Leymus_innovatus"
"158","Ligusticum_scoticum"
"159","Ligustrum_sinense"
"160","Linaria_genistifolia"
"161","Lobelia_siphilitica"
"162","Lonicera_alpigena"
"163","Lonicera_japonica"
"164","Lupinus_perennis"
"165","Lupinus_plattensis"
"166","Luzula_campestris"
"167","Maianthemum_stellatum"
"168","Malva_sylvestris"
"169","Medicago_rigidula"
"170","Mirabilis_jalapa"
"171","Miscanthus_sinensis"
"172","Nepeta_racemosa"
"173","Nicandra_physalodes"
"174","Ononis_natrix"
