"","species","lon","lat"
"44737","Abbottina_rivularis",133.809998,34.540001
"44746","Abbottina_rivularis",122.540001,40.130001
"44766","Abbottina_rivularis",126.360001,46.25
"44771","Abbottina_rivularis",111.800003,23.129999
"44776","Abbottina_rivularis",102.599998,26.66
"44794","Abbottina_rivularis",136.130005,35.16
"44804","Abbottina_rivularis",126.809998,37.889999
"44806","Abbottina_rivularis",98.870003,24.969999
"44847","Abbottina_rivularis",140.550003,35.919998
"44857","Abbottina_rivularis",64.739998,40.27
"44865","Abbottina_rivularis",60.700001,41.650002
"44866","Abbottina_rivularis",131.130005,46.720001
"70813","Abbottina_rivularis",136.729996,35.290001
"70824","Abbottina_rivularis",123.459999,43.73
"70876","Abbottina_rivularis",119.540001,43.380001
"70887","Abbottina_rivularis",122.43,40.240002
"70893","Abbottina_rivularis",68.07,38.360001
"70896","Abbottina_rivularis",130.470001,32.959999
"84482","Abbottina_rivularis",132.05,44.56667
"84484","Abbottina_rivularis",132.38333,44.63333
"85116","Abbottina_rivularis",132.05806,44.58306
"94410","Abbottina_rivularis",110.739998,23.469999
"94439","Abbottina_rivularis",119.32,42.279999
"94453","Abbottina_rivularis",136.240005,48.919998
"94479","Abbottina_rivularis",110.059998,23.4
"94519","Abbottina_rivularis",67.660004,37.240002
"94527","Abbottina_rivularis",119.139999,39.459999
"96145","Abbottina_rivularis",71.3169,40.3664
"122338","Abbottina_rivularis",130.179993,33.25
"122355","Abbottina_rivularis",71.32,40.369999
"122392","Abbottina_rivularis",116.620003,40.93
"137549","Abbottina_rivularis",64.779999,40.07
"137601","Abbottina_rivularis",130.490005,32.919998
"137614","Abbottina_rivularis",98.529999,24.42
"153504","Abbottina_rivularis",69.389999,41.27
"153533","Abbottina_rivularis",98.970001,24.42
"153597","Abbottina_rivularis",136.589996,35.310001
"157482","Abbottina_rivularis",64.7433,40.2676
"158284","Abbottina_rivularis",127.760002,42.509998
"158297","Abbottina_rivularis",116.470001,40.360001
"174204","Abbottina_rivularis",116.625,40.3167
"214098","Abbottina_rivularis",126.73772,37.9015
"214101","Abbottina_rivularis",127.01592,36.17235
"214107","Abbottina_rivularis",127.36059,36.88516
"214110","Abbottina_rivularis",127.71797,36.51306
"214113","Abbottina_rivularis",126.75249,37.86688
"214116","Abbottina_rivularis",126.63852,37.60597
"214189","Abbottina_rivularis",68.0721,38.3631
"251736","Abbottina_rivularis",67.6606,37.2356
"303581","Abbottina_rivularis",60.7047,41.6508
"351048","Abbottina_rivularis",64.8917,40.1469
"374981","Abbottina_rivularis",127.44084,34.85558
"374986","Abbottina_rivularis",127.52141,34.90213
"374988","Abbottina_rivularis",127.44962,34.85711
"375002","Abbottina_rivularis",127.43641,34.85857
"381376","Abbottina_rivularis",132.089996,46.119999
"392510","Abbottina_rivularis",143.470556,46.820278
"392525","Abbottina_rivularis",143.120278,46.6275
"392545","Abbottina_rivularis",138.056111,49.433889
"398556","Abbottina_rivularis",98.530833,25.615556
"398559","Abbottina_rivularis",98.011861,24.671472
"398575","Abbottina_rivularis",98.891278,24.933361
"398576","Abbottina_rivularis",98.882361,24.94075
"402790","Abbottina_rivularis",130.40644,33.16421
"412239","Abbottina_rivularis",69.3892,41.2744
"435602","Abbottina_rivularis",128.229361,36.188111
"435605","Abbottina_rivularis",127.4364,34.85857
"435607","Abbottina_rivularis",126.658055,35.442302
"435619","Abbottina_rivularis",127.44962,34.85711
"435627","Abbottina_rivularis",126.603563,35.500922
"435630","Abbottina_rivularis",127.43641,34.85857
"435633","Abbottina_rivularis",126.626457,35.462128
"435637","Abbottina_rivularis",127.44084,34.85558
"435641","Abbottina_rivularis",127.52141,34.90213
"463093","Abbottina_rivularis",64.889999,40.150002
"466895","Abbottina_rivularis",140.278,36.071
"466898","Abbottina_rivularis",140.272,36.068
"466908","Abbottina_rivularis",123.733333,41.233333
"472035","Abbottina_rivularis",64.7784,40.071
