"","species","lon","lat"
"27331","Acanthogobius_flavimanus",-117.382298,33.208068
"27339","Acanthogobius_flavimanus",-118.45524,33.98536
"61669","Acanthogobius_flavimanus",145.001,-37.7969
"66082","Acanthogobius_flavimanus",144.93,-37.8467
"66083","Acanthogobius_flavimanus",144.913,-37.8683
"66086","Acanthogobius_flavimanus",144.965,-37.86
"66102","Acanthogobius_flavimanus",144.944,-37.8192
"66104","Acanthogobius_flavimanus",144.944,-37.8258
"66117","Acanthogobius_flavimanus",144.97,-37.8667
"66120","Acanthogobius_flavimanus",145,-37.7969
"66122","Acanthogobius_flavimanus",144.881,-37.746
"69574","Acanthogobius_flavimanus",145.0301,-37.8378
"70947","Acanthogobius_flavimanus",151.72499,-32.73849
"85050","Acanthogobius_flavimanus",106.666667,20.666667
"85170","Acanthogobius_flavimanus",139.924083,35.658944
"85171","Acanthogobius_flavimanus",139.82217,35.30288
"85172","Acanthogobius_flavimanus",139.649722,35.140833
"85173","Acanthogobius_flavimanus",139.958267,35.670117
"85174","Acanthogobius_flavimanus",139.941072,35.664683
"95736","Acanthogobius_flavimanus",145.02,-38.2
"95741","Acanthogobius_flavimanus",145.878,-38.6947
"95745","Acanthogobius_flavimanus",145.436,-38.2119
"95756","Acanthogobius_flavimanus",144.936,-37.8237
"95779","Acanthogobius_flavimanus",144.777,-37.93
"104786","Acanthogobius_flavimanus",-121.42522,37.739651
"107243","Acanthogobius_flavimanus",-117.13419,32.650053
"108628","Acanthogobius_flavimanus",-118.5054,33.993473
"108722","Acanthogobius_flavimanus",-121.55138,38.56598
"112318","Acanthogobius_flavimanus",-122.06463,38.18774
"112409","Acanthogobius_flavimanus",-121.35285,37.95707
"117945","Acanthogobius_flavimanus",-122.51775,37.849927
"117957","Acanthogobius_flavimanus",-121.6,38.5
"149214","Acanthogobius_flavimanus",137.2948,36.7569
"149259","Acanthogobius_flavimanus",144.91721,-37.86444
"149643","Acanthogobius_flavimanus",-117.592326,33.387504
"149646","Acanthogobius_flavimanus",-118.448333,33.981717
"152019","Acanthogobius_flavimanus",-122.3,38.1
"165105","Acanthogobius_flavimanus",113.5,22.283
"166505","Acanthogobius_flavimanus",145.8573,-38.6896
"171124","Acanthogobius_flavimanus",136.93413,34.71059
"171128","Acanthogobius_flavimanus",136.69199,35.17076
"171129","Acanthogobius_flavimanus",136.66315,35.13768
"171137","Acanthogobius_flavimanus",136.68387,35.06226
"173892","Acanthogobius_flavimanus",151.01209,-32.01409
"173938","Acanthogobius_flavimanus",151.20361,-33.77304
"180128","Acanthogobius_flavimanus",126.34301,36.46017
"226522","Acanthogobius_flavimanus",136.514525,34.726756
"226523","Acanthogobius_flavimanus",136.8417,35.006952
"226524","Acanthogobius_flavimanus",131.23,33.61
"226525","Acanthogobius_flavimanus",136.516199,34.612764
"226526","Acanthogobius_flavimanus",136.50965,34.612711
"226529","Acanthogobius_flavimanus",136.51,34.73
"226534","Acanthogobius_flavimanus",136.547441,34.606283
"226536","Acanthogobius_flavimanus",136.568524,34.807389
"226538","Acanthogobius_flavimanus",136.562129,34.811952
"226539","Acanthogobius_flavimanus",131.2,33.62
"257286","Acanthogobius_flavimanus",144.57,-38.02
"257293","Acanthogobius_flavimanus",145.511,-38.5739
"263644","Acanthogobius_flavimanus",141.18333,41.18389
"291795","Acanthogobius_flavimanus",144.8513,-37.7701
"291849","Acanthogobius_flavimanus",144.6719,-37.9723
"293941","Acanthogobius_flavimanus",130.113631,33.507609
"295804","Acanthogobius_flavimanus",-117.592743,33.387291
"328956","Acanthogobius_flavimanus",144.905,-37.8153
"328966","Acanthogobius_flavimanus",144.973,-37.8783
"328976","Acanthogobius_flavimanus",144.912,-37.8433
"328996","Acanthogobius_flavimanus",144.912,-37.865
"360759","Acanthogobius_flavimanus",144.9997,-37.7968
"360767","Acanthogobius_flavimanus",145.005,-37.8014
"368569","Acanthogobius_flavimanus",144.98,-37.9
"368572","Acanthogobius_flavimanus",144.926,-37.8168
"368575","Acanthogobius_flavimanus",144.84,-37.8733
"368615","Acanthogobius_flavimanus",144.944,-37.818
"368617","Acanthogobius_flavimanus",-117.13775,32.634997
"368618","Acanthogobius_flavimanus",-118.450886,33.96705
"368619","Acanthogobius_flavimanus",-117.338922,33.140832
"374991","Acanthogobius_flavimanus",127.76357,34.67194
"375007","Acanthogobius_flavimanus",127.72183,34.65243
"398571","Acanthogobius_flavimanus",-121.714,38.1755
"398574","Acanthogobius_flavimanus",-122.303611,37.724444
"401002","Acanthogobius_flavimanus",145.004,-37.832
"401012","Acanthogobius_flavimanus",144.94,-37.8213
"401023","Acanthogobius_flavimanus",144.913,-37.8228
"401031","Acanthogobius_flavimanus",144.57,-37.75
"401037","Acanthogobius_flavimanus",144.934,-37.8232
"401038","Acanthogobius_flavimanus",144.9,-37.83
"404127","Acanthogobius_flavimanus",139.98,40.39
"412172","Acanthogobius_flavimanus",-117.261667,33.013333
"412174","Acanthogobius_flavimanus",-121.788333,36.811667
"412177","Acanthogobius_flavimanus",-122.921667,38.198333
"412179","Acanthogobius_flavimanus",-117.083333,32.65
"423284","Acanthogobius_flavimanus",129.753611,32.829444
"423288","Acanthogobius_flavimanus",130.511944,32.185278
"423296","Acanthogobius_flavimanus",131.033333,31.35
"423298","Acanthogobius_flavimanus",133.455278,33.431944
"423302","Acanthogobius_flavimanus",140.959722,40.937222
"423318","Acanthogobius_flavimanus",139.898262,35.409414
"423320","Acanthogobius_flavimanus",130.035278,32.522778
"423322","Acanthogobius_flavimanus",129.778056,32.822778
"433977","Acanthogobius_flavimanus",-117.40387,33.235713
"435615","Acanthogobius_flavimanus",127.72183,34.65243
"435624","Acanthogobius_flavimanus",127.76357,34.67194
"435634","Acanthogobius_flavimanus",126.512667,36.327519
"435642","Acanthogobius_flavimanus",129.123756,37.485193
"445032","Acanthogobius_flavimanus",126.287176,37.725819
"447460","Acanthogobius_flavimanus",134.81875,34.7625
"447461","Acanthogobius_flavimanus",134.80625,35.595833
"447465","Acanthogobius_flavimanus",134.80625,35.604167
"447466","Acanthogobius_flavimanus",134.98125,34.6375
"447467","Acanthogobius_flavimanus",134.98125,34.654167
"447468","Acanthogobius_flavimanus",134.99375,34.654167
"447469","Acanthogobius_flavimanus",134.81875,35.620833
"447470","Acanthogobius_flavimanus",134.83125,35.6125
"447472","Acanthogobius_flavimanus",134.98125,34.6625
"447474","Acanthogobius_flavimanus",134.81875,35.629167
"447476","Acanthogobius_flavimanus",135.03125,34.6375
"447477","Acanthogobius_flavimanus",134.83125,35.629167
"447478","Acanthogobius_flavimanus",134.38125,34.7375
"447479","Acanthogobius_flavimanus",134.39375,34.7375
"447480","Acanthogobius_flavimanus",134.39375,34.745833
"447481","Acanthogobius_flavimanus",134.84375,34.720833
"447482","Acanthogobius_flavimanus",134.80625,34.7375
"447483","Acanthogobius_flavimanus",134.81875,34.745833
"447485","Acanthogobius_flavimanus",134.81875,35.504167
"447490","Acanthogobius_flavimanus",134.83125,35.5375
"447494","Acanthogobius_flavimanus",134.79375,35.545833
"447499","Acanthogobius_flavimanus",134.84375,35.545833
"447501","Acanthogobius_flavimanus",134.83125,35.545833
"447531","Acanthogobius_flavimanus",134.83125,35.6375
"447534","Acanthogobius_flavimanus",134.75625,35.654167
"447535","Acanthogobius_flavimanus",134.76875,35.654167
"447543","Acanthogobius_flavimanus",135.28125,34.8625
"447544","Acanthogobius_flavimanus",134.41875,34.7625
"447553","Acanthogobius_flavimanus",135.38125,34.7125
