"","species","lon","lat"
"12210","Amaranthus_viridis",-2.380833,12.24
"12408","Amaranthus_viridis",-81.954139,34.536139
"13202","Amaranthus_viridis",-52.33,4.93
"13297","Amaranthus_viridis",-53.871667,-25.193056
"13305","Amaranthus_viridis",-54.438611,-25.679444
"14145","Amaranthus_viridis",118.312222,24.468056
"14146","Amaranthus_viridis",120.941944,23.871944
"14147","Amaranthus_viridis",120.6425,24.251667
"14148","Amaranthus_viridis",120.685556,24.2525
"14204","Amaranthus_viridis",118.433333,24.433333
"14205","Amaranthus_viridis",121.085833,22.801667
"19773","Amaranthus_viridis",-85.070715,9.986065
"20002","Amaranthus_viridis",114.05,22.54
"20136","Amaranthus_viridis",110.35,25.17
"20631","Amaranthus_viridis",8.232066,44.096357
"24766","Amaranthus_viridis",21.83972,37.66472
"24767","Amaranthus_viridis",22.38472,37.77806
"24768","Amaranthus_viridis",22.38667,37.85333
"24774","Amaranthus_viridis",22.05917,38.24694
"24775","Amaranthus_viridis",22.14222,37.82056
"24783","Amaranthus_viridis",22.39861,38.12
"24784","Amaranthus_viridis",22.22194,37.77278
"26054","Amaranthus_viridis",-0.4311099,38.3788112
"26472","Amaranthus_viridis",-3.5911991,40.0288107
"26803","Amaranthus_viridis",-0.4811109,38.3788107
"27389","Amaranthus_viridis",-88.98333,16.71666
"27587","Amaranthus_viridis",-61.78333,-17.75
"27632","Amaranthus_viridis",-85.948139,11.852667
"27752","Amaranthus_viridis",-90.035,14.91305
"34957","Amaranthus_viridis",105.68,20.24
"35126","Amaranthus_viridis",-63.16666,-20.61666
"35225","Amaranthus_viridis",-89.97333,14.87583
"35415","Amaranthus_viridis",-53.8,-26.38333
"37576","Amaranthus_viridis",2.616667,9.333333
"37655","Amaranthus_viridis",120.346111,23.851111
"37670","Amaranthus_viridis",120.349444,23.896389
"37755","Amaranthus_viridis",120.339722,23.845556
"37768","Amaranthus_viridis",120.477414,23.529911
"37845","Amaranthus_viridis",120.391111,23.885556
"37847","Amaranthus_viridis",120.3775,23.871944
"37873","Amaranthus_viridis",121.3604,24.71212
"37888","Amaranthus_viridis",120.401139,23.606167
"37911","Amaranthus_viridis",120.358803,23.599
"37936","Amaranthus_viridis",120.364743,23.939767
"37951","Amaranthus_viridis",121.396944,24.638333
"37960","Amaranthus_viridis",121.22,25.0175
"37993","Amaranthus_viridis",121.340556,25.014167
"38034","Amaranthus_viridis",120.194167,23.609722
"38207","Amaranthus_viridis",120.634673,23.804796
"38219","Amaranthus_viridis",120.495581,24.175438
"38276","Amaranthus_viridis",120.289956,23.572449
"38281","Amaranthus_viridis",120.169223,23.515633
"38333","Amaranthus_viridis",120.78,23.925278
"38401","Amaranthus_viridis",120.556111,23.783889
"38415","Amaranthus_viridis",120.470833,24.079167
"38439","Amaranthus_viridis",120.495556,24.120833
"38452","Amaranthus_viridis",120.749843,24.565455
"38466","Amaranthus_viridis",120.748218,24.528967
"38490","Amaranthus_viridis",120.594313,23.705061
"38521","Amaranthus_viridis",120.683333,24.141667
"38522","Amaranthus_viridis",120.614444,24.110833
"38529","Amaranthus_viridis",120.791667,23.830556
"38550","Amaranthus_viridis",120.163557,23.487079
"38603","Amaranthus_viridis",120.480833,23.725833
"38657","Amaranthus_viridis",120.297229,23.516291
"38826","Amaranthus_viridis",120.779755,23.832639
"38916","Amaranthus_viridis",120.749137,23.082015
"38918","Amaranthus_viridis",120.47348,22.884869
"38931","Amaranthus_viridis",120.613611,22.890833
"39148","Amaranthus_viridis",-64.515833,-24.321944
"39173","Amaranthus_viridis",-57.13333,-25.86666
"39181","Amaranthus_viridis",-64.58388,-18.09638
"39297","Amaranthus_viridis",-64.45,-18.03333
"39579","Amaranthus_viridis",-89.93333,13.81666
"39623","Amaranthus_viridis",-78.71666,-5.35
"40229","Amaranthus_viridis",-91.585024,33.977322
"42181","Amaranthus_viridis",150.8456,-31.0431
"42480","Amaranthus_viridis",135.84291,34.58167
"42520","Amaranthus_viridis",135.85365,34.58601
"45438","Amaranthus_viridis",73.40485,33.92963
"49936","Amaranthus_viridis",-59.75,-22.58333
"50256","Amaranthus_viridis",-64.45,-18.03333
"50544","Amaranthus_viridis",139.29,35.57
"50570","Amaranthus_viridis",133.16,33.23
"51725","Amaranthus_viridis",136.297361,-12.201929
"51733","Amaranthus_viridis",135.4272,-15.5767
"51798","Amaranthus_viridis",121.9969,-18.57361
"51833","Amaranthus_viridis",134.5742,-25.5833
"51836","Amaranthus_viridis",129.383889,-23.273611
"51843","Amaranthus_viridis",140.4027,-2.5267
"51923","Amaranthus_viridis",132.52272,-12.904169
"52018","Amaranthus_viridis",128.688891,-15.727203
"52095","Amaranthus_viridis",143.31,-15.113333
"52166","Amaranthus_viridis",128.7633,-15.8286
"52174","Amaranthus_viridis",135.8167,-19.7083
"52203","Amaranthus_viridis",131.0686,-12.4686
"52207","Amaranthus_viridis",132.23682,-14.46872
"52259","Amaranthus_viridis",128.6911,-15.7264
"52447","Amaranthus_viridis",128.726394,-15.831906
"52511","Amaranthus_viridis",134.96777,-12.46994
"52541","Amaranthus_viridis",134.641944,-17.639722
"52543","Amaranthus_viridis",126.00462,-8.53181
"52617","Amaranthus_viridis",136.979167,-16.762778
"52845","Amaranthus_viridis",128.723392,-15.688111
"52899","Amaranthus_viridis",130.8481,-12.42191
"52923","Amaranthus_viridis",130.78125,-16.02925
"52976","Amaranthus_viridis",129.629722,-16.223611
"53043","Amaranthus_viridis",134.9603,-12.4764
"53069","Amaranthus_viridis",133.302306,-25.836383
"53262","Amaranthus_viridis",134.931389,-12.33
"53309","Amaranthus_viridis",121.996111,-18.575278
"53314","Amaranthus_viridis",130.9936,-13.46592
"53323","Amaranthus_viridis",130.6175,-18.3119
"54726","Amaranthus_viridis",-80.685,32.223056
"55921","Amaranthus_viridis",2.63982,7.00189
"55922","Amaranthus_viridis",2.74259,7.0331
"55923","Amaranthus_viridis",2.6295,7.08674
"55924","Amaranthus_viridis",2.7096,6.96421
"55925","Amaranthus_viridis",2.7005,7.03019
"55926","Amaranthus_viridis",2.63755,7.00216
"56032","Amaranthus_viridis",2.63104,6.99761
"56380","Amaranthus_viridis",-16.5,13.666
"56620","Amaranthus_viridis",-13.3,13.016
"56621","Amaranthus_viridis",100.833,6.583
"57244","Amaranthus_viridis",-0.4201,39.4194
"57874","Amaranthus_viridis",0.45,40.94
"57929","Amaranthus_viridis",0.45,40.76
"58151","Amaranthus_viridis",2.03,41.3
"58674","Amaranthus_viridis",0.49,40.81
"58707","Amaranthus_viridis",0.45,40.85
"61021","Amaranthus_viridis",10.86,49.91
"61391","Amaranthus_viridis",-85.333334,10.35
"62966","Amaranthus_viridis",14.723063,36.923768
"63108","Amaranthus_viridis",14.01797,37.98654
"64179","Amaranthus_viridis",-85.649841,33.557752
"64180","Amaranthus_viridis",-85.82972,33.651943
"64181","Amaranthus_viridis",-87.631386,32.997776
"64182","Amaranthus_viridis",-86.703319,31.164352
"64183","Amaranthus_viridis",-86.68039,31.14002
"64184","Amaranthus_viridis",-85.647222,31.470278
"64185","Amaranthus_viridis",-81.88027,34.474813
"64949","Amaranthus_viridis",-41.491389,-12.485278
"65083","Amaranthus_viridis",-38.983333,-9.983333
"65134","Amaranthus_viridis",-38.301111,-10.3125
"65232","Amaranthus_viridis",-39.083056,-12.071667
"65313","Amaranthus_viridis",-39.85,-12.85
"65353","Amaranthus_viridis",-38.782778,-7.778611
"65365","Amaranthus_viridis",-39.7,-12.7
"65469","Amaranthus_viridis",-39.965556,-13.964444
"65486","Amaranthus_viridis",-38.966667,-12.966667
"65535","Amaranthus_viridis",-42.650833,-14.665278
"65589","Amaranthus_viridis",-40.555,-11.557778
"65626","Amaranthus_viridis",-38.483333,-9.483333
"65655","Amaranthus_viridis",-39.346389,-7.343611
"67442","Amaranthus_viridis",-35.202222,-5.834444
"67576","Amaranthus_viridis",-2.1,7.8
"67727","Amaranthus_viridis",3.383,11.867
"67855","Amaranthus_viridis",1.683333,10.333333
"68980","Amaranthus_viridis",138.616667,-34.983333
"69620","Amaranthus_viridis",12.76857,56.06833
"69696","Amaranthus_viridis",-49.37,-28.678056
"70486","Amaranthus_viridis",-157.8315,21.3185
"71811","Amaranthus_viridis",-70.65,19.1
"73279","Amaranthus_viridis",150.846682,-31.041478
"73472","Amaranthus_viridis",150.846404,-31.041605
"74371","Amaranthus_viridis",114.35,36.1
"74411","Amaranthus_viridis",99.96,36.41
"74492","Amaranthus_viridis",114.55,35.67
"74661","Amaranthus_viridis",112.58,35.07
"74741","Amaranthus_viridis",117.15,39.17
"74795","Amaranthus_viridis",114.07,35.4
"80287","Amaranthus_viridis",14.293333,48.287224
"84294","Amaranthus_viridis",100.860736,22.697654
"84314","Amaranthus_viridis",101.56752,21.475834
"84450","Amaranthus_viridis",144.4344,-37.6892
"85468","Amaranthus_viridis",145.4792,-24.4064
"85804","Amaranthus_viridis",-0.14,39.76
"86013","Amaranthus_viridis",-0.58,39.58
"86030","Amaranthus_viridis",0.35,40.4
"86104","Amaranthus_viridis",-0.17,38.87
"86491","Amaranthus_viridis",0.01,40.03
"86794","Amaranthus_viridis",-0.19,39.75
"86876","Amaranthus_viridis",-0.13,40.03
"87099","Amaranthus_viridis",-0.17,39.74
"87468","Amaranthus_viridis",-0.2,39.77
"88305","Amaranthus_viridis",-0.01,40.03
"91056","Amaranthus_viridis",-116.9178,32.86
"92136","Amaranthus_viridis",-117.11472,32.72583
"93274","Amaranthus_viridis",139.491667,36.269444
"93322","Amaranthus_viridis",139.323611,36.263333
"93552","Amaranthus_viridis",139.106944,36.679722
"93559","Amaranthus_viridis",139.109444,36.688611
"93565","Amaranthus_viridis",139.34,36.348056
