"","species","lon","lat"
"12366","Andropogon_glomeratus",-77.270153,37.735484
"12437","Andropogon_glomeratus",-79.73415,33.07868
"12457","Andropogon_glomeratus",-80.897362,32.042045
"12459","Andropogon_glomeratus",-80.464358,33.698477
"12473","Andropogon_glomeratus",-80.7806,32.2478
"13005","Andropogon_glomeratus",-80.4827,33.1109
"13036","Andropogon_glomeratus",-79.5234,33.1776
"13331","Andropogon_glomeratus",-105.08167,21.53806
"13408","Andropogon_glomeratus",-89.45278,18.23889
"13443","Andropogon_glomeratus",-101.57444,27.9675
"13575","Andropogon_glomeratus",-97,19.33333
"13643","Andropogon_glomeratus",-96.9744,19.56444
"13694","Andropogon_glomeratus",-99.76306,23.94417
"27353","Andropogon_glomeratus",-81.835767,33.316567
"27412","Andropogon_glomeratus",-89.35,18.88333
"27443","Andropogon_glomeratus",-108.7875,28.39166
"27544","Andropogon_glomeratus",-91.271389,16.930278
"27641","Andropogon_glomeratus",-84.178611,9.741667
"28009","Andropogon_glomeratus",-89.141556,30.4148
"35347","Andropogon_glomeratus",-85.658333,10.891667
"35785","Andropogon_glomeratus",-76.8958,38.5708
"39454","Andropogon_glomeratus",-84.795833,10.275833
"39604","Andropogon_glomeratus",-91.768402,18.671375
"39730","Andropogon_glomeratus",-84.092222,9.828333
"39999","Andropogon_glomeratus",-88.558333,18.375
"40126","Andropogon_glomeratus",-77.532937,38.559322
"50091","Andropogon_glomeratus",-99.88,24.61
"50310","Andropogon_glomeratus",-85.734167,10.899444
"50397","Andropogon_glomeratus",-85.698889,10.848333
"53973","Andropogon_glomeratus",-118.369722,34.266111
"54126","Andropogon_glomeratus",-116.65056,34.06044
"54614","Andropogon_glomeratus",-80.721583,32.434333
"54731","Andropogon_glomeratus",-81.89775,34.93345
"54732","Andropogon_glomeratus",-81.835767,33.316567
"54733","Andropogon_glomeratus",-80.901944,32.251667
"54734","Andropogon_glomeratus",-80.863056,32.24
"54735","Andropogon_glomeratus",-81.84545,33.3089
"54736","Andropogon_glomeratus",-80.863056,32.238611
