"","species","lon","lat"
"13303","Artocarpus_heterophyllus",-53.510278,-24.945556
"13842","Artocarpus_heterophyllus",-92.92139,17.52611
"38008","Artocarpus_heterophyllus",121.789444,24.458611
"39231","Artocarpus_heterophyllus",49.618889,-14.613056
"40632","Artocarpus_heterophyllus",132.2,-1.233333
"41071","Artocarpus_heterophyllus",117,-1
"41248","Artocarpus_heterophyllus",116.65,1.666667
"41666","Artocarpus_heterophyllus",145.333333,-16.333333
"41771","Artocarpus_heterophyllus",117.25,1.983333
"41845","Artocarpus_heterophyllus",-78.666667,1.25
"50355","Artocarpus_heterophyllus",-85.546528,11.494972
"52523","Artocarpus_heterophyllus",128.757841,-15.866451
"55680","Artocarpus_heterophyllus",2.285256,7.188391
"55929","Artocarpus_heterophyllus",2.148395,7.226411
"62245","Artocarpus_heterophyllus",101.728333,3.139444
"65026","Artocarpus_heterophyllus",-47.878333,-15.882222
"65030","Artocarpus_heterophyllus",-38.965833,-12.951667
"65040","Artocarpus_heterophyllus",-40.4825,-12.482222
"65116","Artocarpus_heterophyllus",-38.966667,-12.966667
"65586","Artocarpus_heterophyllus",-39.166667,-14.166667
"67144","Artocarpus_heterophyllus",-40.4486,-20.1506
"67274","Artocarpus_heterophyllus",-52.36475,-24.038583
"67323","Artocarpus_heterophyllus",-157.828333,21.325833
"70386","Artocarpus_heterophyllus",-51.237222,-30.019139
"71011","Artocarpus_heterophyllus",-4.133333,5.316667
"71883","Artocarpus_heterophyllus",-58.749528,-11.413389
"77726","Artocarpus_heterophyllus",-155.09343,19.8083
"78910","Artocarpus_heterophyllus",105.2731,17.5069
"84366","Artocarpus_heterophyllus",-4.012656,5.309657
"93765","Artocarpus_heterophyllus",72.388,23.6056
"96208","Artocarpus_heterophyllus",70.562,21.471
"134115","Artocarpus_heterophyllus",-80.302077,26.151605
"136473","Artocarpus_heterophyllus",49.618889,-14.613056
"137403","Artocarpus_heterophyllus",-39.045278,-15.349444
"137794","Artocarpus_heterophyllus",-37.053817,-10.890033
"137971","Artocarpus_heterophyllus",-37.125833,-10.855
"137982","Artocarpus_heterophyllus",-38.016667,-10.926944
"139868","Artocarpus_heterophyllus",101.936111,5.808056
"143511","Artocarpus_heterophyllus",31.55166,-1.03222
"148582","Artocarpus_heterophyllus",-48.8082,-25.5105
"154029","Artocarpus_heterophyllus",73.497193,20.752783
"158380","Artocarpus_heterophyllus",98.40944,19.60944
"158395","Artocarpus_heterophyllus",-157.833,21.3333
"161385","Artocarpus_heterophyllus",-57.25,-25.13333
"161631","Artocarpus_heterophyllus",-83.17966,8.657086
"162200","Artocarpus_heterophyllus",-47.9,-15.933333
"162279","Artocarpus_heterophyllus",-47.900278,-15.856667
"163272","Artocarpus_heterophyllus",-72.664167,-12.963611
"171375","Artocarpus_heterophyllus",-52.364722,-24.038611
"172156","Artocarpus_heterophyllus",2.9333,11.1333
"173485","Artocarpus_heterophyllus",-46.511111,-22.8375
"173492","Artocarpus_heterophyllus",-45.233333,-23.416667
"176403","Artocarpus_heterophyllus",-48.579722,-27.018056
"177555","Artocarpus_heterophyllus",-78.566667,1.2
"183721","Artocarpus_heterophyllus",-38.449167,-12.913611
"183864","Artocarpus_heterophyllus",-39.045278,-15.349444
"192016","Artocarpus_heterophyllus",2.596913,6.48613
"192020","Artocarpus_heterophyllus",2.63337,6.46603
"192150","Artocarpus_heterophyllus",2.656748,6.540776
"192151","Artocarpus_heterophyllus",2.653241,7.46589
"192188","Artocarpus_heterophyllus",2.613955,6.574814
"192189","Artocarpus_heterophyllus",2.566154,7.047764
"192192","Artocarpus_heterophyllus",2.644359,7.088956
"192201","Artocarpus_heterophyllus",2.695125,6.641667
"192209","Artocarpus_heterophyllus",2.480391,6.675192
"192211","Artocarpus_heterophyllus",2.713918,7.269938
"192220","Artocarpus_heterophyllus",2.530542,6.762411
"192225","Artocarpus_heterophyllus",2.636138,7.267541
"246650","Artocarpus_heterophyllus",-52.1725,-3.182222
"248350","Artocarpus_heterophyllus",-46.869722,-23.869722
"250091","Artocarpus_heterophyllus",-49.255,-16.68
"255000","Artocarpus_heterophyllus",-85.546528,11.494972
"257752","Artocarpus_heterophyllus",-78.506696,0.891311
"257755","Artocarpus_heterophyllus",-78.918889,1.244092
"257758","Artocarpus_heterophyllus",-78.861357,1.444991
"257991","Artocarpus_heterophyllus",101.08,19.423867
"263428","Artocarpus_heterophyllus",128.756777,-15.867751
