"","species","lon","lat"
"203217","Astragalus_galegiformis",44.49111,41.00361
"206254","Astragalus_galegiformis",41.902,43.951
"206387","Astragalus_galegiformis",47.518889,41.505556
"248356","Astragalus_galegiformis",43.10333,41.645
"345150","Astragalus_galegiformis",44.629722,42.729444
"366085","Astragalus_galegiformis",43.29222,41.77666
"367046","Astragalus_galegiformis",41.805596,43.457872
"393498","Astragalus_galegiformis",43.2833,41.4667
"437201","Astragalus_galegiformis",42.179089,43.428115
"437330","Astragalus_galegiformis",42.921432,43.398091
"470189","Astragalus_galegiformis",44.37778,41.01278
"470503","Astragalus_galegiformis",44.49111,41.00361
"470832","Astragalus_galegiformis",44.2025,40.85611
"470927","Astragalus_galegiformis",44.19167,40.85639
