"","species","lon","lat"
"5401","Bromus_squarrosus",25.645824,60.977265
"23543","Bromus_squarrosus",21.78222,38.84778
"24302","Bromus_squarrosus",21.08944,40.05778
"26213","Bromus_squarrosus",-3.0012306,42.3288656
"26667","Bromus_squarrosus",-3.1112389,42.6388714
"26874","Bromus_squarrosus",-3.1812412,42.6888718
"27039","Bromus_squarrosus",-3.2212452,42.848875
"27109","Bromus_squarrosus",94.25,49.317
"36008","Bromus_squarrosus",16.77194,47.99111
"36238","Bromus_squarrosus",14.57642,45.23233
"36370","Bromus_squarrosus",24.34861,41.63333
"36605","Bromus_squarrosus",16.54694,48.31972
"36636","Bromus_squarrosus",17.27272,46.80925
"36672","Bromus_squarrosus",16.67417,47.92389
"43059","Bromus_squarrosus",-108.576612,40.260458
"43657","Bromus_squarrosus",-105.009833,36.764361
"43715","Bromus_squarrosus",-104.32605,39.52912
"50523","Bromus_squarrosus",45.05,40.27
"50628","Bromus_squarrosus",45,40.33
"55560","Bromus_squarrosus",7.810556,46.310555
"55572","Bromus_squarrosus",7.881456,46.265477
"55573","Bromus_squarrosus",7.890278,46.279722
"55654","Bromus_squarrosus",7.070833,46.122222
"56833","Bromus_squarrosus",-5.166667,35.25
"57238","Bromus_squarrosus",-0.5036,38.7662
"57451","Bromus_squarrosus",-0.1476,38.7491
"57454","Bromus_squarrosus",-6.3518,42.7976
"57539","Bromus_squarrosus",-3.5212,42.089
"57550","Bromus_squarrosus",-4.2684,41.3536
"57817","Bromus_squarrosus",1.08,42.32
"57843","Bromus_squarrosus",3,42.89
"58070","Bromus_squarrosus",-1.57,40.47
"58104","Bromus_squarrosus",1.11,42.62
"58158","Bromus_squarrosus",1.1,42.61
"58321","Bromus_squarrosus",-0.3,41.66
"58383","Bromus_squarrosus",1.35,42.18
"58400","Bromus_squarrosus",1.1,41.34
"58510","Bromus_squarrosus",2.21,42.62
"58712","Bromus_squarrosus",-5.12,42.83
"58745","Bromus_squarrosus",0.59,40.67
"58829","Bromus_squarrosus",1.43,41.15
"62369","Bromus_squarrosus",22.35,36.95
"65660","Bromus_squarrosus",31.709086,48.215629
"65661","Bromus_squarrosus",30.885582,48.354375
"65664","Bromus_squarrosus",30.81286,48.170659
"65693","Bromus_squarrosus",30.85687,48.196418
"65695","Bromus_squarrosus",30.857726,48.196534
"65701","Bromus_squarrosus",31.494655,48.381027
"65703","Bromus_squarrosus",30.782285,48.143611
"65707","Bromus_squarrosus",30.782325,48.145334
"65726","Bromus_squarrosus",31.162656,48.246434
"65729","Bromus_squarrosus",30.892017,48.323559
"65752","Bromus_squarrosus",30.957911,48.369667
"65753","Bromus_squarrosus",30.862172,48.185339
"65757","Bromus_squarrosus",30.862013,48.185048
"65794","Bromus_squarrosus",30.912,48.230856
"65796","Bromus_squarrosus",30.800172,48.140625
"65814","Bromus_squarrosus",31.496705,48.382087
"65820","Bromus_squarrosus",30.812951,48.177564
"65840","Bromus_squarrosus",30.8441,48.439525
"65850","Bromus_squarrosus",31.610605,48.143057
"65852","Bromus_squarrosus",30.843445,48.438518
"65870","Bromus_squarrosus",31.569652,48.303077
"65880","Bromus_squarrosus",31.816843,48.170699
"65887","Bromus_squarrosus",31.140802,48.190358
"65890","Bromus_squarrosus",31.110467,48.395735
"65898","Bromus_squarrosus",31.28369,48.464611
"65900","Bromus_squarrosus",31.292443,48.304538
"65913","Bromus_squarrosus",30.928655,48.321711
"65921","Bromus_squarrosus",30.927738,48.364444
"65934","Bromus_squarrosus",31.346739,48.315558
"65937","Bromus_squarrosus",31.346692,48.315687
"65954","Bromus_squarrosus",31.677488,48.341334
"65959","Bromus_squarrosus",30.815937,48.447514
"65962","Bromus_squarrosus",31.141174,48.189528
"65967","Bromus_squarrosus",31.273088,48.257452
"65969","Bromus_squarrosus",31.140596,48.188048
"65975","Bromus_squarrosus",31.589257,48.345856
"65978","Bromus_squarrosus",30.733296,48.48082
"65993","Bromus_squarrosus",31.27341,48.257658
"66004","Bromus_squarrosus",31.789939,48.381141
"66006","Bromus_squarrosus",31.23427,48.243766
"66009","Bromus_squarrosus",31.02404,48.336546
"66010","Bromus_squarrosus",31.234927,48.243328
"70560","Bromus_squarrosus",29.653,36.731
"70598","Bromus_squarrosus",-119.607,49.086
"70668","Bromus_squarrosus",-4.363,37.503
"73074","Bromus_squarrosus",-120.27256,44.34896
"74415","Bromus_squarrosus",87.63,43.83
"74967","Bromus_squarrosus",86.089722,55.354167
"78183","Bromus_squarrosus",45.804998,54.154818
"78338","Bromus_squarrosus",51.525194,52.254778
"78380","Bromus_squarrosus",34.807461,44.827331
"78518","Bromus_squarrosus",39.862444,57.643191
