"","species","lon","lat"
"35082","Bubalus_bubalis",30.94,31.11
"44796","Bubalus_bubalis",30.940001,31.110001
"44850","Bubalus_bubalis",31.43,26.33
"81588","Bubalus_bubalis",31.43,26.33
"122323","Bubalus_bubalis",121.580002,25.17
"122408","Bubalus_bubalis",120.900002,15.72
"149077","Bubalus_bubalis",100.8904,14.4977
"204945","Bubalus_bubalis",-73.7996,7.4438
"351031","Bubalus_bubalis",121.22,13.88
"413682","Bubalus_bubalis",120.9,15.72
"438087","Bubalus_bubalis",75.3,19.87
"462094","Bubalus_bubalis",138.330713,-18.644141
"462166","Bubalus_bubalis",138.420854,-18.398637
"463087","Bubalus_bubalis",92.25,24.129999
"463103","Bubalus_bubalis",75.300003,19.870001
"466925","Bubalus_bubalis",115.494394,3.827728
"466942","Bubalus_bubalis",92.422615,23.503541
"466965","Bubalus_bubalis",101.461676,-1.645122
"466966","Bubalus_bubalis",114.373451,-7.835773
"466993","Bubalus_bubalis",101.38738,-1.58577
"466994","Bubalus_bubalis",86.990013,26.634531
"466995","Bubalus_bubalis",86.930251,26.618113
"466996","Bubalus_bubalis",87.018896,26.617461
"466997","Bubalus_bubalis",87.061277,26.665808
"466998","Bubalus_bubalis",86.973463,26.703063
"466999","Bubalus_bubalis",86.965415,26.561556
"467000","Bubalus_bubalis",86.993153,26.585838
"467001","Bubalus_bubalis",86.917041,26.590911
"467002","Bubalus_bubalis",86.965082,26.60157
"467003","Bubalus_bubalis",87.010007,26.68447
"472031","Bubalus_bubalis",92.25,24.13
"474243","Bubalus_bubalis",44.5,33.330002
"474297","Bubalus_bubalis",113.230003,22.299999
