"","species","lon","lat"
"13282","Canna_indica",-53.658056,-25.515556
"13293","Canna_indica",-53.841111,-25.154167
"13547","Canna_indica",-97.3,20.00667
"13586","Canna_indica",-91.12972,16.76083
"13627","Canna_indica",-90.96939,16.90097
"13788","Canna_indica",-97.54139,19.97861
"19652","Canna_indica",-84.47361,11.04166
"19727","Canna_indica",-63.2175,-17.718333
"19834","Canna_indica",-83.407778,14.752778
"20083","Canna_indica",117.47,26.72
"20802","Canna_indica",-97.492778,20.085
"20842","Canna_indica",117,-1
"20955","Canna_indica",-56.883333,-26.116667
"27780","Canna_indica",-86.36666,12.98333
"34560","Canna_indica",-57.25,-25.133333
"34667","Canna_indica",12.061389,2.168889
"34768","Canna_indica",-63.5595,-17.109333
"34769","Canna_indica",-57.5,-25.5
"34857","Canna_indica",-82.85,9.75
"35166","Canna_indica",-53.65,-26.23333
"35180","Canna_indica",-85.37361,12.29222
"35193","Canna_indica",-89.93333,13.81666
"35233","Canna_indica",-57.5,-25.5
"35318","Canna_indica",-85.042278,12.410861
"35358","Canna_indica",-58.56305,-24.02055
"35467","Canna_indica",-76.151944,-0.097778
"36953","Canna_indica",-75.7055,5.748083
"37036","Canna_indica",-71.297583,6.005306
"37069","Canna_indica",-75.666667,5.416667
"37089","Canna_indica",-76.182778,3.575833
"37094","Canna_indica",-76.229378,4.744931
"37190","Canna_indica",-40.481944,-20.3025
"37717","Canna_indica",120.45,23.792222
"38848","Canna_indica",120.881233,24.588288
"38980","Canna_indica",-58.192237,-2.501345
"38983","Canna_indica",-58.34107,-2.455783
"39009","Canna_indica",-94.725,17.75972
"39066","Canna_indica",-89.06805,16.62805
"39409","Canna_indica",-82.84,8.91
"39517","Canna_indica",-93.16944,17.96944
"39634","Canna_indica",-92.569444,15.6425
"39747","Canna_indica",-79.73333,0.36666
"39759","Canna_indica",14.05722,-1.79416
"39883","Canna_indica",-83.388889,14.035
"39971","Canna_indica",-88.053611,21.025833
"39993","Canna_indica",-87.729167,21.220833
"40025","Canna_indica",-96.0325331,18.1770793
"40026","Canna_indica",-88.303889,18.521667
"42355","Canna_indica",145.9211,-17.3081
"43999","Canna_indica",152.81549,-27.068319
"44282","Canna_indica",152.969817,-26.60417
"44617","Canna_indica",-54.58,-24.37
"44666","Canna_indica",-89.07,17.08
"44900","Canna_indica",-49.762222,-27.411944
"49882","Canna_indica",-85.363333,12.292889
"49990","Canna_indica",-57.5,-25.5
"50085","Canna_indica",-89.06805,16.62805
"50388","Canna_indica",-72.95416,-12.45138
"50428","Canna_indica",49.618333,-14.609444
"53357","Canna_indica",-98.6638,16.8205
"54513","Canna_indica",-43.4875,-19.946389
"54514","Canna_indica",-43.508333,-20.288056
"57364","Canna_indica",11.0914,1.9275
"58366","Canna_indica",0.66,40.63
"61059","Canna_indica",-83.435432,8.649875
"61162","Canna_indica",-83.486111,8.7
"61220","Canna_indica",-85.622083,10.160667
"61408","Canna_indica",-82.844444,8.919444
"61415","Canna_indica",-84.165556,9.428611
"61762","Canna_indica",-99.100086,19.249764
"61765","Canna_indica",-99.223611,18.785833
"61882","Canna_indica",-66.713967,18.2052
"62159","Canna_indica",-103.69,19.444167
"62248","Canna_indica",-66.762167,18.157833
"62334","Canna_indica",-103.69,19.351667
"62530","Canna_indica",-48.755,-23.526111
"62543","Canna_indica",-46.591667,-23.427222
"62547","Canna_indica",-49.070833,-24.062778
"62988","Canna_indica",13.081815,38.025205
"63364","Canna_indica",-99.159305,18.798722
"64861","Canna_indica",-53.278056,-29.464722
"64879","Canna_indica",-53.683333,-29.566667
"64905","Canna_indica",-53.86848,-29.67123
"64925","Canna_indica",-39.575,-15.57
"64944","Canna_indica",-40.208056,-10.21
"65256","Canna_indica",-39.076389,-12.081667
"65281","Canna_indica",-39.825833,-12.819167
"65468","Canna_indica",-39.2,-11.2
"65490","Canna_indica",-38.9725,-10.976944
"65565","Canna_indica",-40.066667,-12.069444
"65619","Canna_indica",-38.966667,-12.966667
"65636","Canna_indica",-38.398333,-10.383333
"67460","Canna_indica",-37.937778,-6.064722
"67583","Canna_indica",1.966667,7.916667
"67691","Canna_indica",12.060833,2.169167
"67783","Canna_indica",12.061111,2.170278
"67906","Canna_indica",-76.633333,3.4
"67948","Canna_indica",9.566667,1.45
"68499","Canna_indica",-96.941667,19.641667
"68636","Canna_indica",-95.791667,18.591667
"69650","Canna_indica",-49.37,-28.678056
"69651","Canna_indica",-49.679444,-28.926667
"69731","Canna_indica",-76.441225,1.440347
"69732","Canna_indica",-76.41325,1.481361
"70376","Canna_indica",-50.269444,-29.886944
"70990","Canna_indica",-5.416667,6.383333
"71196","Canna_indica",174.794006,-36.804276
"71976","Canna_indica",-51.612222,-27.179167
"72054","Canna_indica",-51.021111,-30.069167
"73262","Canna_indica",-51.612222,-27.179167
"73269","Canna_indica",-49.943055,-26.814167
"78132","Canna_indica",-88.684767,17.217668
"78952","Canna_indica",-110.933326,32.553801
"79065","Canna_indica",-72.68,-9.2
"80497","Canna_indica",13.174723,48.125
"80934","Canna_indica",13.545278,48.435276
"81597","Canna_indica",-85.474,10.883
"82829","Canna_indica",9.985864,57.291743
"83789","Canna_indica",-73.35,5.083333
"83928","Canna_indica",-103.533056,20.387222
"87048","Canna_indica",0.07,38.77
"87798","Canna_indica",-0.28,39.27
"90323","Canna_indica",-111.83281,26.03685
"92943","Canna_indica",-95.191389,38.808889
"94532","Canna_indica",-97.748333,20.023889
"94533","Canna_indica",-97.75,20.01
"94553","Canna_indica",-97.492778,20.133333
"94556","Canna_indica",-97.437222,19.919722
"94558","Canna_indica",-97.43,20.061667
"94577","Canna_indica",-97.906667,20.2225
"94580","Canna_indica",-97.67,19.97
"94595","Canna_indica",-97.8075,20.185278
"95934","Canna_indica",3.361124,6.525258
"134807","Canna_indica",-54.623611,-25.355833
