"","species","lon","lat"
"20290","Caprella_scaura",-71.35,-29.967
"42415","Caprella_scaura",-43.951871,-23.023854
"42416","Caprella_scaura",-41.982939,-22.868843
"42417","Caprella_scaura",-43.161257,-22.789175
"53368","Caprella_scaura",-75.9232,37.2885
"94905","Caprella_scaura",-81.56184,30.383
"94932","Caprella_scaura",-80.185,25.793
"96185","Caprella_scaura",-97.4219,27.2661
"149218","Caprella_scaura",151.161,-34.00166
"153399","Caprella_scaura",138.510899,-34.797457
"153402","Caprella_scaura",138.516803,-34.782811
"153408","Caprella_scaura",138.5333,-34.8
"153409","Caprella_scaura",138.496696,-34.764442
"153414","Caprella_scaura",147.926889,-42.537781
"158265","Caprella_scaura",-80.309998,27.49
"171865","Caprella_scaura",-97.690833,24.481944
"247949","Caprella_scaura",-45.3809907,-23.6293823
"247950","Caprella_scaura",-44.8392872,-23.3743819
"247954","Caprella_scaura",-45.6647911,-23.7812811
"247961","Caprella_scaura",-45.3142901,-23.5848814
"247967","Caprella_scaura",-44.8389862,-23.3743819
"247972","Caprella_scaura",-45.5111912,-23.8368806
"247990","Caprella_scaura",-44.8997856,-23.3751818
"248012","Caprella_scaura",-44.9328858,-23.3573806
"248020","Caprella_scaura",-45.7253916,-23.792181
"248026","Caprella_scaura",-45.3756917,-23.6262803
"248030","Caprella_scaura",-44.8389862,-23.3740819
"283837","Caprella_scaura",-80.3149,27.4888
"283850","Caprella_scaura",-75.9232,37.2885
"283888","Caprella_scaura",-97.4219,27.2661
"283894","Caprella_scaura",-80.3036,27.4655
"287217","Caprella_scaura",-80.314905,27.48884
"287230","Caprella_scaura",-80.303563,27.465524
"288480","Caprella_scaura",151.18555,-33.84027
"288481","Caprella_scaura",151.58983,-33.0887
"328977","Caprella_scaura",144.9,-37.88
"328978","Caprella_scaura",144.867,-37.9013
"352107","Caprella_scaura",151.17899,-33.86782
"431367","Caprella_scaura",151.166,-33.98599
"431412","Caprella_scaura",151.24049,-33.865
"471807","Caprella_scaura",138.521,-34.811599
"471822","Caprella_scaura",138.526412,-34.807362
"471861","Caprella_scaura",151.18633,-33.86633
"471899","Caprella_scaura",151.19299,-33.84683
"471914","Caprella_scaura",151.19199,-33.84283
"471922","Caprella_scaura",151.18549,-33.84033
"486590","Caprella_scaura",-80.315,27.488
"487174","Caprella_scaura",-75.923214,37.28847
"487193","Caprella_scaura",-81.216011,29.670205
