"","species","lon","lat"
"21049","Caucalis_platycarpos",21.68694,40.59861
"21247","Caucalis_platycarpos",20.77889,39.17806
"21248","Caucalis_platycarpos",21.61361,39.40028
"21825","Caucalis_platycarpos",21.40944,40.07361
"21826","Caucalis_platycarpos",21.46083,40.11417
"21827","Caucalis_platycarpos",21.39611,40.01583
"21828","Caucalis_platycarpos",21.46778,40.1375
"21829","Caucalis_platycarpos",21.48,40.1325
"21830","Caucalis_platycarpos",21.38917,40.09944
"21831","Caucalis_platycarpos",21.39694,40.09639
"21832","Caucalis_platycarpos",21.59222,39.88611
"21833","Caucalis_platycarpos",21.56778,39.94667
"21834","Caucalis_platycarpos",21.48833,40.38639
"21835","Caucalis_platycarpos",21.66472,40.49611
"21836","Caucalis_platycarpos",21.23972,40.29194
"21837","Caucalis_platycarpos",21.83,40.49361
"21838","Caucalis_platycarpos",21.69556,40.6925
"21839","Caucalis_platycarpos",21.80417,40.60556
"21840","Caucalis_platycarpos",21.75806,40.74389
"21841","Caucalis_platycarpos",21.66722,40.66778
"21842","Caucalis_platycarpos",21.765,40.50917
"21843","Caucalis_platycarpos",21.71222,40.12306
"21844","Caucalis_platycarpos",21.63194,40.13611
"21845","Caucalis_platycarpos",21.24167,40.27278
"21846","Caucalis_platycarpos",21.32778,40.27528
"21847","Caucalis_platycarpos",21.61528,40.17028
"21848","Caucalis_platycarpos",21.4025,40.32028
"21849","Caucalis_platycarpos",21.70806,40.31917
"21850","Caucalis_platycarpos",21.54444,40.31472
"21851","Caucalis_platycarpos",21.60444,40.24778
"21852","Caucalis_platycarpos",21.56167,40.24083
"21853","Caucalis_platycarpos",21.59444,40.18639
"21854","Caucalis_platycarpos",21.59194,40.23222
"21855","Caucalis_platycarpos",21.54444,40.2325
"21856","Caucalis_platycarpos",21.52389,40.20972
"21857","Caucalis_platycarpos",21.31806,40.20222
"21858","Caucalis_platycarpos",21.575,40.06806
"21859","Caucalis_platycarpos",21.36694,40.1775
"21860","Caucalis_platycarpos",21.25917,40.15861
"21861","Caucalis_platycarpos",21.6175,40.05389
"21862","Caucalis_platycarpos",21.51556,40.2775
"21863","Caucalis_platycarpos",21.55139,40.0575
"21864","Caucalis_platycarpos",21.53833,40.06111
"21866","Caucalis_platycarpos",21.54833,40.29361
"21867","Caucalis_platycarpos",21.65889,40.29028
"21870","Caucalis_platycarpos",21.40778,40.11
"21872","Caucalis_platycarpos",21.39611,40.12722
"22893","Caucalis_platycarpos",24.05306,41.38333
"23435","Caucalis_platycarpos",21.37,39.85833
"23436","Caucalis_platycarpos",21.68139,40.67278
"23440","Caucalis_platycarpos",21.41222,40.34139
"26469","Caucalis_platycarpos",-3.4212468,42.7288701
"36042","Caucalis_platycarpos",18.5205,47.10447
"36353","Caucalis_platycarpos",16.545,48.47389
"36670","Caucalis_platycarpos",16.38333,47.21806
"42783","Caucalis_platycarpos",-3.11,40.61
"50620","Caucalis_platycarpos",45.08,40.92
"55156","Caucalis_platycarpos",10.2,50.49
"55318","Caucalis_platycarpos",10.21,50.12
"55509","Caucalis_platycarpos",7.890278,46.279722
"55525","Caucalis_platycarpos",7.905278,46.301667
"55646","Caucalis_platycarpos",7.775,46.321388
"56769","Caucalis_platycarpos",-1.9095,41.5896
