"","species","lon","lat"
"13274","Ceratopteris_thalictroides",-54.3,4.9
"20112","Ceratopteris_thalictroides",118.43,29.86
"20215","Ceratopteris_thalictroides",114.05,22.54
"27751","Ceratopteris_thalictroides",-85.35111,10.33222
"27769","Ceratopteris_thalictroides",49.701111,-16.769722
"34628","Ceratopteris_thalictroides",2.259333,7.056833
"34804","Ceratopteris_thalictroides",2.655667,7.657
"34822","Ceratopteris_thalictroides",98.483333,17.583333
"34846","Ceratopteris_thalictroides",2.483333,9.3
"34863","Ceratopteris_thalictroides",12.12355,0.335533
"35327","Ceratopteris_thalictroides",-90.06666,13.8
"35470","Ceratopteris_thalictroides",-84.898889,11.631945
"35562","Ceratopteris_thalictroides",-40.8696,-15.825056
"35564","Ceratopteris_thalictroides",-36.490556,-10.3375
"35567","Ceratopteris_thalictroides",-42.426389,-19.675
"35572","Ceratopteris_thalictroides",-49.855556,-6.32
"35573","Ceratopteris_thalictroides",-36.900278,-10.127222
"35574","Ceratopteris_thalictroides",-42.441667,-19.7
"35578","Ceratopteris_thalictroides",-42.476667,-19.664722
"35580","Ceratopteris_thalictroides",-40.046944,-19.151944
"35584","Ceratopteris_thalictroides",-55.921389,-15.984444
"35590","Ceratopteris_thalictroides",-41.225417,-20.705111
"35592","Ceratopteris_thalictroides",-40.896389,-20.840833
"37118","Ceratopteris_thalictroides",-75.095686,8.557136
"37403","Ceratopteris_thalictroides",9.522667,0.433833
"37416","Ceratopteris_thalictroides",98.0333,14.6
"38211","Ceratopteris_thalictroides",121.624055,24.755413
"38446","Ceratopteris_thalictroides",120.760556,23.751389
"39369","Ceratopteris_thalictroides",-83.679444,12.336667
"39376","Ceratopteris_thalictroides",-84.804444,10.873889
"39405","Ceratopteris_thalictroides",-86.267139,11.642111
"39418","Ceratopteris_thalictroides",-49.966667,-20.433333
"39596","Ceratopteris_thalictroides",9.417694,0.622667
"40279","Ceratopteris_thalictroides",11.58,3.62
"40282","Ceratopteris_thalictroides",112.17,1.33
"40331","Ceratopteris_thalictroides",114.67,4.68
"42441","Ceratopteris_thalictroides",-12.87222,12.62944
"42449","Ceratopteris_thalictroides",121.55,24.98333
"43844","Ceratopteris_thalictroides",146.4833,-22.317
"44056","Ceratopteris_thalictroides",143.0055,-19.2417
"44112","Ceratopteris_thalictroides",144.3927,-19.3189
"44265","Ceratopteris_thalictroides",144.1769,-17.3909
"44366","Ceratopteris_thalictroides",150.752765,-23.156512
"49877","Ceratopteris_thalictroides",-86.036389,12.630556
"50035","Ceratopteris_thalictroides",-85.212778,11.826111
"50048","Ceratopteris_thalictroides",49.438056,-17.453056
"50098","Ceratopteris_thalictroides",50.003889,-13.948333
"51683","Ceratopteris_thalictroides",129.99242,-15.40959
"51718","Ceratopteris_thalictroides",133.756097,-15.463236
"51864","Ceratopteris_thalictroides",129.64298,-15.6085
"51880","Ceratopteris_thalictroides",131.069956,-12.432244
"51891","Ceratopteris_thalictroides",132.425816,-12.606441
"51939","Ceratopteris_thalictroides",131.519934,-14.021717
"52100","Ceratopteris_thalictroides",130.48227,-15.65689
"52122","Ceratopteris_thalictroides",136.395133,-12.345541
"52248","Ceratopteris_thalictroides",134.97354,-13.02239
"52256","Ceratopteris_thalictroides",129.64381,-15.60681
"52366","Ceratopteris_thalictroides",124.98111,-8.9571
"52477","Ceratopteris_thalictroides",117.062389,-21.577556
"52520","Ceratopteris_thalictroides",144.525278,-18.263056
"52648","Ceratopteris_thalictroides",129.23889,-15.82336
"52715","Ceratopteris_thalictroides",129.1405,-15.4941
"52760","Ceratopteris_thalictroides",136.296525,-12.438038
"52853","Ceratopteris_thalictroides",127.532611,-16.017944
"52875","Ceratopteris_thalictroides",132.105484,-11.223079
"52956","Ceratopteris_thalictroides",131.07855,-14.15418
"53004","Ceratopteris_thalictroides",130.93857,-12.39446
"53023","Ceratopteris_thalictroides",132.47356,-14.909442
"53171","Ceratopteris_thalictroides",129.991793,-15.408515
"53185","Ceratopteris_thalictroides",146.020527,-17.519034
"56644","Ceratopteris_thalictroides",98.75,19.133
"56645","Ceratopteris_thalictroides",101.866,13.333
"56663","Ceratopteris_thalictroides",112.166,1.333
"56734","Ceratopteris_thalictroides",98.5,9.466
"61161","Ceratopteris_thalictroides",-85.350001,10.35
"61238","Ceratopteris_thalictroides",-84.778788,10.895634
"61312","Ceratopteris_thalictroides",-85.694722,10.919722
"61349","Ceratopteris_thalictroides",-85.854722,10.927778
"61396","Ceratopteris_thalictroides",-84.804444,10.873889
"63789","Ceratopteris_thalictroides",153.299231,-29.05806
"64960","Ceratopteris_thalictroides",-39.150833,-12.159722
"64993","Ceratopteris_thalictroides",-38.478056,-12.478056
"65057","Ceratopteris_thalictroides",-37.679167,-5.675278
"65285","Ceratopteris_thalictroides",-41.316667,-12.316667
"65294","Ceratopteris_thalictroides",-36.471389,-10.4725
"65298","Ceratopteris_thalictroides",-40.388056,-9.394167
"65455","Ceratopteris_thalictroides",-41.45,-12.45
"65532","Ceratopteris_thalictroides",-36.490556,-10.4875
"67344","Ceratopteris_thalictroides",-35.445833,-5.577222
"67347","Ceratopteris_thalictroides",-35.368056,-5.355833
"67371","Ceratopteris_thalictroides",-35.370278,-5.881667
"67376","Ceratopteris_thalictroides",-35.370278,-5.873333
"67402","Ceratopteris_thalictroides",-37.679167,-5.575278
"67424","Ceratopteris_thalictroides",-35.203611,-6.265833
"67427","Ceratopteris_thalictroides",-35.105556,-6.074167
"67488","Ceratopteris_thalictroides",-35.126111,-5.990833
"67577","Ceratopteris_thalictroides",133.666667,-0.75
"68087","Ceratopteris_thalictroides",-85.694722,10.919722
"81536","Ceratopteris_thalictroides",73.4696,21.7336
"85231","Ceratopteris_thalictroides",146.0186,-17.5219
"85462","Ceratopteris_thalictroides",117.0708,-21.5928
"93253","Ceratopteris_thalictroides",139.6,36.2
"93325","Ceratopteris_thalictroides",139.635556,36.218889
"93328","Ceratopteris_thalictroides",139.525,36.221389
"93329","Ceratopteris_thalictroides",139.556111,36.217222
"93382","Ceratopteris_thalictroides",139.488889,36.269167
"93386","Ceratopteris_thalictroides",139.538611,36.215278
"93391","Ceratopteris_thalictroides",139.46,36.2558
"93404","Ceratopteris_thalictroides",139.594444,36.260833
"93406","Ceratopteris_thalictroides",139.531389,36.226944
"93418","Ceratopteris_thalictroides",139.485833,36.255
"93425","Ceratopteris_thalictroides",139.444722,36.247778
"93476","Ceratopteris_thalictroides",139.280556,36.269722
"93661","Ceratopteris_thalictroides",139.493333,36.256667
"95135","Ceratopteris_thalictroides",121.597222,25.088889
"95255","Ceratopteris_thalictroides",120.583333,22.583333
"95266","Ceratopteris_thalictroides",121.766667,24.75
"95372","Ceratopteris_thalictroides",121.469444,25.113889
"95415","Ceratopteris_thalictroides",121.506389,25.098056
"95706","Ceratopteris_thalictroides",-93.886944,18.130278
"95713","Ceratopteris_thalictroides",-92.783333,18.160556
"95714","Ceratopteris_thalictroides",-92.646389,18.534444
"95716","Ceratopteris_thalictroides",-93.375556,18
"102031","Ceratopteris_thalictroides",-82.36993,28.04586
"102032","Ceratopteris_thalictroides",-81.35056,27.98716
"102033","Ceratopteris_thalictroides",-81.51292,28.42077
"102034","Ceratopteris_thalictroides",-81.2438,28.14094
"102035","Ceratopteris_thalictroides",-82.56017,28.04501
"102036","Ceratopteris_thalictroides",-82.70584,28.23727
"102037","Ceratopteris_thalictroides",-81.14197,27.38394
"102038","Ceratopteris_thalictroides",-81.35598,27.47009
"102039","Ceratopteris_thalictroides",-81.35379,27.94272
"102040","Ceratopteris_thalictroides",-81.34907,28.46842
"102041","Ceratopteris_thalictroides",-81.16772,29.44093
"102042","Ceratopteris_thalictroides",-80.75458,27.72943
"102043","Ceratopteris_thalictroides",-80.08022,26.48561
"102044","Ceratopteris_thalictroides",-81.64521,28.53279
"102045","Ceratopteris_thalictroides",-82.23749,28.72799
"102046","Ceratopteris_thalictroides",-81.26952,28.83852
"102047","Ceratopteris_thalictroides",-81.26537,29.03928
"102048","Ceratopteris_thalictroides",-81.39963,28.70121
"102049","Ceratopteris_thalictroides",-82.25668,28.79897
"102050","Ceratopteris_thalictroides",-81.28271,27.37524
"102051","Ceratopteris_thalictroides",-81.14108,26.80332
"102052","Ceratopteris_thalictroides",-80.86888,28.59284
"102053","Ceratopteris_thalictroides",-81.05503,28.75746
"102054","Ceratopteris_thalictroides",-81.215,28.74264
"102055","Ceratopteris_thalictroides",-80.75497,27.13717
"102532","Ceratopteris_thalictroides",-81.46169,27.56037
"102533","Ceratopteris_thalictroides",-81.31209,26.9331
"102534","Ceratopteris_thalictroides",-80.90882,28.65092
"102535","Ceratopteris_thalictroides",-81.51608,28.4807
"102536","Ceratopteris_thalictroides",-81.7798,29.35567
"102537","Ceratopteris_thalictroides",-82.7439,30.03615
