"","species","lon","lat"
"35083","Channa_marulius",71.3798,32.4358
"35085","Channa_marulius",90.3944,23.7113
"44768","Channa_marulius",90.019997,25.57
"44868","Channa_marulius",91.480003,23.540001
"55474","Channa_marulius",70.6578,30.7056
"55477","Channa_marulius",74.366,15.98
"55496","Channa_marulius",81.077,22.948
"93811","Channa_marulius",77.7769,12.1199
"93817","Channa_marulius",72.1333,31.1667
"94272","Channa_marulius",73.8624,31.2204
"94322","Channa_marulius",80.8847,17.6436
"94442","Channa_marulius",93.489998,26.65
"94459","Channa_marulius",77.68,11.44
"94496","Channa_marulius",77.779999,12.12
"96125","Channa_marulius",-82.4582,27.4551
"96191","Channa_marulius",91.33,25.08
"99630","Channa_marulius",-80.2067,26.2442
"100673","Channa_marulius",-80.36174,26.13281
"101803","Channa_marulius",-80.27282,26.65273
"101804","Channa_marulius",-80.2523,26.68151
"101805","Channa_marulius",-80.17281,26.26809
"101806","Channa_marulius",-80.2205,26.23035
"101807","Channa_marulius",-80.2973,26.35393
"101808","Channa_marulius",-80.26928,26.19835
"101992","Channa_marulius",-80.23556,26.11013
"102297","Channa_marulius",-80.2107,26.2582
"102298","Channa_marulius",-80.12756,26.32789
"102299","Channa_marulius",-80.16566,26.04971
"102300","Channa_marulius",-80.36169,26.13283
"102301","Channa_marulius",-80.29823,26.23032
"102556","Channa_marulius",-80.16586,26.05025
"102642","Channa_marulius",-80.36657,26.12788
"102675","Channa_marulius",-80.26984,26.34738
"102979","Channa_marulius",-80.217825,26.332023
"103859","Channa_marulius",-80.28735,26.29641
"103958","Channa_marulius",-80.4259,26.0645
"104674","Channa_marulius",-80.27605,26.15485
"105504","Channa_marulius",-80.27612,26.25403
"106199","Channa_marulius",-80.1589,26.3015
"106206","Channa_marulius",-80.23252,26.20872
"106207","Channa_marulius",-80.36155,26.13288
"106208","Channa_marulius",-80.22465,26.43481
"106209","Channa_marulius",-80.29897,26.65275
"106210","Channa_marulius",-80.29809,26.16468
"106211","Channa_marulius",-80.25029,26.66758
"106432","Channa_marulius",-80.34833,26.12361
"106510","Channa_marulius",-80.2978,26.2876
"106511","Channa_marulius",-80.1834,26.2959
"106543","Channa_marulius",-80.16075,26.32771
"106544","Channa_marulius",-80.1608,26.3276
"106545","Channa_marulius",-80.3076,26.16649
"107566","Channa_marulius",-80.16419,26.05224
"108073","Channa_marulius",-80.22649,26.12842
"108709","Channa_marulius",-80.26435,26.15849
"110113","Channa_marulius",-80.27505,26.22319
"110115","Channa_marulius",-80.2212,26.2305
"110117","Channa_marulius",-80.17412,26.27101
