"","species","lon","lat"
"13280","Citrus_aurantiifolia",-54.446111,-25.621667
"13289","Citrus_aurantiifolia",-53.420556,-24.937222
"13571","Citrus_aurantiifolia",-89.45333,18.22778
"13742","Citrus_aurantiifolia",-88.917,17.35
"14127","Citrus_aurantiifolia",-3.221341,5.884832
"20798","Citrus_aurantiifolia",13.7775,-1.432778
"27953","Citrus_aurantiifolia",-155.0383,19.5383
"34866","Citrus_aurantiifolia",117.666667,0.833333
"35131","Citrus_aurantiifolia",-74.56666,6.25
"35411","Citrus_aurantiifolia",-78.65,-1.66666
"36966","Citrus_aurantiifolia",-77.083528,2.074806
"40011","Citrus_aurantiifolia",-88.5179129,18.5034725
"40657","Citrus_aurantiifolia",150,-22.333333
"40872","Citrus_aurantiifolia",-47.4567,-22.4819
"41466","Citrus_aurantiifolia",1.969667,7.018167
"41627","Citrus_aurantiifolia",-88.916667,17.35
"41766","Citrus_aurantiifolia",-63.516667,-2.216667
"41810","Citrus_aurantiifolia",-87.183333,21.2
"41912","Citrus_aurantiifolia",-59.7,7.366667
"42212","Citrus_aurantiifolia",150.0381,-22.2697
"49941","Citrus_aurantiifolia",-68.945167,-14.745694
"50054","Citrus_aurantiifolia",-81.73357,28.054242
"55960","Citrus_aurantiifolia",2.7096,6.96421
"55961","Citrus_aurantiifolia",2.7005,7.03019
"55962","Citrus_aurantiifolia",2.63104,6.99761
"55964","Citrus_aurantiifolia",2.63982,7.00189
"55965","Citrus_aurantiifolia",2.63755,7.00216
"55966","Citrus_aurantiifolia",2.74259,7.0331
"55967","Citrus_aurantiifolia",2.6295,7.08674
"61058","Citrus_aurantiifolia",-85.474858,10.889386
"61137","Citrus_aurantiifolia",-84.0675,9.998056
"61214","Citrus_aurantiifolia",-84.193056,9.704167
"61463","Citrus_aurantiifolia",-84.318056,9.982778
"63329","Citrus_aurantiifolia",-99.019444,18.449997
"66375","Citrus_aurantiifolia",-155.038333,19.538333
"67356","Citrus_aurantiifolia",-35.243056,-5.843056
