"","species","lon","lat"
"1298","Cyclachaena_xanthiifolia",24.412146,64.645738
"6131","Cyclachaena_xanthiifolia",24.432198,64.655063
"7144","Cyclachaena_xanthiifolia",24.433045,64.646102
"13043","Cyclachaena_xanthiifolia",-111.9703,40.4316
"13879","Cyclachaena_xanthiifolia",-77.0742,38.815
"20838","Cyclachaena_xanthiifolia",4.653709,51.769333
"27054","Cyclachaena_xanthiifolia",-3.0112503,43.3088879
"27520","Cyclachaena_xanthiifolia",-105,38.91666
"27845","Cyclachaena_xanthiifolia",-111.9703,40.4316
"28012","Cyclachaena_xanthiifolia",-112.0014,42.925
"30667","Cyclachaena_xanthiifolia",24.417327,64.646277
"33974","Cyclachaena_xanthiifolia",25.642094,60.978125
"34949","Cyclachaena_xanthiifolia",4.406931,51.876944
"37538","Cyclachaena_xanthiifolia",5.960641,51.861659
"42703","Cyclachaena_xanthiifolia",-3.01,43.31
"42953","Cyclachaena_xanthiifolia",-107.68967,38.54315
"42993","Cyclachaena_xanthiifolia",-102.984426,37.078107
"42994","Cyclachaena_xanthiifolia",-102.87028,38.69111
"43072","Cyclachaena_xanthiifolia",-103.172907,37.140974
"43073","Cyclachaena_xanthiifolia",-106.79177,39.1701
"43075","Cyclachaena_xanthiifolia",-105.39738,37.428892
"43131","Cyclachaena_xanthiifolia",-106.90085,37.31011
"43219","Cyclachaena_xanthiifolia",-104.86099,39.75662
"43363","Cyclachaena_xanthiifolia",-105.163647,40.05313
"43399","Cyclachaena_xanthiifolia",-103.013413,37.137982
"43400","Cyclachaena_xanthiifolia",-103.68,39.26278
"43435","Cyclachaena_xanthiifolia",-106.71371,37.04539
"43465","Cyclachaena_xanthiifolia",-107.538187,39.635809
"43500","Cyclachaena_xanthiifolia",-104.373709,38.73916
"43541","Cyclachaena_xanthiifolia",-102.500773,39.504155
"43543","Cyclachaena_xanthiifolia",-108.672207,37.237964
"43582","Cyclachaena_xanthiifolia",-105.218544,39.903724
"43623","Cyclachaena_xanthiifolia",-104.59454,40.96025
"43628","Cyclachaena_xanthiifolia",-105.003194,36.896306
"43689","Cyclachaena_xanthiifolia",-102.960719,37.077494
"43690","Cyclachaena_xanthiifolia",-102.98444,39.28472
"49618","Cyclachaena_xanthiifolia",-88.01917,44.550333
"55487","Cyclachaena_xanthiifolia",-119.583,49.087
"57931","Cyclachaena_xanthiifolia",-3.01,43.31
"62481","Cyclachaena_xanthiifolia",17.79127,59.85417
"62486","Cyclachaena_xanthiifolia",12.21931,59.19946
"70491","Cyclachaena_xanthiifolia",-110.28,39.79
"74089","Cyclachaena_xanthiifolia",11.83755,57.84288
"77593","Cyclachaena_xanthiifolia",-108.469794,43.837685
"78249","Cyclachaena_xanthiifolia",37.429168,52.856653
"78329","Cyclachaena_xanthiifolia",40.461111,56.45
"78426","Cyclachaena_xanthiifolia",39.731982,54.6112
"78495","Cyclachaena_xanthiifolia",40.400076,55.641271
"78581","Cyclachaena_xanthiifolia",40.124559,56.060968
"78661","Cyclachaena_xanthiifolia",79.45,51.833333
"78778","Cyclachaena_xanthiifolia",40.669444,55.286111
"78799","Cyclachaena_xanthiifolia",33.780556,44.405556
"78985","Cyclachaena_xanthiifolia",-104.9367,40.2069
"79088","Cyclachaena_xanthiifolia",-115.47653,40.22361
"82003","Cyclachaena_xanthiifolia",12.621583,55.673447
"83699","Cyclachaena_xanthiifolia",-113.681222,42.076568
"83741","Cyclachaena_xanthiifolia",-112.860664,43.73064
"88409","Cyclachaena_xanthiifolia",-3.01,43.31
"92489","Cyclachaena_xanthiifolia",-105.08,40.97
"92492","Cyclachaena_xanthiifolia",-105.03,40.98
"92736","Cyclachaena_xanthiifolia",-102.995834,38.980835
"92835","Cyclachaena_xanthiifolia",-98.904883,47.384624
"93115","Cyclachaena_xanthiifolia",-102.870277,38.691113
"93129","Cyclachaena_xanthiifolia",-103.95547,42.60378
"93146","Cyclachaena_xanthiifolia",-117.85737,43.79079
"97347","Cyclachaena_xanthiifolia",24.417327,64.646277
"97984","Cyclachaena_xanthiifolia",24.479469,64.698509
"97990","Cyclachaena_xanthiifolia",24.553427,64.66569
"98154","Cyclachaena_xanthiifolia",24.441392,64.658589
"98281","Cyclachaena_xanthiifolia",24.494091,60.975583
"98884","Cyclachaena_xanthiifolia",24.4343,64.64388
"98907","Cyclachaena_xanthiifolia",-107.58,45.83
"128863","Cyclachaena_xanthiifolia",24.535927,64.665803
"133350","Cyclachaena_xanthiifolia",-111.60213,35.17949
"133555","Cyclachaena_xanthiifolia",-108.6726383,37.2379095
"133782","Cyclachaena_xanthiifolia",13.74156,59.59833
"134851","Cyclachaena_xanthiifolia",4.999222,52.239914
"139422","Cyclachaena_xanthiifolia",-116.923452,40.65646
"140251","Cyclachaena_xanthiifolia",-114.4175,40.31981
"141006","Cyclachaena_xanthiifolia",-84.03335,41.7945
"141079","Cyclachaena_xanthiifolia",-83.732056,42.301917
"148794","Cyclachaena_xanthiifolia",14.04478,50.65172
"148893","Cyclachaena_xanthiifolia",14.12972,49.94389
"151341","Cyclachaena_xanthiifolia",17.13331,59.66578
"151416","Cyclachaena_xanthiifolia",17.61005,58.95705
"151649","Cyclachaena_xanthiifolia",13.33746,55.66144
"151675","Cyclachaena_xanthiifolia",12.99637,55.58581
"152695","Cyclachaena_xanthiifolia",-102.4913,38.1798
"152753","Cyclachaena_xanthiifolia",-104.881049,39.768382
"152820","Cyclachaena_xanthiifolia",-105.1701,40.956868
"152976","Cyclachaena_xanthiifolia",-105.359409,39.845822
"153005","Cyclachaena_xanthiifolia",-104.802833,39.7146
"153007","Cyclachaena_xanthiifolia",-105.215591,39.733953
"153172","Cyclachaena_xanthiifolia",-103.6247,40.2621
"153177","Cyclachaena_xanthiifolia",-102.32039,40.4398
"153239","Cyclachaena_xanthiifolia",-104.545057,40.960653
"153290","Cyclachaena_xanthiifolia",-104.9545,39.22367
"153318","Cyclachaena_xanthiifolia",-103.513,37.76467
"153361","Cyclachaena_xanthiifolia",-107.31798,37.16428
"153651","Cyclachaena_xanthiifolia",-119.580002,49.09
"154083","Cyclachaena_xanthiifolia",17.91661,60.18245
"155742","Cyclachaena_xanthiifolia",14.24908,55.9299
"156605","Cyclachaena_xanthiifolia",-3.01,43.31
"157530","Cyclachaena_xanthiifolia",15.21134,59.26213
"159264","Cyclachaena_xanthiifolia",-106.255159,35.753131
"159279","Cyclachaena_xanthiifolia",-103.97957,36.7801
"159344","Cyclachaena_xanthiifolia",-104.854805,36.53207
"159521","Cyclachaena_xanthiifolia",-105.054048,36.163358
"159535","Cyclachaena_xanthiifolia",-106.789517,35.546392
"159579","Cyclachaena_xanthiifolia",-106.789418,36.903779
"159661","Cyclachaena_xanthiifolia",-105.98797,36.42438
"159782","Cyclachaena_xanthiifolia",-106.152604,35.571031
"160763","Cyclachaena_xanthiifolia",-103.972528,36.859167
"160783","Cyclachaena_xanthiifolia",-103.613917,35.746556
"160787","Cyclachaena_xanthiifolia",-104.375417,36.0585
"160849","Cyclachaena_xanthiifolia",-105.814128,39.636569
"160851","Cyclachaena_xanthiifolia",-103.68,39.262779
