"","species","lon","lat"
"19520","Cyclanthera_pedata",-65.797222,-17.1875
"19864","Cyclanthera_pedata",-79.15,-3.46666
"39162","Cyclanthera_pedata",-63.688889,-18.148611
"49919","Cyclanthera_pedata",-63.688889,-18.148611
"50026","Cyclanthera_pedata",-76.66666,-0.31666
"54512","Cyclanthera_pedata",-40.835694,-20.127778
"61456","Cyclanthera_pedata",-84.0675,9.998056
"96281","Cyclanthera_pedata",-78.31667,-1.38333
"133961","Cyclanthera_pedata",-71.038148,18.392595
"136707","Cyclanthera_pedata",-72.531111,6.449444
"137876","Cyclanthera_pedata",-37.169722,-10.806389
"137878","Cyclanthera_pedata",-37.170083,-10.817667
"138015","Cyclanthera_pedata",-37.315,-10.758056
"138976","Cyclanthera_pedata",-43.493611,-20.383889
"143429","Cyclanthera_pedata",-68.503556,-15.152278
"161144","Cyclanthera_pedata",-73.083333,-13.066667
"161535","Cyclanthera_pedata",-78.5,0.08333
"161619","Cyclanthera_pedata",-78.75,-2.2
"161865","Cyclanthera_pedata",-84.0675,9.998056
"162038","Cyclanthera_pedata",-75.437206,5.031836
"163412","Cyclanthera_pedata",-63.866667,-18.183333
"163464","Cyclanthera_pedata",-78.73333,-2.73333
"170321","Cyclanthera_pedata",-41.783333,-13.15
"202477","Cyclanthera_pedata",16.65556,49.15111
"214552","Cyclanthera_pedata",-68.6181,18.3645
"215960","Cyclanthera_pedata",-78.65,0.133333
"216488","Cyclanthera_pedata",-66.7,18.341667
"247487","Cyclanthera_pedata",-77.803883,-7.043583
"252859","Cyclanthera_pedata",-93.030694,15.741722
"254834","Cyclanthera_pedata",-68.604722,18.381111
"262040","Cyclanthera_pedata",-67.5,-14.5
"285644","Cyclanthera_pedata",-78.13,-2.5
"289472","Cyclanthera_pedata",-37.17,-10.817778
"289473","Cyclanthera_pedata",-37.101111,-10.482222
"289474","Cyclanthera_pedata",-37.185278,-10.452778
"303923","Cyclanthera_pedata",-68.503556,-15.152278
"303985","Cyclanthera_pedata",-78.38333,-1.4
"310363","Cyclanthera_pedata",-41.783333,-13.15
"328521","Cyclanthera_pedata",-84.0675,9.998056
"329821","Cyclanthera_pedata",-75.8355,4.58838
"329823","Cyclanthera_pedata",-75.63949,4.70373
"329842","Cyclanthera_pedata",-75.60353,4.94573
"338814","Cyclanthera_pedata",-79.810622,-4.284878
"345135","Cyclanthera_pedata",98.733333,27.183333
"350661","Cyclanthera_pedata",-78.63333,-1.3
"350796","Cyclanthera_pedata",-78.03333,0.55
"362381","Cyclanthera_pedata",-70.1,-12.57
"366690","Cyclanthera_pedata",-76.666667,-0.329167
"366871","Cyclanthera_pedata",-73.083333,-13.066667
"372647","Cyclanthera_pedata",-76.666667,-0.329167
"398920","Cyclanthera_pedata",-66.651667,18.344167
"401463","Cyclanthera_pedata",-84.06,9.98
"432739","Cyclanthera_pedata",-78.98333,-0.31666
"432894","Cyclanthera_pedata",-77.73333,-2.2
"448175","Cyclanthera_pedata",-78.31666,-1.38333
"448516","Cyclanthera_pedata",-67.5,-14.5
"450454","Cyclanthera_pedata",-84.039191,9.996179
"459900","Cyclanthera_pedata",-76.08239,2.72243
"469008","Cyclanthera_pedata",-37.414722,-9.639806
"469431","Cyclanthera_pedata",-37.446389,-9.514667
"469443","Cyclanthera_pedata",-37.594439,-9.398778
"469469","Cyclanthera_pedata",-37.706311,-10.054853
"472998","Cyclanthera_pedata",-76.63,1.16
"473092","Cyclanthera_pedata",-76.41,1.48
"473110","Cyclanthera_pedata",-74.14,3.45
"487057","Cyclanthera_pedata",-78.28,-1.38
