"","species","lon","lat"
"12352","Cyperus_iria",-79.6599,34.4218
"12357","Cyperus_iria",-81.716935,33.788169
"12407","Cyperus_iria",-80.068244,32.792485
"12418","Cyperus_iria",-80.871212,33.485549
"12445","Cyperus_iria",-79.084413,33.516274
"12527","Cyperus_iria",-79.821,33.8801
"12550","Cyperus_iria",-80.529731,33.945321
"12551","Cyperus_iria",-81.0827,34.0072
"12580","Cyperus_iria",-80.726142,33.580281
"12616","Cyperus_iria",-81.1106,34.7332
"12640","Cyperus_iria",-79.984167,33.200278
"12688","Cyperus_iria",-80.4379,33.5664
"12757","Cyperus_iria",-80.943541,33.965626
"12759","Cyperus_iria",-80.695906,34.333411
"12907","Cyperus_iria",-80.6122,33.0662
"13008","Cyperus_iria",-80.194444,34.148333
"13081","Cyperus_iria",-81.242975,34.223673
"13175","Cyperus_iria",120.28,-22.9506
"13260","Cyperus_iria",-67.33,-15.53
"13462","Cyperus_iria",-105.95,22.92306
"13612","Cyperus_iria",-99.3384,18.49419
"13800","Cyperus_iria",-105.04889,19.52333
"13834","Cyperus_iria",-99.31444,17.00333
"19434","Cyperus_iria",-85.593889,12.494861
"19440","Cyperus_iria",47.089722,-20.196111
"19500","Cyperus_iria",-85.356778,11.977056
"19572","Cyperus_iria",-90.06666,13.8
"19767","Cyperus_iria",-90.042222,36.229445
"19806","Cyperus_iria",-104.983333,19.382222
"19855","Cyperus_iria",-89.95,36.016667
"19974","Cyperus_iria",114.27,30.54
"19988","Cyperus_iria",117.47,26.72
"20027","Cyperus_iria",114.05,22.54
"20143","Cyperus_iria",115.99,29.61
"20197","Cyperus_iria",110.35,25.17
"20220","Cyperus_iria",110.05,25.25
"20224","Cyperus_iria",130.23,47.25
"20266","Cyperus_iria",119.82,31.37
"27461","Cyperus_iria",-63.16666,-18.06666
"27482","Cyperus_iria",-85.409333,12.160806
"27549","Cyperus_iria",-86.737028,12.646444
"27605","Cyperus_iria",-109.55416,28.56916
"27678","Cyperus_iria",-64.898611,-14.812778
"27705","Cyperus_iria",-75.894722,38.696389
"27745","Cyperus_iria",-105.182778,19.625556
"27754","Cyperus_iria",-76.078889,4.334444
"27774","Cyperus_iria",-63.669444,-17.542222
"27890","Cyperus_iria",-76.789344,39.155439
"27932","Cyperus_iria",-93.583229,33.353576
"27939","Cyperus_iria",-75.215272,38.737819
"27957","Cyperus_iria",-75.92667,38.37028
"28013","Cyperus_iria",-75.820177,38.872698
"34516","Cyperus_iria",-1.862778,9.271944
"34530","Cyperus_iria",-2.431667,8.960556
"34709","Cyperus_iria",-1.7,13.75
"34898","Cyperus_iria",0.098889,5.707222
"34962","Cyperus_iria",4.5285,52.029133
"35255","Cyperus_iria",-90.603056,36.508333
"35331","Cyperus_iria",-90.091389,36.739444
"35463","Cyperus_iria",-90.61018,36.50356
"35543","Cyperus_iria",-84.202833,9.939472
"35556","Cyperus_iria",-85.426194,11.968139
"35705","Cyperus_iria",-121.633167,39.467778
"35782","Cyperus_iria",-0.37,12.07
"37129","Cyperus_iria",-92.284285,34.824369
"37619","Cyperus_iria",-1.55,13.683333
"37647","Cyperus_iria",120.346111,23.851111
"37665","Cyperus_iria",120.349444,23.896389
"37794","Cyperus_iria",120.4775,23.529964
"37797","Cyperus_iria",120.747235,24.35383
"37799","Cyperus_iria",120.767209,24.345094
"37801","Cyperus_iria",121.266667,25.038889
"37893","Cyperus_iria",120.4425,23.939444
"37904","Cyperus_iria",120.358231,23.6
"37972","Cyperus_iria",121.22,25.0175
"38097","Cyperus_iria",120.76,23.765556
"38229","Cyperus_iria",120.832778,23.951111
"38345","Cyperus_iria",120.531667,23.905556
"38358","Cyperus_iria",120.316111,23.345556
"38425","Cyperus_iria",120.793611,23.831111
"38431","Cyperus_iria",120.573625,22.88787
"38450","Cyperus_iria",120.501948,22.726915
"38468","Cyperus_iria",120.698333,23.867222
"38557","Cyperus_iria",121.822324,25.035897
"38594","Cyperus_iria",121.849444,25.002778
"38619","Cyperus_iria",120.321389,23.703333
"38647","Cyperus_iria",121.502654,23.921629
"38675","Cyperus_iria",120.373333,23.7825
"38685","Cyperus_iria",120.740278,23.740278
"38793","Cyperus_iria",120.28609,22.89064
"38907","Cyperus_iria",120.556111,23.783889
"38922","Cyperus_iria",120.478817,23.061316
"38925","Cyperus_iria",120.731667,24.143611
"38933","Cyperus_iria",120.613636,22.891106
"38940","Cyperus_iria",120.304444,22.68
"39056","Cyperus_iria",-90.066667,13.8
"39091","Cyperus_iria",-86.955278,12.968889
"39135","Cyperus_iria",-88.715,13.621389
"39216","Cyperus_iria",-90.439167,36.568056
"39277","Cyperus_iria",-63.077778,-17.607778
"39305","Cyperus_iria",-66.01666,18.25
"39321","Cyperus_iria",-86.839194,12.926945
"39443","Cyperus_iria",44.319722,-23.531944
"39549","Cyperus_iria",-86.95,12.875
"39632","Cyperus_iria",-89.63888,19.425
"39877","Cyperus_iria",-90.033333,13.766667
"39927","Cyperus_iria",44.389444,-20.340278
"40052","Cyperus_iria",-78.723077,37.431587
"40130","Cyperus_iria",-77.783036,38.377821
"40142","Cyperus_iria",-77.337825,38.438238
"40205","Cyperus_iria",-91.585024,33.977322
"40206","Cyperus_iria",-91.34165,35.098833
"40327","Cyperus_iria",100.58,18.53
"40369","Cyperus_iria",102.83,16.43
"42248","Cyperus_iria",142.9353,-22.6131
"42315","Cyperus_iria",130.36688,-17.49375
"42465","Cyperus_iria",135.79846,34.40693
"42491","Cyperus_iria",135.74246,34.51421
"42642","Cyperus_iria",135.83757,34.60159
"44026","Cyperus_iria",145.3838,-22.3053
"44185","Cyperus_iria",144.21222,-14.91021
"44213","Cyperus_iria",145.9152,-23.5634
"44412","Cyperus_iria",145.6388,-22.4528
"44596","Cyperus_iria",-75.83644,38.57617
"44640","Cyperus_iria",-73.985016,40.759011
"44648","Cyperus_iria",-76.06417,38.56
"44664","Cyperus_iria",-75.58725,38.719081
"44679","Cyperus_iria",-75.640631,38.409881
"44898","Cyperus_iria",-38.5075,-6.565
"44899","Cyperus_iria",-39.086944,-7.883333
"49953","Cyperus_iria",44.389444,-20.340278
"49976","Cyperus_iria",-85.409333,12.160806
"50047","Cyperus_iria",44.399722,-20.292222
"50062","Cyperus_iria",34.45,2.25
"50088","Cyperus_iria",-84.00361,10.43138
"50222","Cyperus_iria",-85.351111,10.332222
"50294","Cyperus_iria",45.476945,-19.726667
"50296","Cyperus_iria",-88.1025,13.922222
"50509","Cyperus_iria",100.1,7
"50573","Cyperus_iria",85.37,27.38
"50602","Cyperus_iria",127.22,38.07
"50644","Cyperus_iria",140.83,38.3
"51700","Cyperus_iria",132.32,-23.564167
"51726","Cyperus_iria",136.786802,-12.179439
"51750","Cyperus_iria",130.97047,-14.11904
"51762","Cyperus_iria",133.1397,-22.5811
"51764","Cyperus_iria",133.5431,-20.9661
"51768","Cyperus_iria",135.338572,-19.405282
"51793","Cyperus_iria",130.88072,-12.43626
"51871","Cyperus_iria",129.9264,-19.5747
"51963","Cyperus_iria",129.95472,-17.26306
"51974","Cyperus_iria",137.097778,-18.648333
"52003","Cyperus_iria",134.23,-19.556389
"52020","Cyperus_iria",137.065833,-16.835
"52046","Cyperus_iria",133.737778,-19.729444
"52062","Cyperus_iria",130.8481,-12.42191
"52089","Cyperus_iria",136.437973,-18.788834
"52124","Cyperus_iria",134.488333,-17.334722
"52146","Cyperus_iria",129.924722,-14.4025
"52159","Cyperus_iria",129.1392,-25.0844
"52213","Cyperus_iria",130.36688,-17.49375
"52235","Cyperus_iria",134.5178,-20.4889
"52280","Cyperus_iria",142.9353,-22.6131
"52367","Cyperus_iria",129.288056,-17.334444
"52424","Cyperus_iria",133.063056,-24.158889
"52432","Cyperus_iria",136.737482,-22.727161
"52461","Cyperus_iria",134.106944,-28.044167
"52462","Cyperus_iria",134.921411,-23.996908
"52475","Cyperus_iria",131.29418,-18.763055
"52484","Cyperus_iria",135.4878,-24.1569
"52496","Cyperus_iria",130.72551,-14.34992
"52539","Cyperus_iria",145.726918,-16.878209
"52559","Cyperus_iria",124.8619,-9.2492
"52564","Cyperus_iria",132.844,-12.6755
"52573","Cyperus_iria",135.450278,-22.967222
"52576","Cyperus_iria",132.41656,-14.32781
"52646","Cyperus_iria",133.241389,-24.568889
"52652","Cyperus_iria",130.45486,-17.78127
"52702","Cyperus_iria",135.6364,-18.0744
"52708","Cyperus_iria",135.42332,-16.71192
"52711","Cyperus_iria",130.7444,-19.5511
"52714","Cyperus_iria",132.3417,-24.3
"52724","Cyperus_iria",135.0389,-20.9917
"52729","Cyperus_iria",134.96044,-12.47907
"52743","Cyperus_iria",134.0217,-20.4164
"52751","Cyperus_iria",133.2261,-12.6311
"52753","Cyperus_iria",143.683333,-14.1675
"52769","Cyperus_iria",133.724444,-19.006944
"52771","Cyperus_iria",133.088813,-13.758891
"52784","Cyperus_iria",131.4758,-23.4272
"52785","Cyperus_iria",125.4328,-8.71439
"52798","Cyperus_iria",132.66495,-23.750971
"52800","Cyperus_iria",128.651111,-24.514167
"52809","Cyperus_iria",137.883827,-22.711038
"52833","Cyperus_iria",132.52611,-12.66242
"52848","Cyperus_iria",124.7741,-22.3398
"52851","Cyperus_iria",131.0055,-13.1065
"52873","Cyperus_iria",136.1808,-16.5221
"52905","Cyperus_iria",129.765306,-18.261136
"52943","Cyperus_iria",120.858056,-22.610556
"52967","Cyperus_iria",137.7583,-22.2544
"52968","Cyperus_iria",145.307778,-18.350556
"52983","Cyperus_iria",136.0719,-18.147
"53064","Cyperus_iria",128.7297,-15.7353
"53065","Cyperus_iria",130.925278,-25.718889
"53067","Cyperus_iria",133.85639,-23.78111
"53077","Cyperus_iria",134.058086,-12.697662
"53123","Cyperus_iria",134.963611,-23.998889
"53129","Cyperus_iria",135.793221,-13.577768
"53132","Cyperus_iria",129.77858,-19.67966
"53148","Cyperus_iria",132.275773,-13.430557
"53149","Cyperus_iria",129.1936,-25.66
"53187","Cyperus_iria",130.323611,-16.867778
"53192","Cyperus_iria",130.619269,-19.278705
"53215","Cyperus_iria",133.028538,-12.231392
"53232","Cyperus_iria",130.0033,-25.5136
"53237","Cyperus_iria",132.0823,-23.785302
"53263","Cyperus_iria",131.3167,-22.6917
"53266","Cyperus_iria",137.617778,-18.752222
"53287","Cyperus_iria",134.1416,-21.0062
"53289","Cyperus_iria",134.572778,-21.9575
"53290","Cyperus_iria",134.781667,-20.640556
"54336","Cyperus_iria",-121.633167,39.467778
"55440","Cyperus_iria",-81.1446,32.1403
"55676","Cyperus_iria",1.037904,11.017895
"55702","Cyperus_iria",1.236302,10.806376
