"","species","lon","lat"
"19991","Cyperus_microiria",104.68,32.94
"20035","Cyperus_microiria",115.99,29.61
"20073","Cyperus_microiria",114.05,22.54
"20787","Cyperus_microiria",141.134958,39.024981
"28029","Cyperus_microiria",-73.9756,41.3019
"40143","Cyperus_microiria",-78.447058,37.199734
"42479","Cyperus_microiria",135.9688,34.46806
"42492","Cyperus_microiria",135.70021,34.35019
"42507","Cyperus_microiria",135.8063,34.6922
"42559","Cyperus_microiria",135.79846,34.40693
"42582","Cyperus_microiria",135.87511,34.4044
"42640","Cyperus_microiria",135.73238,34.56493
"42660","Cyperus_microiria",135.85281,34.39161
"42670","Cyperus_microiria",135.76544,34.67253
"44753","Cyperus_microiria",80.440002,23.040001
"44830","Cyperus_microiria",80.370003,22.610001
"50511","Cyperus_microiria",140.52,38.06
"50545","Cyperus_microiria",128.57,38.2
"50593","Cyperus_microiria",139.24,35.6
"61945","Cyperus_microiria",138.776111,-27.188889
"70760","Cyperus_microiria",9.02698,46.24278
"73143","Cyperus_microiria",128.012833,35.514056
"73152","Cyperus_microiria",129.082778,35.668611
"73189","Cyperus_microiria",128.341861,36.851722
"73192","Cyperus_microiria",127.968611,35.487
"73195","Cyperus_microiria",127.485944,35.5445
"73207","Cyperus_microiria",127.567062,35.556145
"73219","Cyperus_microiria",128.515533,35.71719
"73234","Cyperus_microiria",127.581556,35.536028
"74636","Cyperus_microiria",122.98,39.7
"93245","Cyperus_microiria",139.058611,36.387222
"93266","Cyperus_microiria",139.503056,36.260556
"93434","Cyperus_microiria",139.059444,36.389722
"93644","Cyperus_microiria",139.038333,36.649444
"93650","Cyperus_microiria",139.583611,36.235833
"93664","Cyperus_microiria",138.7925,36.502778
"93724","Cyperus_microiria",138.9,36.3
"93740","Cyperus_microiria",139.155,36.303889
"93746","Cyperus_microiria",139.101667,36.713333
"95119","Cyperus_microiria",109.716667,30.016667
"122321","Cyperus_microiria",80.699997,23.190001
"136047","Cyperus_microiria",139.395508,35.599226
"136060","Cyperus_microiria",139.288401,35.680032
"136061","Cyperus_microiria",139.39267,35.60081
"136064","Cyperus_microiria",139.447908,35.65393
"136084","Cyperus_microiria",139.3129,35.66687
"141058","Cyperus_microiria",-75.406667,39.054722
"152666","Cyperus_microiria",111.22,28.38
"153389","Cyperus_microiria",-75.095559,39.238278
"153883","Cyperus_microiria",138.229723,36.362071
"153887","Cyperus_microiria",138.35238,36.360675
"153948","Cyperus_microiria",138.17168,36.390585
"155171","Cyperus_microiria",139.60419,35.60409
"155174","Cyperus_microiria",139.74721,35.54068
"155176","Cyperus_microiria",139.5593,35.59051
"155186","Cyperus_microiria",139.65317,35.58918
"155187","Cyperus_microiria",139.5759,35.62033
"155201","Cyperus_microiria",139.62199,35.56626
"155220","Cyperus_microiria",139.56482,35.62431
"155226","Cyperus_microiria",139.7139,35.49411
"155229","Cyperus_microiria",139.45747,35.61422
"155234","Cyperus_microiria",139.49532,35.59798
"155246","Cyperus_microiria",139.47961,35.57749
"155254","Cyperus_microiria",139.66769,35.54937
"155284","Cyperus_microiria",139.61993,35.60584
"155290","Cyperus_microiria",139.4958,35.59343
"155291","Cyperus_microiria",139.74335,35.54084
"155293","Cyperus_microiria",139.62544,35.60849
"155297","Cyperus_microiria",139.75838,35.53955
