"","species","lon","lat"
"44801","Daphnia_lumholtzi",-83.480003,41.689999
"81504","Daphnia_lumholtzi",-109.654,28.978
"81534","Daphnia_lumholtzi",-94.176,32.694
"81615","Daphnia_lumholtzi",-117.8,33.667
"81624","Daphnia_lumholtzi",-92.544,35.077
"93813","Daphnia_lumholtzi",-83.196,41.892
"96128","Daphnia_lumholtzi",-83.4775,41.6877
"98994","Daphnia_lumholtzi",-83.556175,36.382389
"98996","Daphnia_lumholtzi",-93.30843,37.892602
"99007","Daphnia_lumholtzi",-95.574532,38.661386
"99009","Daphnia_lumholtzi",-82.807131,41.561711
"99591","Daphnia_lumholtzi",-87.8469,41.685
"99596","Daphnia_lumholtzi",-93.5242,33.0556
"99597","Daphnia_lumholtzi",-110.445,31.9
"99598","Daphnia_lumholtzi",-88.3433,41.370911
"99599","Daphnia_lumholtzi",-92.9183,39.7217
"99602","Daphnia_lumholtzi",-93.2781,39.2831
"99603","Daphnia_lumholtzi",-95.5106,34.0761
"99604","Daphnia_lumholtzi",-81.3292,34.3156
"99672","Daphnia_lumholtzi",-82.92,41.84
"102246","Daphnia_lumholtzi",-96.00623,32.8717
"102247","Daphnia_lumholtzi",-97.50422,32.86873
"102248","Daphnia_lumholtzi",-96.94275,33.14328
"102614","Daphnia_lumholtzi",-83.817101,36.306272
"102616","Daphnia_lumholtzi",-90.340104,40.133938
"102690","Daphnia_lumholtzi",-96.53122,33.04108
"102691","Daphnia_lumholtzi",-94.25079,33.28893
"102785","Daphnia_lumholtzi",-91.4508,34.9589
"102786","Daphnia_lumholtzi",-81.2473,28.3337
"102787","Daphnia_lumholtzi",-94.3267,38.765
"102791","Daphnia_lumholtzi",-94.6841,34.1628
"102874","Daphnia_lumholtzi",-85.756445,38.269858
"103018","Daphnia_lumholtzi",-82.784729,42.532844
"104076","Daphnia_lumholtzi",-93.769341,37.66344
"104555","Daphnia_lumholtzi",-121.57882,37.840157
"104582","Daphnia_lumholtzi",-92.0167,33.2333
"104584","Daphnia_lumholtzi",-111.442,33.5536
"104585","Daphnia_lumholtzi",-89.4539,37.7778
"104586","Daphnia_lumholtzi",-92.6206,36.4989
"104587","Daphnia_lumholtzi",-94.3783,39.8767
"104589","Daphnia_lumholtzi",-93.0244,40.5011
"104590","Daphnia_lumholtzi",-97.8903,34.5917
"104591","Daphnia_lumholtzi",-81.2183,34.0528
"104621","Daphnia_lumholtzi",-87.88388,30.918516
"104622","Daphnia_lumholtzi",-87.92916,30.787131
"106840","Daphnia_lumholtzi",-84.002838,36.273065
"106841","Daphnia_lumholtzi",-92.888546,39.589154
