"","species","lon","lat"
"12943","Datura_metel",-81.081568,34.009161
"19721","Datura_metel",109.181667,11.723333
"34794","Datura_metel",2.587333,7.333667
"39286","Datura_metel",-62.766667,-17.183333
"39973","Datura_metel",-88.8804201,17.8979406
"50301","Datura_metel",-62.766667,-17.183333
"52321","Datura_metel",125.326111,-8.594444
"67836","Datura_metel",2.716667,7.466667
"67882","Datura_metel",2.45,6.9
"68065","Datura_metel",90.166667,24.5
"68913","Datura_metel",2.45,6.9
"74682","Datura_metel",111.18,40.27
"74719","Datura_metel",112.67,38.07
"74815","Datura_metel",125.14,42.9
"81572","Datura_metel",72.353,23.709
"84353","Datura_metel",101.56752,21.475834
"94353","Datura_metel",15.13168,59.2919
"122315","Datura_metel",79.970001,23.9
"134064","Datura_metel",-82.41004,29.61257
"137427","Datura_metel",-40.6,-12.5
"139912","Datura_metel",57.65,23.25
"143228","Datura_metel",-86.9,12.43333
"143534","Datura_metel",31.55166,-1.03222
"148500","Datura_metel",120.841667,-19.741111
"153701","Datura_metel",117.089996,39.09
"158350","Datura_metel",49.16917,-12.51806
"163119","Datura_metel",-88.00083,19.89194
"167137","Datura_metel",147.634164,-22.739274
"167795","Datura_metel",-117.89056,33.64056
"172183","Datura_metel",2.6666,6.7166
"172184","Datura_metel",2.7166,7.4666
"172185","Datura_metel",2.6,7.3666
"172186","Datura_metel",1.9833,6.5833
"172187","Datura_metel",2.2166,8.9333
"172188","Datura_metel",2.45,6.9
"172189","Datura_metel",2.5333,6.4833
"172190","Datura_metel",2.0833,6.3666
"172479","Datura_metel",112.15,37.55
"182781","Datura_metel",24.71638,58.36189
"183727","Datura_metel",-38.216667,-9.4
"183849","Datura_metel",-40.6,-12.5
"200088","Datura_metel",82.529402,27.711627
"200099","Datura_metel",83.046879,27.551799
"200101","Datura_metel",83.794255,27.540399
"203960","Datura_metel",-88.00083,19.89194
"206903","Datura_metel",2.083333,6.366667
"206955","Datura_metel",2.666667,6.5
"212914","Datura_metel",125.326111,-8.594444
"216308","Datura_metel",23.548793,60.636754
"226516","Datura_metel",74.800278,14.437797
"226517","Datura_metel",73.842985,18.14582
"226518","Datura_metel",74.497674,15.849695
"226942","Datura_metel",-51.186722,-29.137056
"246744","Datura_metel",-40.6,-12.5
"249954","Datura_metel",49.83,15.02
"250437","Datura_metel",-80.3725,25.7568
"251319","Datura_metel",120.55,-10.216667
"251761","Datura_metel",70.451,21.451
"256037","Datura_metel",14.625,-23.125
"258486","Datura_metel",-64.190833,-31.390833
"260249","Datura_metel",57.633333,23.066667
"263843","Datura_metel",18.8,-5.033333
"283334","Datura_metel",3.846841,7.337388
"283335","Datura_metel",3.374736,6.681458
"283384","Datura_metel",3.502874,6.70708
"283417","Datura_metel",3.352393,6.528857
"283463","Datura_metel",6.43,5.69
"283516","Datura_metel",3.312784,6.638832
"283581","Datura_metel",3.968418,7.385336
"283596","Datura_metel",4.549254,7.49067
"283719","Datura_metel",3.306714,6.700772
"283730","Datura_metel",3.9948,7.391603
"283739","Datura_metel",8.674788,11.794618
"283747","Datura_metel",3.252324,6.679499
"288161","Datura_metel",141.0081,43.197
"292306","Datura_metel",-39.24535,-8.630261
"292573","Datura_metel",85.33,27.69
"292587","Datura_metel",85.56,27.71
"292608","Datura_metel",83.19,27.93
"292613","Datura_metel",80.41667,28.83333
"292614","Datura_metel",80.1329,29.06335
"292653","Datura_metel",84.12,27.64
"292669","Datura_metel",86.64,26.78
"292680","Datura_metel",82.56908,27.75133
"292689","Datura_metel",82.75,27.83
"292701","Datura_metel",83.85978,27.66011
"292720","Datura_metel",82.99,27.65
"292749","Datura_metel",87.19,27.31
"292753","Datura_metel",85.23333,27.06667
"292755","Datura_metel",84.5,28.28333
"292757","Datura_metel",85.45,27.7
"292779","Datura_metel",83.54,27.86
"292792","Datura_metel",85.15,26.88333
"295979","Datura_metel",35.71667,-15.31667
"303569","Datura_metel",70.6075,21.7252
"326870","Datura_metel",-57.055556,-19.425278
"329971","Datura_metel",-88.045278,19.579167
"330127","Datura_metel",-90.118333,19.484722
"330390","Datura_metel",-90.531667,19.842222
"332409","Datura_metel",2.71667,7.46667
"332410","Datura_metel",2.63333,6.41667
"332411","Datura_metel",2.08333,6.36667
"332544","Datura_metel",1.96667,6.58333
"332585","Datura_metel",2.63333,6.88333
"332619","Datura_metel",2.06667,6.5
"332620","Datura_metel",2.6,8.73333
"332655","Datura_metel",2.59,7.33389
"332808","Datura_metel",2.15,6.46667
"332845","Datura_metel",2.500556,7.471944
