"","species","lon","lat"
"4763","Digitalis_grandiflora",24.889336,61.42224
"20771","Digitalis_grandiflora",7.6047,43.92947
"25943","Digitalis_grandiflora",16.73168,61.28544
"27792","Digitalis_grandiflora",27.8992,51.903783
"34040","Digitalis_grandiflora",24.639937,61.498945
"35939","Digitalis_grandiflora",12.90194,46.54033
"36080","Digitalis_grandiflora",14.73818,47.07998
"36107","Digitalis_grandiflora",15.25889,47.165
"36250","Digitalis_grandiflora",14.54889,47.66083
"36378","Digitalis_grandiflora",14.05778,47.54611
"36492","Digitalis_grandiflora",13.64806,47.42917
"36608","Digitalis_grandiflora",15.24596,47.22597
"50899","Digitalis_grandiflora",28.811111,48.256944
"54927","Digitalis_grandiflora",12.04,48.97
"55034","Digitalis_grandiflora",11.96,48.97
"55348","Digitalis_grandiflora",9.8,50.11
"55515","Digitalis_grandiflora",8.488483,47.350778
"55550","Digitalis_grandiflora",8.484692,47.350957
"55581","Digitalis_grandiflora",8.545216,47.32922
"55617","Digitalis_grandiflora",8.489732,47.347278
"55639","Digitalis_grandiflora",8.481225,47.354447
"55640","Digitalis_grandiflora",8.485909,47.352415
"55655","Digitalis_grandiflora",8.479372,47.353606
"57049","Digitalis_grandiflora",18.7533,48.4019
"60585","Digitalis_grandiflora",12.79,47.72
"60621","Digitalis_grandiflora",11.51,49.26
"64479","Digitalis_grandiflora",84.984,51.99606
"64645","Digitalis_grandiflora",85.08129,52.30267
"64765","Digitalis_grandiflora",84.75219,51.96759
"68397","Digitalis_grandiflora",12.84,47.74
"72372","Digitalis_grandiflora",33.74,52.12
"72373","Digitalis_grandiflora",33.7394,52.127
"72374","Digitalis_grandiflora",33.797,52.3622
"72375","Digitalis_grandiflora",33.4788,51.392
"72376","Digitalis_grandiflora",33.7392,51.3462
"72377","Digitalis_grandiflora",33.78,52.003
"72378","Digitalis_grandiflora",33.5073,51.7035
"72379","Digitalis_grandiflora",33.983,52.1182
"72380","Digitalis_grandiflora",33.439,51.722
"72381","Digitalis_grandiflora",33.758,51.993
"72382","Digitalis_grandiflora",33.225,51.803
"72383","Digitalis_grandiflora",33.411,51.592
"72384","Digitalis_grandiflora",33.4065,51.7547
"72385","Digitalis_grandiflora",34.1167,51.5833
"72386","Digitalis_grandiflora",33.799,51.998
"72387","Digitalis_grandiflora",33.963,52.089
"72388","Digitalis_grandiflora",34.083,51.611
"72389","Digitalis_grandiflora",33.5225,52.002
"72390","Digitalis_grandiflora",33.877,52.005
"72391","Digitalis_grandiflora",33.9458,51.2192
"72392","Digitalis_grandiflora",34.031,51.531
"72486","Digitalis_grandiflora",32.554158,52.173119
"72487","Digitalis_grandiflora",32.616318,52.136121
"72488","Digitalis_grandiflora",32.559536,51.863612
"72489","Digitalis_grandiflora",31.954565,51.814694
"72490","Digitalis_grandiflora",31.875344,51.829304
"72491","Digitalis_grandiflora",32.616034,52.126341
"78423","Digitalis_grandiflora",33.405556,54.718333
"78610","Digitalis_grandiflora",31.118889,55.582222
"78765","Digitalis_grandiflora",34.890078,51.393416
