"","species","lon","lat"
"12204","Digitaria_longiflora",-0.006389,16.209167
"12475","Digitaria_longiflora",-80.252778,25.975
"20272","Digitaria_longiflora",114.05,22.54
"20939","Digitaria_longiflora",-1.014722,6.771667
"20950","Digitaria_longiflora",108.516667,13.966667
"34554","Digitaria_longiflora",-1.777222,9.291389
"34606","Digitaria_longiflora",2.15,6.366667
"34878","Digitaria_longiflora",29.616667,-11.85
"34944","Digitaria_longiflora",2.633333,6.416667
"37422","Digitaria_longiflora",2.062,7.161
"37488","Digitaria_longiflora",-14.710056,13.520889
"37534","Digitaria_longiflora",114.183333,22.483333
"37581","Digitaria_longiflora",2.7,7.033333
"38715","Digitaria_longiflora",120.702222,24.538056
"39602","Digitaria_longiflora",38.602222,-10.465
"40545","Digitaria_longiflora",128.666667,-15.666667
"40546","Digitaria_longiflora",146.5,-19.666667
"40669","Digitaria_longiflora",131.666667,-24.333333
"40876","Digitaria_longiflora",108.683333,12.766667
"40924","Digitaria_longiflora",132.666667,-14
"40925","Digitaria_longiflora",134,-12.333333
"41580","Digitaria_longiflora",-8.398333,7.7
"41581","Digitaria_longiflora",108.766667,12.7
"41668","Digitaria_longiflora",142.5,-11.666667
"41885","Digitaria_longiflora",152.833333,-27.166667
"41886","Digitaria_longiflora",130,-14
"42014","Digitaria_longiflora",146.333333,-23.5
"42015","Digitaria_longiflora",142.5,-11.833333
"49943","Digitaria_longiflora",48.997222,-13.086944
"51743","Digitaria_longiflora",134.2458,-20.4317
"51832","Digitaria_longiflora",132.34286,-11.39739
"51935","Digitaria_longiflora",128.6961,-15.6492
"51942","Digitaria_longiflora",134.572778,-21.9575
"52104","Digitaria_longiflora",133.180501,-14.932487
"52107","Digitaria_longiflora",135.04064,-12.41644
"52167","Digitaria_longiflora",143.297778,-12.82
"52190","Digitaria_longiflora",137.157778,-17.354722
"52199","Digitaria_longiflora",132.057222,-24.164722
"52299","Digitaria_longiflora",135.6061,-22.5642
"52404","Digitaria_longiflora",131.41952,-12.7167
"52611","Digitaria_longiflora",129.952,-13.9275
"52630","Digitaria_longiflora",144.8569,-20.4378
"52688","Digitaria_longiflora",130.2775,-18.6183
"52744","Digitaria_longiflora",134.23105,-14.50107
"52755","Digitaria_longiflora",132.3472,-21.8228
"52811","Digitaria_longiflora",133.211648,-22.326412
"52882","Digitaria_longiflora",132.707,-14.0662
"52896","Digitaria_longiflora",130.785833,-12.665278
"52940","Digitaria_longiflora",129.10657,-15.81902
"52949","Digitaria_longiflora",131.7144,-12.6264
"53058","Digitaria_longiflora",130.489722,-19.309444
"53071","Digitaria_longiflora",131.63135,-12.87628
"53073","Digitaria_longiflora",134.08331,-12.2882
"53087","Digitaria_longiflora",137.121111,-18.653056
"53110","Digitaria_longiflora",133.545,-20.8083
"53146","Digitaria_longiflora",135.208015,-22.926382
"54757","Digitaria_longiflora",-80.636944,32.429722
"55767","Digitaria_longiflora",1.904999,6.453564
"55778","Digitaria_longiflora",1.968732,6.641011
"55812","Digitaria_longiflora",1.970979,6.407559
"55829","Digitaria_longiflora",1.690039,6.695312
"55838","Digitaria_longiflora",2.072107,6.342146
"55878","Digitaria_longiflora",1.809934,6.408435
"55884","Digitaria_longiflora",2.199995,6.355496
"55889","Digitaria_longiflora",1.93556,7.129059
"55939","Digitaria_longiflora",1.929078,6.658988
"55945","Digitaria_longiflora",1.866543,6.31553
"55951","Digitaria_longiflora",1.91693,6.474586
"56016","Digitaria_longiflora",1.832346,6.583152
"56072","Digitaria_longiflora",1.83506,6.434712
"56565","Digitaria_longiflora",-12.316,12.366
"56566","Digitaria_longiflora",-16.5,13.666
"56711","Digitaria_longiflora",-4.766,10.65
"56725","Digitaria_longiflora",-16.6,13.066
"56726","Digitaria_longiflora",-17.2,14.85
"56727","Digitaria_longiflora",-17.216,14.8
"56728","Digitaria_longiflora",-16.55,13.666
"56729","Digitaria_longiflora",-16.2,14.033
"56730","Digitaria_longiflora",-1.3,12.35
"56732","Digitaria_longiflora",-12.333,12.383
"63633","Digitaria_longiflora",142.53,-11.73
"63858","Digitaria_longiflora",142.57,-11.75
"66382","Digitaria_longiflora",146.333333,-21.5
"66412","Digitaria_longiflora",150,-25.5
"66709","Digitaria_longiflora",132.333333,-21.833333
"66710","Digitaria_longiflora",149.666667,-24.166667
"66711","Digitaria_longiflora",132.333333,-13.666667
"66712","Digitaria_longiflora",148.166667,-21.5
"66713","Digitaria_longiflora",120.166667,-23.333333
"66714","Digitaria_longiflora",116,-32
"66830","Digitaria_longiflora",1.366667,10.333333
"67013","Digitaria_longiflora",128.666667,-15.833333
"67014","Digitaria_longiflora",131.666667,-12.833333
"67015","Digitaria_longiflora",133.166667,-15
"67016","Digitaria_longiflora",130.833333,-12.5
"67420","Digitaria_longiflora",-35.3,-5.473611
"67632","Digitaria_longiflora",100.433333,5.783333
"67703","Digitaria_longiflora",-12.3233,12.37625
"67813","Digitaria_longiflora",-2.086944,10.435833
"67970","Digitaria_longiflora",29.633333,-4.866667
"68018","Digitaria_longiflora",-2.480833,7.634167
"68929","Digitaria_longiflora",2.366667,7.416667
"74731","Digitaria_longiflora",101.88,25.7
"78906","Digitaria_longiflora",30.48333,-0.4
"78916","Digitaria_longiflora",30.45,-0.35
"84276","Digitaria_longiflora",104.702829,23.125462
"84424","Digitaria_longiflora",149.6297,-24.18
"96117","Digitaria_longiflora",-82.008,29.691
"133877","Digitaria_longiflora",-81.019065,29.176772
"134086","Digitaria_longiflora",-82.00807,29.69134
"134105","Digitaria_longiflora",-82.4072,29.61202
"134131","Digitaria_longiflora",-82.3041,29.61061
"134831","Digitaria_longiflora",1.516667,9.866667
"154995","Digitaria_longiflora",98.730556,24.966111
"157598","Digitaria_longiflora",144.8569,-20.4378
"158391","Digitaria_longiflora",144.857,-20.4378
"161579","Digitaria_longiflora",107.16,16.364444
"162088","Digitaria_longiflora",46.853968,-20.637788
"162093","Digitaria_longiflora",45.385556,-22.540028
"162099","Digitaria_longiflora",47.485833,-19.9775
"162100","Digitaria_longiflora",46.613417,-20.623333
"162107","Digitaria_longiflora",49.0747,-13.151417
"162115","Digitaria_longiflora",46.417278,-20.56975
"162117","Digitaria_longiflora",46.4775,-15.720278
"162125","Digitaria_longiflora",49.851889,-16.429556
"162131","Digitaria_longiflora",46.407028,-20.546167
"162135","Digitaria_longiflora",46.424972,-20.555806
"162137","Digitaria_longiflora",46.575444,-20.605528
"162139","Digitaria_longiflora",45.773083,-22.4805
"162141","Digitaria_longiflora",46.584667,-20.577944
"162146","Digitaria_longiflora",46.611528,-20.581333
"162147","Digitaria_longiflora",46.812083,-20.576278
"162150","Digitaria_longiflora",46.573861,-20.612139
"162160","Digitaria_longiflora",46.563361,-20.520639
"162161","Digitaria_longiflora",46.580694,-20.523639
"164260","Digitaria_longiflora",38.6013,-10.459
"165408","Digitaria_longiflora",128.65458,-15.608565
"167641","Digitaria_longiflora",148.355828,-20.372627
"172108","Digitaria_longiflora",2.0833,6.3666
"172110","Digitaria_longiflora",2.6166,6.4833
"172111","Digitaria_longiflora",3.3833,10.05
"174201","Digitaria_longiflora",-16.55,13.67
"176482","Digitaria_longiflora",2.066667,7.2
"192066","Digitaria_longiflora",1.050009,10.68373
"192079","Digitaria_longiflora",1.007717,10.48026
"192166","Digitaria_longiflora",1.0077,10.4765
"192183","Digitaria_longiflora",1.05,10.6833
"198395","Digitaria_longiflora",146.2681,-21.5511
"204792","Digitaria_longiflora",152.55,-28.033333
"212820","Digitaria_longiflora",144.856944,-20.437778
"214578","Digitaria_longiflora",-12.33,12.38
"246700","Digitaria_longiflora",30.46667,-0.38333
"247387","Digitaria_longiflora",48.997222,-13.086944
"248176","Digitaria_longiflora",2.1932,7.02187
"248452","Digitaria_longiflora",143.858889,-18.500278
"248566","Digitaria_longiflora",142.542786,-11.740165
"248910","Digitaria_longiflora",120.193832,-23.373659
"248950","Digitaria_longiflora",152.909402,-27.20674
"248965","Digitaria_longiflora",145.27891,-20.599018
"249078","Digitaria_longiflora",130.8684,-12.422191
"249192","Digitaria_longiflora",146.291403,-21.574281
"249425","Digitaria_longiflora",153.176065,-27.640068
"250309","Digitaria_longiflora",38.6022,-10.4649
"250373","Digitaria_longiflora",-81.9244,26.7041
"250447","Digitaria_longiflora",-80.3759,27.5621
"258614","Digitaria_longiflora",47.483333,-18.8
"258926","Digitaria_longiflora",146.283333,-21.583333
"262302","Digitaria_longiflora",151.271901,-24.17592
"262426","Digitaria_longiflora",149.948885,-25.555088
"262614","Digitaria_longiflora",151.423861,-25.490664
"262633","Digitaria_longiflora",148.908333,-25.791667
"262696","Digitaria_longiflora",151.029421,-26.600918
"262806","Digitaria_longiflora",148.192761,-21.573439
"262895","Digitaria_longiflora",146.054444,-19.204722
"262948","Digitaria_longiflora",142.280592,-17.965425
"263088","Digitaria_longiflora",128.697335,-15.647751
"263109","Digitaria_longiflora",144.426112,-15.240144
"263219","Digitaria_longiflora",144.426667,-15.285556
"263273","Digitaria_longiflora",150.673518,-22.705493
"263305","Digitaria_longiflora",149.630813,-24.178416
"263434","Digitaria_longiflora",150.931353,-24.08314
"263746","Digitaria_longiflora",16.177,1.4314
"263769","Digitaria_longiflora",2.366667,7.433333
"264009","Digitaria_longiflora",98.633333,18.3
"265194","Digitaria_longiflora",144.837803,-20.460412
"265372","Digitaria_longiflora",128.736223,-15.76025
"265376","Digitaria_longiflora",149.559444,-26.257222
"265507","Digitaria_longiflora",145.013889,-15.658333
"265570","Digitaria_longiflora",131.609626,-24.306901
"265963","Digitaria_longiflora",145.019583,-16.493361
"266036","Digitaria_longiflora",146.55944,-19.606784
"266079","Digitaria_longiflora",146.776104,-19.356785
"266161","Digitaria_longiflora",142.576119,-11.756832
"266189","Digitaria_longiflora",146.353913,-23.465947
"266728","Digitaria_longiflora",152.983335,-27.628609
"266848","Digitaria_longiflora",147.709432,-21.123441
"266975","Digitaria_longiflora",144.860861,-20.54791
"266991","Digitaria_longiflora",143.674722,-14.444722
"267254","Digitaria_longiflora",146.482025,-23.153775
"267799","Digitaria_longiflora",130.856733,-12.42358
"267814","Digitaria_longiflora",150.380833,-26.164167
"267819","Digitaria_longiflora",152.359392,-25.450637
"268065","Digitaria_longiflora",151.447457,-24.441198
"268176","Digitaria_longiflora",146.203903,-21.504559
"282029","Digitaria_longiflora",3.482666,11.566144
"282030","Digitaria_longiflora",2.857162,11.268714
"282031","Digitaria_longiflora",3.488159,11.673755
"282032","Digitaria_longiflora",2.524817,11.330433
"282033","Digitaria_longiflora",3.201656,11.899604
"282034","Digitaria_longiflora",2.912093,11.268714
"282035","Digitaria_longiflora",2.491383,11.309967
"282036","Digitaria_longiflora",3.302138,11.624824
"282037","Digitaria_longiflora",2.956039,11.204059
"282038","Digitaria_longiflora",2.692367,11.257939
"282039","Digitaria_longiflora",3.070679,12.173595
"282040","Digitaria_longiflora",2.487533,11.46175
"282041","Digitaria_longiflora",2.890121,11.225613
"282042","Digitaria_longiflora",3.375033,11.417533
"282043","Digitaria_longiflora",3.322017,11.8678
"282044","Digitaria_longiflora",2.5953,11.470133
"282045","Digitaria_longiflora",2.994491,11.268714
"282256","Digitaria_longiflora",100.25,5.420833
"282859","Digitaria_longiflora",128.735,-15.761667
"282954","Digitaria_longiflora",118.890475,-21.640815
"285717","Digitaria_longiflora",134.166667,-14.5
"285718","Digitaria_longiflora",146.833333,-19.333333
"285742","Digitaria_longiflora",151,-24.166667
"285743","Digitaria_longiflora",144.833333,-20.5
"285744","Digitaria_longiflora",128.833333,-15.833333
"285860","Digitaria_longiflora",-4.916667,7.783333
"285934","Digitaria_longiflora",148.833333,-25.833333
"286148","Digitaria_longiflora",149.5,-22
"286149","Digitaria_longiflora",151.333333,-24.166667
"295435","Digitaria_longiflora",-82.2617,27.1197
"295507","Digitaria_longiflora",-80.3403,27.2689
"295575","Digitaria_longiflora",-80.3758,27.5622
"295593","Digitaria_longiflora",-82.45,28.8667
"295632","Digitaria_longiflora",-82.3278,27.1175
"295696","Digitaria_longiflora",-81.35,27.3667
"306003","Digitaria_longiflora",146.283333,-21.583333
"307477","Digitaria_longiflora",-35.080278,-6.803333
"307999","Digitaria_longiflora",46.407028,-20.546167
"308002","Digitaria_longiflora",46.853968,-20.637788
"308007","Digitaria_longiflora",45.385556,-22.540028
"308013","Digitaria_longiflora",47.485833,-19.9775
"308015","Digitaria_longiflora",46.613417,-20.623333
"308016","Digitaria_longiflora",46.424972,-20.555806
"308018","Digitaria_longiflora",46.575444,-20.605528
"308019","Digitaria_longiflora",45.773083,-22.4805
"308029","Digitaria_longiflora",49.0747,-13.151417
"308033","Digitaria_longiflora",46.584667,-20.577944
"308041","Digitaria_longiflora",46.611528,-20.581333
"308042","Digitaria_longiflora",46.812083,-20.576278
"308044","Digitaria_longiflora",46.417278,-20.56975
"308046","Digitaria_longiflora",46.573861,-20.612139
"308049","Digitaria_longiflora",46.4775,-15.720278
"308062","Digitaria_longiflora",49.851889,-16.429556
"308063","Digitaria_longiflora",46.563361,-20.520639
"308064","Digitaria_longiflora",46.580694,-20.523639
"326927","Digitaria_longiflora",-81.883333,27.231667
"332405","Digitaria_longiflora",2.06667,7.13333
"332489","Digitaria_longiflora",2.73333,8.13333
"332490","Digitaria_longiflora",1.51667,9.86667
"332530","Digitaria_longiflora",3.45,10.16667
"332711","Digitaria_longiflora",2.36667,7.43333
"332723","Digitaria_longiflora",2.339,7.219
"332749","Digitaria_longiflora",1.55,10.05
"332794","Digitaria_longiflora",1.65,7.01667
"332807","Digitaria_longiflora",2.15,7.73333
"332877","Digitaria_longiflora",2.062,7.161
"332926","Digitaria_longiflora",1.05,10.18333
"332967","Digitaria_longiflora",2.25,9.15
"332974","Digitaria_longiflora",2.63333,6.41667
"333968","Digitaria_longiflora",119.499944,-21.626362
"334190","Digitaria_longiflora",126.991889,-16.063556
"334394","Digitaria_longiflora",120.1925,-23.375
"334560","Digitaria_longiflora",116.041667,-32.011389
"335654","Digitaria_longiflora",-17.2,14.85
"345026","Digitaria_longiflora",38.6022,-10.4649
"345170","Digitaria_longiflora",91.616667,27.333333
"351836","Digitaria_longiflora",-8.398333,7.7
"366028","Digitaria_longiflora",34.42916,-4.76805
"366252","Digitaria_longiflora",30.45,-0.35
"366265","Digitaria_longiflora",32.5,0.433333
"366616","Digitaria_longiflora",30.48333,-0.4
"367696","Digitaria_longiflora",74.206944,16.14
"372379","Digitaria_longiflora",39.041111,-7.906944
"372656","Digitaria_longiflora",146.283333,-21.583333
"372766","Digitaria_longiflora",-5.04049,7.76395
"383493","Digitaria_longiflora",30.875,-26.125
"383583","Digitaria_longiflora",31.125,-25.875
"383910","Digitaria_longiflora",31.186111,-25.572222
"383937","Digitaria_longiflora",31.125,-27.625
"399274","Digitaria_longiflora",-17.2,14.85
"399335","Digitaria_longiflora",2.466667,7.466667
"399373","Digitaria_longiflora",-10.703333,6.250667
