"","species","lon","lat"
"18156","Echinops_sphaerocephalus",24.964859,60.256317
"19000","Echinops_sphaerocephalus",24.967751,60.255401
"20488","Echinops_sphaerocephalus",9.147149,44.559317
"20767","Echinops_sphaerocephalus",7.581197,43.900945
"20769","Echinops_sphaerocephalus",7.607939,43.938567
"22277","Echinops_sphaerocephalus",22.22972,37.86167
"22278","Echinops_sphaerocephalus",22.24278,37.58028
"22279","Echinops_sphaerocephalus",22.14222,37.82056
"22280","Echinops_sphaerocephalus",22.1825,37.79361
"22281","Echinops_sphaerocephalus",23.14278,38.50333
"22283","Echinops_sphaerocephalus",23.26306,38.53389
"22284","Echinops_sphaerocephalus",22.71139,38.45611
"22288","Echinops_sphaerocephalus",20.91889,39.67056
"22289","Echinops_sphaerocephalus",20.875,40.04667
"22290","Echinops_sphaerocephalus",20.88417,39.68361
"22309","Echinops_sphaerocephalus",22.05278,37.49083
"22310","Echinops_sphaerocephalus",22.39417,37.78861
"22846","Echinops_sphaerocephalus",12.03556,51.85333
"22888","Echinops_sphaerocephalus",11.21222,51.46806
"34601","Echinops_sphaerocephalus",5.921833,52.013167
"36494","Echinops_sphaerocephalus",14.66111,47.175
"36495","Echinops_sphaerocephalus",14.7575,47.195
"36499","Echinops_sphaerocephalus",15.95889,47.27944
"36585","Echinops_sphaerocephalus",15.83694,46.86972
"37249","Echinops_sphaerocephalus",-75.929172,45.638894
"37283","Echinops_sphaerocephalus",-75.294885,45.709541
"50587","Echinops_sphaerocephalus",12.14,49.03
"51276","Echinops_sphaerocephalus",31.2947,49.941
"55003","Echinops_sphaerocephalus",11.52,50.19
"55139","Echinops_sphaerocephalus",11.73,50.39
"55288","Echinops_sphaerocephalus",12.29,48.92
"55336","Echinops_sphaerocephalus",10.12,50.12
"55608","Echinops_sphaerocephalus",7.070979,46.122175
"56869","Echinops_sphaerocephalus",1.5672,42.5186
"58542","Echinops_sphaerocephalus",12.13,49.02
"60889","Echinops_sphaerocephalus",10.21,50.07
"65667","Echinops_sphaerocephalus",30.777798,48.144808
"65702","Echinops_sphaerocephalus",30.782285,48.143611
"65801","Echinops_sphaerocephalus",30.800941,48.142232
"65976","Echinops_sphaerocephalus",30.733296,48.48082
"69136","Echinops_sphaerocephalus",10.29,47.97
"72191","Echinops_sphaerocephalus",18.01049,59.27391
"74536","Echinops_sphaerocephalus",111.78,38.07
"75073","Echinops_sphaerocephalus",86.0846,55.3681
"75074","Echinops_sphaerocephalus",86.9357,53.6641
"78189","Echinops_sphaerocephalus",53.157951,53.686569
"78368","Echinops_sphaerocephalus",33.713889,44.608333
"78451","Echinops_sphaerocephalus",41.166667,55.501389
"78743","Echinops_sphaerocephalus",86.116667,52.116667
"78888","Echinops_sphaerocephalus",33.781944,44.430556
"79703","Echinops_sphaerocephalus",12.925555,48.137222
"80446","Echinops_sphaerocephalus",13.068889,48.26889
"81056","Echinops_sphaerocephalus",14.225,48.370834
"85542","Echinops_sphaerocephalus",22.28,37.04
"85553","Echinops_sphaerocephalus",-0.7,40.4
"86484","Echinops_sphaerocephalus",-0.45,40.56
"88518","Echinops_sphaerocephalus",-0.46,40.58
"96106","Echinops_sphaerocephalus",9.71817,50.6198
"96107","Echinops_sphaerocephalus",9.83488,50.526
"96108","Echinops_sphaerocephalus",10.4155,50.568
"96109","Echinops_sphaerocephalus",9.77846,50.7164
"96110","Echinops_sphaerocephalus",9.61724,50.6797
"98914","Echinops_sphaerocephalus",44.6275,42.7264
"126675","Echinops_sphaerocephalus",24.803629,60.235789
"127644","Echinops_sphaerocephalus",21.674775,60.695598
"130299","Echinops_sphaerocephalus",24.784987,60.244458
"136865","Echinops_sphaerocephalus",13.10103,55.66509
"140277","Echinops_sphaerocephalus",10.12,50.07
"140318","Echinops_sphaerocephalus",10.21,50.12
"140701","Echinops_sphaerocephalus",11.85,49.89
"140867","Echinops_sphaerocephalus",9.8,50.11
"145931","Echinops_sphaerocephalus",16.95,47.99
"146253","Echinops_sphaerocephalus",16.85,47.78
"149854","Echinops_sphaerocephalus",15.73258,58.36269
"149982","Echinops_sphaerocephalus",11.72947,58.49479
"150692","Echinops_sphaerocephalus",12.81384,55.87803
"150917","Echinops_sphaerocephalus",17.90054,59.35778
"150951","Echinops_sphaerocephalus",13.44021,55.51253
"151384","Echinops_sphaerocephalus",15.26691,56.28016
"151399","Echinops_sphaerocephalus",13.96904,55.85129
"151412","Echinops_sphaerocephalus",15.26754,56.23525
"151441","Echinops_sphaerocephalus",15.7468,56.19538
"151451","Echinops_sphaerocephalus",17.65003,59.18722
"151570","Echinops_sphaerocephalus",12.85834,55.86024
"151684","Echinops_sphaerocephalus",18.01202,59.27048
"159876","Echinops_sphaerocephalus",14.862499,51.485706
"159900","Echinops_sphaerocephalus",11.1172,51.727016
"160063","Echinops_sphaerocephalus",12.414414,51.133118
"160069","Echinops_sphaerocephalus",11.833921,51.667709
"160095","Echinops_sphaerocephalus",12.585783,51.158504
"160098","Echinops_sphaerocephalus",12.001529,51.317627
"160139","Echinops_sphaerocephalus",14.093333,51.101667
"160163","Echinops_sphaerocephalus",11.468308,51.277115
"160215","Echinops_sphaerocephalus",13.396643,51.184147
"160243","Echinops_sphaerocephalus",14.72199,50.861885
"160297","Echinops_sphaerocephalus",12.847001,53.105148
"160309","Echinops_sphaerocephalus",12.588889,51.794701
"160318","Echinops_sphaerocephalus",12.591171,51.157097
"160323","Echinops_sphaerocephalus",11.619501,51.098282
"160384","Echinops_sphaerocephalus",12.869155,52.045338
"160437","Echinops_sphaerocephalus",11.069323,51.463615
"162509","Echinops_sphaerocephalus",11.851389,47.190278
"162825","Echinops_sphaerocephalus",12.484722,47.01
"163549","Echinops_sphaerocephalus",22.3382,40.1538
"163635","Echinops_sphaerocephalus",22.5748,38.5753
"163831","Echinops_sphaerocephalus",21.5879,41.376
"163832","Echinops_sphaerocephalus",45.1046,40.4263
"164044","Echinops_sphaerocephalus",13.6926,45.7591
"164179","Echinops_sphaerocephalus",1.2512,42.201
"164433","Echinops_sphaerocephalus",22.8085,38.3389
"164569","Echinops_sphaerocephalus",22.3501,37.8748
"164686","Echinops_sphaerocephalus",0.664,42.307
"164705","Echinops_sphaerocephalus",45.22,39.68
"166582","Echinops_sphaerocephalus",9.77,49.96
"172381","Echinops_sphaerocephalus",6.46984,44.9957
"172923","Echinops_sphaerocephalus",27.43975,56.20875
"172999","Echinops_sphaerocephalus",24.68755,56.79185
"173194","Echinops_sphaerocephalus",25.81345,56.45865
"173331","Echinops_sphaerocephalus",25.06285,57.70815
"173374","Echinops_sphaerocephalus",27.31465,55.95885
"173397","Echinops_sphaerocephalus",24.43735,57.37495
"177034","Echinops_sphaerocephalus",45.20527,42.60611
"178357","Echinops_sphaerocephalus",22.08306,41.05306
"178446","Echinops_sphaerocephalus",21.12278,39.56694
"178799","Echinops_sphaerocephalus",22.32694,37.72389
"178947","Echinops_sphaerocephalus",7.37972,50.38222
"179458","Echinops_sphaerocephalus",22.14917,38.01472
"179796","Echinops_sphaerocephalus",-72.68505,44.14625
"182371","Echinops_sphaerocephalus",25.7387,58.39181
