"","species","lon","lat"
"12493","Exochorda_racemosa",-81.905632,33.4376
"12625","Exochorda_racemosa",-81.4747,34.4748
"12672","Exochorda_racemosa",-80.941545,34.455299
"12705","Exochorda_racemosa",-81.2885,33.5133
"12809","Exochorda_racemosa",-81.069514,35.106314
"12811","Exochorda_racemosa",-80.435703,34.23735
"12818","Exochorda_racemosa",-81.050499,34.063402
"12836","Exochorda_racemosa",-80.581732,34.191104
"20080","Exochorda_racemosa",114.08,32.1
"20261","Exochorda_racemosa",117.02,30.09
"20876","Exochorda_racemosa",114,31.833333
"27365","Exochorda_racemosa",-81.845,33.325
"34585","Exochorda_racemosa",120.5,31.233333
"37447","Exochorda_racemosa",120.383333,31.283333
"37480","Exochorda_racemosa",118.933333,32.133333
"40121","Exochorda_racemosa",-78.317472,37.795407
"44591","Exochorda_racemosa",-80.98,33.98
"54623","Exochorda_racemosa",-81.598283,34.356499
"54624","Exochorda_racemosa",-81.844722,33.325556
"54625","Exochorda_racemosa",-81.845,33.325
"68148","Exochorda_racemosa",118.95,32.15
"74740","Exochorda_racemosa",112.9,33.73
"133854","Exochorda_racemosa",-78.3756,43.3201
"149477","Exochorda_racemosa",33.878967,46.460491
"155577","Exochorda_racemosa",-88.133333,39.499722
"166879","Exochorda_racemosa",25.94823,56.684031
"166880","Exochorda_racemosa",25.948239,56.684019
"166881","Exochorda_racemosa",25.948261,56.684025
"167000","Exochorda_racemosa",25.948878,56.683833
"167003","Exochorda_racemosa",25.948897,56.683829
"177822","Exochorda_racemosa",-83.421433,32.443261
"177928","Exochorda_racemosa",-83.469033,32.419722
"178105","Exochorda_racemosa",105.72,34.56
"183014","Exochorda_racemosa",-76.904798,34.872903
"256688","Exochorda_racemosa",72.316667,41.5
"257005","Exochorda_racemosa",71.977,41.7516
"258019","Exochorda_racemosa",13.45866,55.66787
"264491","Exochorda_racemosa",-81.314978,41.579325
"284505","Exochorda_racemosa",139.88892,35.96968
"295070","Exochorda_racemosa",-93.14262,35.335499
"305564","Exochorda_racemosa",112.1,34.15
"305603","Exochorda_racemosa",114.62,31.28
"352605","Exochorda_racemosa",134.66901,34.851398
"368387","Exochorda_racemosa",-93.05,32.67
"369791","Exochorda_racemosa",-88.938889,32.310278
"371225","Exochorda_racemosa",136.2446,34.8822
"381492","Exochorda_racemosa",-84.140533,42.06255
"387665","Exochorda_racemosa",133.503644,33.699178
"404269","Exochorda_racemosa",39.208647,51.711918
"414604","Exochorda_racemosa",-80.202872,35.064492
"429721","Exochorda_racemosa",-79.402377,35.239662
"440834","Exochorda_racemosa",-2.156,43.255001
"463134","Exochorda_racemosa",138,36.309583
"468828","Exochorda_racemosa",118,32.083333
