"","species","lon","lat"
"44808","Faxonius_rusticus",-79.209999,43.860001
"66019","Faxonius_rusticus",-79.209,43.8591
"85358","Faxonius_rusticus",-84.484331,40.188419
"85359","Faxonius_rusticus",-73.363796,41.871541
"95088","Faxonius_rusticus",-81.6589,36.27185
"95089","Faxonius_rusticus",-92.5108,46.12783
"95097","Faxonius_rusticus",-83.83172,42.0526
"99078","Faxonius_rusticus",-88.01137,41.20865
"99079","Faxonius_rusticus",-89.07234,42.18414
"99080","Faxonius_rusticus",-88.19838,41.84278
"99082","Faxonius_rusticus",-119.79222,44.825
"99087","Faxonius_rusticus",-89.40376,43.87586
"99088","Faxonius_rusticus",-89.17054,45.89578
"99089","Faxonius_rusticus",-89.63699,45.7922
"99090","Faxonius_rusticus",-89.81451,46.15336
"99091","Faxonius_rusticus",-89.69479,45.90508
"99092","Faxonius_rusticus",-87.89339,43.72545
"99093","Faxonius_rusticus",-89.66143,45.03346
"99094","Faxonius_rusticus",-89.2492,45.0587
"99095","Faxonius_rusticus",-91.62423,45.56647
"99096","Faxonius_rusticus",-88.32686,43.14827
"99580","Faxonius_rusticus",-90.130978,46.009392
"99581","Faxonius_rusticus",-89.6292,45.7911
"99582","Faxonius_rusticus",-89.680495,45.557153
"99583","Faxonius_rusticus",-89.735212,45.868318
"99584","Faxonius_rusticus",-89.4883,45.7742
"99586","Faxonius_rusticus",-89.61348,46.019951
"99587","Faxonius_rusticus",-89.645863,45.483966
"99609","Faxonius_rusticus",-94.991936,43.626347
"99665","Faxonius_rusticus",-87.63762,44.23665
"99666","Faxonius_rusticus",-87.81336,42.5314
"99667","Faxonius_rusticus",-87.66475,44.05209
"99722","Faxonius_rusticus",-91.27675,47.61735
"99723","Faxonius_rusticus",-90.88275,48.18499
"100889","Faxonius_rusticus",-88.83203,41.83447
"100890","Faxonius_rusticus",-89.32846,42.01716
"100891","Faxonius_rusticus",-119.54639,44.39833
"100892","Faxonius_rusticus",-87.94337,42.54836
"100893","Faxonius_rusticus",-88.1407,45.85471
"100894","Faxonius_rusticus",-89.07281,45.78061
"100895","Faxonius_rusticus",-90.45482,45.67198
"100896","Faxonius_rusticus",-89.83949,46.12675
"100897","Faxonius_rusticus",-88.43703,43.34275
"100898","Faxonius_rusticus",-88.54822,42.72544
"100899","Faxonius_rusticus",-89.55277,45.0756
"100900","Faxonius_rusticus",-90.43392,45.08157
"100901","Faxonius_rusticus",-91.55029,45.62523
"101195","Faxonius_rusticus",-87.4671,44.6466
"101196","Faxonius_rusticus",-88.0546,44.4635
"101197","Faxonius_rusticus",-87.87016,43.38647
"101198","Faxonius_rusticus",-87.6502,44.17664
"101212","Faxonius_rusticus",-92.32253,47.53158
"101213","Faxonius_rusticus",-91.43269,47.96922
"101354","Faxonius_rusticus",-91.86242,46.6885
"101355","Faxonius_rusticus",-86.95901,45.91777
"101516","Faxonius_rusticus",-88.2947,41.993
