"","species","lon","lat"
"71","Filago_arvensis",24.209069,61.275294
"440","Filago_arvensis",24.327987,61.412375
"457","Filago_arvensis",27.765078,61.050556
"1263","Filago_arvensis",21.65506,60.703806
"1479","Filago_arvensis",22.06326,60.674541
"1807","Filago_arvensis",24.29917,61.820797
"1853","Filago_arvensis",24.498502,61.388682
"2674","Filago_arvensis",23.441458,60.637451
"2851","Filago_arvensis",23.890657,60.210293
"3448","Filago_arvensis",23.440494,60.637875
"3520","Filago_arvensis",23.007728,60.742017
"4046","Filago_arvensis",28.773823,61.211625
"4509","Filago_arvensis",26.655548,60.944588
"5201","Filago_arvensis",22.805678,61.02343
"5292","Filago_arvensis",28.080716,61.141973
"5397","Filago_arvensis",24.226108,61.293602
"5421","Filago_arvensis",24.561569,61.300045
"5595","Filago_arvensis",27.339078,60.910743
"6492","Filago_arvensis",21.997312,60.627125
"6608","Filago_arvensis",25.105321,60.449935
"7484","Filago_arvensis",23.608101,60.444156
"7875","Filago_arvensis",24.786803,60.217552
"8219","Filago_arvensis",26.510162,60.800544
"8364","Filago_arvensis",24.893142,60.638206
"8506","Filago_arvensis",22.000087,60.609244
"8515","Filago_arvensis",24.505806,60.589701
"8601","Filago_arvensis",25.546008,61.503089
"9532","Filago_arvensis",23.529666,60.837402
"9672","Filago_arvensis",26.482605,60.874796
"9686","Filago_arvensis",26.693053,60.881858
"9799","Filago_arvensis",22.260396,61.077268
"9800","Filago_arvensis",22.292306,60.862616
"10034","Filago_arvensis",24.788322,60.729349
"10092","Filago_arvensis",24.137594,60.283707
"10284","Filago_arvensis",24.705583,60.539858
"10406","Filago_arvensis",22.292589,60.485022
"10549","Filago_arvensis",24.465866,60.40038
"10741","Filago_arvensis",24.646092,60.915915
"10753","Filago_arvensis",26.611857,60.938636
"10847","Filago_arvensis",24.636373,61.049981
"10941","Filago_arvensis",28.220183,60.849752
"11113","Filago_arvensis",26.810614,60.92964
"11275","Filago_arvensis",23.626235,60.444617
"11637","Filago_arvensis",28.924229,61.236503
"11852","Filago_arvensis",22.166019,60.966021
"11993","Filago_arvensis",21.639812,60.685205
"14366","Filago_arvensis",24.356547,61.296206
"14381","Filago_arvensis",25.694147,60.992552
"14570","Filago_arvensis",25.969031,60.492311
"14674","Filago_arvensis",26.1907,60.75906
"14716","Filago_arvensis",25.693779,61.001524
"14820","Filago_arvensis",21.544168,60.708321
"15074","Filago_arvensis",23.073845,60.501356
"15084","Filago_arvensis",22.824646,60.314032
"15134","Filago_arvensis",23.312311,60.966371
"15404","Filago_arvensis",24.188954,60.664234
"15807","Filago_arvensis",27.451165,61.105814
"16045","Filago_arvensis",24.334104,61.340663
"16080","Filago_arvensis",25.71262,60.992729
"16511","Filago_arvensis",22.87397,60.782897
"16826","Filago_arvensis",23.479795,60.117405
"17143","Filago_arvensis",24.612037,61.372767
"17346","Filago_arvensis",24.364642,61.422069
"17883","Filago_arvensis",22.142218,62.322838
"18112","Filago_arvensis",26.693291,62.757274
"18186","Filago_arvensis",27.646901,60.701157
"18429","Filago_arvensis",27.26409,60.908873
"18673","Filago_arvensis",24.123703,60.277121
"18834","Filago_arvensis",25.713345,60.974785
"19001","Filago_arvensis",24.699576,60.144998
"19204","Filago_arvensis",23.369138,60.141367
"19358","Filago_arvensis",25.180981,60.268433
"22003","Filago_arvensis",21.59333,39.37028
"22004","Filago_arvensis",21.45167,39.775
"22109","Filago_arvensis",12.24917,51.7725
"22110","Filago_arvensis",12.24667,51.70361
"22111","Filago_arvensis",12.27778,51.90333
"22112","Filago_arvensis",12.30222,51.96417
"22113","Filago_arvensis",12.27361,51.90028
"22114","Filago_arvensis",12.38056,51.92889
"22115","Filago_arvensis",12.40056,51.93833
"22116","Filago_arvensis",12.38389,51.91194
"22178","Filago_arvensis",21.63444,39.72139
"22179","Filago_arvensis",21.78306,39.76667
"22180","Filago_arvensis",21.48528,39.67056
"22181","Filago_arvensis",21.51194,39.97944
"22182","Filago_arvensis",21.62778,39.8
"22183","Filago_arvensis",21.66694,39.76528
"22184","Filago_arvensis",21.65278,39.78139
"22185","Filago_arvensis",21.49806,40.57722
"22186","Filago_arvensis",21.7175,39.74833
"22187","Filago_arvensis",21.73861,40.735
"22188","Filago_arvensis",21.68139,40.67278
"22189","Filago_arvensis",21.60944,40.47833
"22190","Filago_arvensis",21.77333,40.67972
"22191","Filago_arvensis",21.65139,39.73111
"22192","Filago_arvensis",21.68167,40.60806
"22193","Filago_arvensis",21.65222,40.67472
"22194","Filago_arvensis",21.53722,40.65472
"22197","Filago_arvensis",21.83,40.49361
"22199","Filago_arvensis",21.79028,40.50139
"22201","Filago_arvensis",21.75722,40.55528
"22203","Filago_arvensis",21.48833,40.38639
"22204","Filago_arvensis",21.23972,40.29194
"22205","Filago_arvensis",21.625,40.15111
"22206","Filago_arvensis",21.40778,40.35361
"22207","Filago_arvensis",21.41222,40.33722
"22208","Filago_arvensis",21.54111,40.27139
