"","species","lon","lat"
"19470","Filipendula_rubra",-93.0783,37.9825
"35142","Filipendula_rubra",-92.0825,36.946944
"49505","Filipendula_rubra",-88.67559,45.55722
"71296","Filipendula_rubra",171.008,-42.848
"98241","Filipendula_rubra",24.535927,64.665803
"138181","Filipendula_rubra",6.6362,58.2453
"138206","Filipendula_rubra",7.7358,58.895
"151534","Filipendula_rubra",13.18828,55.72933
"151740","Filipendula_rubra",13.16876,55.69342
"179725","Filipendula_rubra",-71.8197,44.54674
"234703","Filipendula_rubra",24.535927,64.665803
"257250","Filipendula_rubra",-91.18472,37.48
"264258","Filipendula_rubra",-79.172432,40.87167
"264357","Filipendula_rubra",-80.071448,41.137819
"264427","Filipendula_rubra",-80.152778,41.056389
"264593","Filipendula_rubra",-77.952286,41.753328
"264703","Filipendula_rubra",-79.695278,41.482222
"264739","Filipendula_rubra",-78.449671,41.85438
"264769","Filipendula_rubra",-78.554492,40.555614
"264770","Filipendula_rubra",-79.081667,41.399444
"282623","Filipendula_rubra",-79.648141,38.895602
"291707","Filipendula_rubra",10.527,59.89
"295147","Filipendula_rubra",17.77375,59.93086
"295477","Filipendula_rubra",-68.6378,44.7439
"304170","Filipendula_rubra",-93.081944,38.343333
"312554","Filipendula_rubra",-95.516417,39.528028
"350231","Filipendula_rubra",-93.078333,37.9825
"360058","Filipendula_rubra",-78.462366,41.853574
"360119","Filipendula_rubra",-78.456504,41.854587
"360266","Filipendula_rubra",-80.148828,41.055653
"360427","Filipendula_rubra",-80.149196,41.053377
"360478","Filipendula_rubra",-78.641079,41.794229
"360479","Filipendula_rubra",-79.895865,41.475134
"360563","Filipendula_rubra",-79.55,41.51667
"360564","Filipendula_rubra",-78.630833,41.793889
"411753","Filipendula_rubra",-92.145556,46.817778
"411775","Filipendula_rubra",-92.141389,46.801111
"411800","Filipendula_rubra",-92.023611,46.831944
"424565","Filipendula_rubra",16.53798,58.80749
"431769","Filipendula_rubra",-88.589331,42.545964
"471577","Filipendula_rubra",-79.668366,41.482062
"471700","Filipendula_rubra",-80.444075,40.961569
"471747","Filipendula_rubra",-80.090199,41.788517
"473227","Filipendula_rubra",-92.141389,46.801111
"473430","Filipendula_rubra",-92.145556,46.817778
"486161","Filipendula_rubra",16.53798,58.80748
