"","species","lon","lat"
"12198","Fimbristylis_littoralis",-3.439167,13.089167
"12216","Fimbristylis_littoralis",13.828833,-0.775277
"12569","Fimbristylis_littoralis",-81.080935,32.19353
"12879","Fimbristylis_littoralis",-81.507951,34.772553
"12883","Fimbristylis_littoralis",-79.59,33.1206
"13635","Fimbristylis_littoralis",-95.96694,16.01639
"13765","Fimbristylis_littoralis",-102.04861,19.03333
"19426","Fimbristylis_littoralis",-86.75,13.033333
"19716","Fimbristylis_littoralis",-64.832778,-17.014444
"19728","Fimbristylis_littoralis",-84.664444,11.128333
"20907","Fimbristylis_littoralis",99.302194,18.490667
"27406","Fimbristylis_littoralis",-83.452778,9.972222
"27630","Fimbristylis_littoralis",-85.426194,11.968139
"27697","Fimbristylis_littoralis",-91.21666,16.33333
"27733","Fimbristylis_littoralis",-77.36,-1.04
"28021","Fimbristylis_littoralis",-70.2,18.25
"34534","Fimbristylis_littoralis",9.95,-1.883333
"34643","Fimbristylis_littoralis",9.916667,1.966667
"34655","Fimbristylis_littoralis",-1.880278,9.343333
"34716","Fimbristylis_littoralis",98.933333,18.866667
"34876","Fimbristylis_littoralis",-2.480833,7.634167
"34927","Fimbristylis_littoralis",-1.364167,5.954167
"34973","Fimbristylis_littoralis",102.65,18.016667
"34997","Fimbristylis_littoralis",100.3,13.783333
"35121","Fimbristylis_littoralis",-86.663417,13.750528
"35172","Fimbristylis_littoralis",-62.16972,9.20694
"35265","Fimbristylis_littoralis",-85.962611,12.248611
"35359","Fimbristylis_littoralis",-66.5,-14.5
"35426","Fimbristylis_littoralis",-72.090778,10.317278
"35491","Fimbristylis_littoralis",-62.971667,7.883889
"35529","Fimbristylis_littoralis",-65.046472,-14.879278
"35555","Fimbristylis_littoralis",-85.356778,11.977056
"35843","Fimbristylis_littoralis",-59.0333,4.15
"37509","Fimbristylis_littoralis",4.528056,52.027778
"37512","Fimbristylis_littoralis",-1.873056,9.277778
"37971","Fimbristylis_littoralis",121.22,25.0175
"38019","Fimbristylis_littoralis",120.693056,23.875
"38344","Fimbristylis_littoralis",120.901667,23.853056
"38357","Fimbristylis_littoralis",120.316111,23.345556
"38462","Fimbristylis_littoralis",120.983056,23.975556
"38464","Fimbristylis_littoralis",120.799167,23.828056
"38467","Fimbristylis_littoralis",121.118611,24.011389
"38478","Fimbristylis_littoralis",120.333134,22.992816
"38804","Fimbristylis_littoralis",120.28609,22.89064
"38927","Fimbristylis_littoralis",120.731667,24.143611
"39017","Fimbristylis_littoralis",-76.433333,-0.666667
"39033","Fimbristylis_littoralis",-62.66666,6.58333
"39075","Fimbristylis_littoralis",-84.304361,13.560889
"39158","Fimbristylis_littoralis",-64.507222,-16.665556
"39205","Fimbristylis_littoralis",-69.05,-12.48333
"39247","Fimbristylis_littoralis",-76.483333,-0.583333
"39330","Fimbristylis_littoralis",-61.223611,-17.718333
"39331","Fimbristylis_littoralis",-89.718333,14.987778
"39340","Fimbristylis_littoralis",-71.16666,6.93333
"39353","Fimbristylis_littoralis",-56.877778,4.758333
"39391","Fimbristylis_littoralis",-89.483333,14.25
"39510","Fimbristylis_littoralis",-84.13,10.4
"39605","Fimbristylis_littoralis",-77.951995,8.268483
"39618","Fimbristylis_littoralis",12.80202,0.49985
"39671","Fimbristylis_littoralis",-84.948983,12.947825
"39812","Fimbristylis_littoralis",-87.126389,14.033056
"39911","Fimbristylis_littoralis",-85.14333,14.29888
"39922","Fimbristylis_littoralis",-85.183333,14.4
"42304","Fimbristylis_littoralis",132.1872,-11.3736
"42342","Fimbristylis_littoralis",130.1719,-16.4875
"42421","Fimbristylis_littoralis",10.50417,-0.80917
"42426","Fimbristylis_littoralis",100.16667,7
"42466","Fimbristylis_littoralis",135.91206,34.61047
"42467","Fimbristylis_littoralis",135.74524,34.37744
"42493","Fimbristylis_littoralis",135.79846,34.40693
"42494","Fimbristylis_littoralis",135.76982,34.50113
"42533","Fimbristylis_littoralis",135.78368,34.51467
"42548","Fimbristylis_littoralis",135.77534,34.66947
"42560","Fimbristylis_littoralis",135.8277,34.38496
"42564","Fimbristylis_littoralis",135.97488,34.52451
"42573","Fimbristylis_littoralis",135.95116,34.49162
"42612","Fimbristylis_littoralis",135.79825,34.35528
"42621","Fimbristylis_littoralis",135.80374,34.46537
"42631","Fimbristylis_littoralis",135.72195,34.74726
"42671","Fimbristylis_littoralis",135.83908,34.57862
"43866","Fimbristylis_littoralis",142.3544,-18.3081
"43877","Fimbristylis_littoralis",141.7472,-15.7803
"44117","Fimbristylis_littoralis",142.8388,-18.9625
"44268","Fimbristylis_littoralis",142.3786,-18.29
"44395","Fimbristylis_littoralis",142.3552,-18.3097
"49884","Fimbristylis_littoralis",-84.183333,10.316667
"50055","Fimbristylis_littoralis",-86.21638,11.59972
"50203","Fimbristylis_littoralis",-76.483333,-0.583333
"50359","Fimbristylis_littoralis",-76.533333,-0.516667
"50526","Fimbristylis_littoralis",140.55,38.03
"51681","Fimbristylis_littoralis",135.64833,-16.03213
"51711","Fimbristylis_littoralis",130.38136,-17.39928
"51714","Fimbristylis_littoralis",134.616389,-21.973611
"51822","Fimbristylis_littoralis",136.07188,-18.14701
"51839","Fimbristylis_littoralis",137.9914,-18.6122
"51841","Fimbristylis_littoralis",130.512201,-15.043892
"51846","Fimbristylis_littoralis",130.47,-17.54055
"51870","Fimbristylis_littoralis",132.418164,-13.434813
"51908","Fimbristylis_littoralis",135.467698,-15.717106
"51918","Fimbristylis_littoralis",141.672799,-14.870448
"51919","Fimbristylis_littoralis",141.1258,-17.6553
"51959","Fimbristylis_littoralis",145.9964,-22.5292
"51967","Fimbristylis_littoralis",132.6676,-14.3067
"51970","Fimbristylis_littoralis",137.829311,-18.867959
"51977","Fimbristylis_littoralis",136.397919,-12.345536
"51980","Fimbristylis_littoralis",134.908387,-14.802863
"51982","Fimbristylis_littoralis",137.079444,-18.875556
"51997","Fimbristylis_littoralis",143.403611,-14.097778
"52005","Fimbristylis_littoralis",139.1039,-20.1703
"52016","Fimbristylis_littoralis",131.491613,-12.916125
"52032","Fimbristylis_littoralis",125.533611,-8.705278
"52034","Fimbristylis_littoralis",130.3146,-18.79408
"52047","Fimbristylis_littoralis",134.23135,-14.76215
"52064","Fimbristylis_littoralis",131.26467,-12.212802
"52067","Fimbristylis_littoralis",134.7686,-20.4878
"52072","Fimbristylis_littoralis",128.820885,-19.106969
"52093","Fimbristylis_littoralis",134.01813,-18.78183
"52094","Fimbristylis_littoralis",130.2786,-18.6172
"52118","Fimbristylis_littoralis",131.3414,-12.5856
"52137","Fimbristylis_littoralis",130.181944,-14.6475
"52139","Fimbristylis_littoralis",135.026898,-20.994381
"52157","Fimbristylis_littoralis",135.6061,-22.5642
"52180","Fimbristylis_littoralis",135.6364,-18.0744
"52242","Fimbristylis_littoralis",130.052225,-16.914435
"52252","Fimbristylis_littoralis",133.543056,-20.966111
"52311","Fimbristylis_littoralis",132.189369,-11.370851
"52333","Fimbristylis_littoralis",135.798,-17.1603
"52349","Fimbristylis_littoralis",132.64381,-14.50936
"52368","Fimbristylis_littoralis",133.088813,-13.758891
"52373","Fimbristylis_littoralis",137.085833,-18.645556
"52405","Fimbristylis_littoralis",132.5989,-13.90204
"52418","Fimbristylis_littoralis",128.752778,-15.773333
"52420","Fimbristylis_littoralis",131.75414,-12.71356
"52429","Fimbristylis_littoralis",129.4295,-15.2069
"52438","Fimbristylis_littoralis",142.125833,-13.592222
"52446","Fimbristylis_littoralis",125.678056,-8.538889
"52470","Fimbristylis_littoralis",134.505833,-14.270833
"52478","Fimbristylis_littoralis",137.960717,-19.241353
"52531","Fimbristylis_littoralis",130.82513,-18.36398
"52546","Fimbristylis_littoralis",134.520278,-14.003889
"52567","Fimbristylis_littoralis",138.4114,-17.5558
"52569","Fimbristylis_littoralis",134.1578,-18.9937
"52572","Fimbristylis_littoralis",136.786802,-12.179439
"52588","Fimbristylis_littoralis",136.21,-16.725
"52601","Fimbristylis_littoralis",135.42168,-15.79375
"52624","Fimbristylis_littoralis",134.639722,-17.638056
"52639","Fimbristylis_littoralis",131.298336,-12.557294
"52676","Fimbristylis_littoralis",134.559621,-12.231938
"52727","Fimbristylis_littoralis",131.07855,-14.15418
"52732","Fimbristylis_littoralis",135.793221,-13.577768
"52786","Fimbristylis_littoralis",129.01199,-19.359752
"52820","Fimbristylis_littoralis",143.4855,-16.4492
"52830","Fimbristylis_littoralis",135.625,-22.4667
"52847","Fimbristylis_littoralis",129.10657,-15.81902
