"","species","lon","lat"
"26","Galeopsis_speciosa",24.684927,61.903699
"27","Galeopsis_speciosa",24.843228,61.547197
"28","Galeopsis_speciosa",23.792809,61.149325
"36","Galeopsis_speciosa",26.603611,66.461584
"62","Galeopsis_speciosa",24.379708,61.018303
"74","Galeopsis_speciosa",23.937524,60.613808
"75","Galeopsis_speciosa",23.872402,60.531463
"105","Galeopsis_speciosa",24.437272,64.601299
"109","Galeopsis_speciosa",23.797121,61.47276
"117","Galeopsis_speciosa",26.074588,60.618742
"119","Galeopsis_speciosa",24.745205,60.29766
"142","Galeopsis_speciosa",25.03974,60.212554
"148","Galeopsis_speciosa",25.760261,64.93635
"177","Galeopsis_speciosa",25.769081,60.96633
"181","Galeopsis_speciosa",23.170842,63.792361
"184","Galeopsis_speciosa",21.510764,60.688961
"252","Galeopsis_speciosa",23.508527,63.360861
"335","Galeopsis_speciosa",22.536779,61.877689
"369","Galeopsis_speciosa",24.992022,60.696645
"371","Galeopsis_speciosa",24.340505,61.924408
"384","Galeopsis_speciosa",24.343089,62.768391
"395","Galeopsis_speciosa",25.101853,67.03364
"420","Galeopsis_speciosa",25.043582,61.352732
"445","Galeopsis_speciosa",23.914749,60.469577
"502","Galeopsis_speciosa",25.610034,64.9579
"509","Galeopsis_speciosa",22.758204,60.824221
"510","Galeopsis_speciosa",24.911051,61.37769
"513","Galeopsis_speciosa",23.93029,64.277393
"547","Galeopsis_speciosa",23.654114,59.996165
"554","Galeopsis_speciosa",21.665867,60.749213
"556","Galeopsis_speciosa",21.636829,60.703075
"565","Galeopsis_speciosa",29.355632,62.513454
"577","Galeopsis_speciosa",24.787408,60.208584
"591","Galeopsis_speciosa",23.724896,63.392935
"608","Galeopsis_speciosa",24.717721,64.246927
"621","Galeopsis_speciosa",24.697935,60.198081
"622","Galeopsis_speciosa",27.250169,61.483241
"738","Galeopsis_speciosa",24.613537,60.86103
"741","Galeopsis_speciosa",28.179958,66.116815
"756","Galeopsis_speciosa",21.69986,62.090767
"770","Galeopsis_speciosa",24.176376,60.807654
"776","Galeopsis_speciosa",26.269604,62.477561
"814","Galeopsis_speciosa",23.937972,60.416224
"818","Galeopsis_speciosa",23.849962,60.387223
"821","Galeopsis_speciosa",23.997305,60.363687
"832","Galeopsis_speciosa",23.771034,60.816478
"846","Galeopsis_speciosa",25.023336,60.185377
"853","Galeopsis_speciosa",25.801672,64.932651
"875","Galeopsis_speciosa",25.779968,63.54191
"895","Galeopsis_speciosa",24.63411,61.328264
"902","Galeopsis_speciosa",27.40923,63.57343
"918","Galeopsis_speciosa",21.432873,60.82069
"930","Galeopsis_speciosa",24.500454,63.911276
"958","Galeopsis_speciosa",25.491654,64.427429
"961","Galeopsis_speciosa",24.543861,64.809532
"968","Galeopsis_speciosa",28.86444,65.491048
"979","Galeopsis_speciosa",24.658021,61.508234
"1002","Galeopsis_speciosa",23.592323,63.497599
"1062","Galeopsis_speciosa",28.139264,63.201632
"1072","Galeopsis_speciosa",23.348201,60.814621
"1074","Galeopsis_speciosa",25.414897,60.289386
"1114","Galeopsis_speciosa",29.819057,65.126234
"1116","Galeopsis_speciosa",24.958374,61.2258
"1124","Galeopsis_speciosa",24.434562,60.336922
"1170","Galeopsis_speciosa",24.203484,61.338036
"1183","Galeopsis_speciosa",31.063513,63.032592
"1203","Galeopsis_speciosa",25.694232,64.967631
"1204","Galeopsis_speciosa",25.609569,64.966866
"1216","Galeopsis_speciosa",25.63873,60.992003
"1217","Galeopsis_speciosa",25.731808,60.97496
