"","species","lon","lat"
"13861","Gambusia_holbrooki",-76.692,38.775
"13903","Gambusia_holbrooki",146.92259,-36.25892
"13906","Gambusia_holbrooki",146.953,-36.13
"13909","Gambusia_holbrooki",151.36041,-30.28308
"13911","Gambusia_holbrooki",139.61356,-34.612447
"13912","Gambusia_holbrooki",146.02866,-26.86914
"13914","Gambusia_holbrooki",147.334992,-36.21378
"13916","Gambusia_holbrooki",140.77304,-34.172077
"13921","Gambusia_holbrooki",151.92131,-29.294885
"13922","Gambusia_holbrooki",149.01719,-30.32256
"13926","Gambusia_holbrooki",148.69144,-29.45431
"13931","Gambusia_holbrooki",143.42184,-37.16618
"13932","Gambusia_holbrooki",149.07049,-31.80523
"13933","Gambusia_holbrooki",151.137556,-31.062221
"13937","Gambusia_holbrooki",145.38894,-30.43022
"13942","Gambusia_holbrooki",138.66932,-35.416062
"13946","Gambusia_holbrooki",144.480255,-37.339661
"13948","Gambusia_holbrooki",149.649143,-33.074679
"13951","Gambusia_holbrooki",151.15824,-29.732385
"13953","Gambusia_holbrooki",151.09895,-30.18891
"13956","Gambusia_holbrooki",150.117561,-26.822377
"13958","Gambusia_holbrooki",146.683258,-36.644833
"13962","Gambusia_holbrooki",150.34163,-29.89922
"13968","Gambusia_holbrooki",149.33743,-31.49594
"13970","Gambusia_holbrooki",148.829,-33.574
"13971","Gambusia_holbrooki",151.36248,-30.46803
"13973","Gambusia_holbrooki",144.95994,-35.96508
"13974","Gambusia_holbrooki",151.15193,-30.32916
"13975","Gambusia_holbrooki",149.35756,-31.63547
"13980","Gambusia_holbrooki",150.9881,-29.380612
"13983","Gambusia_holbrooki",148.5756,-28.07319
"13986","Gambusia_holbrooki",149.31527,-31.4529
"13987","Gambusia_holbrooki",147.161,-36.729
"13989","Gambusia_holbrooki",139.36723,-35.03533
"13993","Gambusia_holbrooki",146.346804,-30.000213
"13997","Gambusia_holbrooki",151.106377,-30.623343
"14001","Gambusia_holbrooki",143.82225,-37.23816
"14004","Gambusia_holbrooki",148.782001,-34.296657
"14005","Gambusia_holbrooki",146.331116,-36.364395
"14006","Gambusia_holbrooki",147.87993,-35.689325
"14007","Gambusia_holbrooki",143.14188,-31.836247
"14009","Gambusia_holbrooki",149.28844,-29.72392
"14011","Gambusia_holbrooki",149.00995,-34.88159
"14012","Gambusia_holbrooki",145.97572,-35.254077
"14017","Gambusia_holbrooki",143.93983,-36.61925
"14018","Gambusia_holbrooki",149.06075,-27.14816
"14022","Gambusia_holbrooki",139.59962,-34.56333
"14025","Gambusia_holbrooki",146.907,-36.286
"14026","Gambusia_holbrooki",143.86992,-36.3164
"14027","Gambusia_holbrooki",145.67946,-28.08699
"14029","Gambusia_holbrooki",149.127,-36.1122
"14030","Gambusia_holbrooki",148.38876,-30.96197
"14033","Gambusia_holbrooki",145.66999,-27.86651
"14034","Gambusia_holbrooki",150.48142,-30.32601
"14036","Gambusia_holbrooki",149.95436,-28.39205
"14040","Gambusia_holbrooki",148.56702,-29.55632
"14044","Gambusia_holbrooki",148.686079,-32.613427
"14045","Gambusia_holbrooki",150.815347,-30.947119
"14046","Gambusia_holbrooki",142.00205,-33.84662
"14047","Gambusia_holbrooki",144.465302,-37.002167
"14048","Gambusia_holbrooki",149.07327,-29.007522
"14050","Gambusia_holbrooki",148.4194,-30.96926
"14051","Gambusia_holbrooki",151.62609,-29.03293
"14054","Gambusia_holbrooki",147.179254,-31.625929
"14056","Gambusia_holbrooki",146.49176,-36.42635
"14057","Gambusia_holbrooki",143.35889,-36.257445
"14058","Gambusia_holbrooki",142.033951,-36.48064
"35022","Gambusia_holbrooki",64.8917,40.1469
"35595","Gambusia_holbrooki",-8.749819,41.938015
"35805","Gambusia_holbrooki",-76.4278,35.6014
"35881","Gambusia_holbrooki",-3.818661,35.085162
"35882","Gambusia_holbrooki",-3.479673,32.313449
"35883","Gambusia_holbrooki",-3.37491,34.972793
"35884","Gambusia_holbrooki",-5.19248,34.121657
"35885","Gambusia_holbrooki",-4.977474,33.575238
"35886","Gambusia_holbrooki",-5.020342,34.102621
"35887","Gambusia_holbrooki",-5.226699,34.028776
"35888","Gambusia_holbrooki",-4.911791,33.760692
"35889","Gambusia_holbrooki",-5.124525,33.564023
"35890","Gambusia_holbrooki",-4.885023,33.646946
"35891","Gambusia_holbrooki",-2.883833,35.129972
"35892","Gambusia_holbrooki",-2.962944,35.051722
"35893","Gambusia_holbrooki",-2.934388,35.087305
"35894","Gambusia_holbrooki",-2.876666,35.01775
"35895","Gambusia_holbrooki",-2.90525,35.053055
"35896","Gambusia_holbrooki",-2.906388,35.0635
"35897","Gambusia_holbrooki",-2.904918,35.151729
"35898","Gambusia_holbrooki",-3.183722,35.213583
"35899","Gambusia_holbrooki",-2.74586,35.103469
"35900","Gambusia_holbrooki",-2.902922,35.147185
"35901","Gambusia_holbrooki",-2.336661,34.242113
"35902","Gambusia_holbrooki",-5.103628,35.431536
"35903","Gambusia_holbrooki",-9.575738,30.360025
"35904","Gambusia_holbrooki",-2.647861,34.206416
"35905","Gambusia_holbrooki",-2.881361,34.421
"35906","Gambusia_holbrooki",-2.392916,34.226888
"35907","Gambusia_holbrooki",-2.409666,34.239333
"35908","Gambusia_holbrooki",-2.883923,32.13242
"35909","Gambusia_holbrooki",-3.042611,34.560083
"35910","Gambusia_holbrooki",-3.030491,34.561413
"35911","Gambusia_holbrooki",-3.025305,34.546252
"35912","Gambusia_holbrooki",-3.320388,34.241627
"35913","Gambusia_holbrooki",-2.948783,35.059201
"35914","Gambusia_holbrooki",-6.103675,34.059306
"35915","Gambusia_holbrooki",-5.941739,34.247222
"35916","Gambusia_holbrooki",-2.635794,34.907647
"35917","Gambusia_holbrooki",-5.091748,33.153738
"35918","Gambusia_holbrooki",-5.579963,34.089741
"35919","Gambusia_holbrooki",-6.185554,33.747945
"35920","Gambusia_holbrooki",-2.356,34.838972
"35921","Gambusia_holbrooki",-5.479485,29.841042
"35922","Gambusia_holbrooki",-2.35084,35.101091
"35923","Gambusia_holbrooki",-6.585119,34.293789
"35924","Gambusia_holbrooki",-2.428444,35.051583
"35925","Gambusia_holbrooki",-2.6625,34.886388
"35926","Gambusia_holbrooki",-2.388611,35.097611
"35927","Gambusia_holbrooki",-6.956544,33.845613
"35928","Gambusia_holbrooki",-2.345833,35.105194
"35929","Gambusia_holbrooki",-2.328361,35.099722
"35930","Gambusia_holbrooki",-5.456625,29.953921
"35931","Gambusia_holbrooki",-2.413472,34.945444
"35932","Gambusia_holbrooki",-5.449005,30.0733
"35933","Gambusia_holbrooki",-2.457187,34.96431
"35934","Gambusia_holbrooki",-2.311416,34.935222
"35935","Gambusia_holbrooki",-3.344555,34.216986
"43843","Gambusia_holbrooki",153.42623,-28.116769
"43947","Gambusia_holbrooki",151.97052,-27.587848
"44006","Gambusia_holbrooki",153.080225,-26.602572
"44120","Gambusia_holbrooki",151.140556,-25.282222
"44216","Gambusia_holbrooki",146.333472,-18.980948
"44317","Gambusia_holbrooki",151.968866,-27.576955
"44387","Gambusia_holbrooki",152.3361,-27.03113
"44415","Gambusia_holbrooki",153.021061,-26.775072
"44529","Gambusia_holbrooki",145.37474,-23.12519
"44532","Gambusia_holbrooki",153.333,-28.2
"44533","Gambusia_holbrooki",153.1,-29.683
"44534","Gambusia_holbrooki",152.73983,-31.08783
"44535","Gambusia_holbrooki",149.11024,-35.6197
"44537","Gambusia_holbrooki",151.0655,-33.83316
"44538","Gambusia_holbrooki",153.21782,-29.306
"44542","Gambusia_holbrooki",150.55777,-33.98054
"44544","Gambusia_holbrooki",152.83499,-30.60216
"44545","Gambusia_holbrooki",136.20716,-28.26766
"44546","Gambusia_holbrooki",151.48366,-33.04283
"44548","Gambusia_holbrooki",145.40166,-23.27916
"44549","Gambusia_holbrooki",153.36999,-29.23149
"44550","Gambusia_holbrooki",153.18653,-28.02912
"44551","Gambusia_holbrooki",153.37682,-29.24433
"44553","Gambusia_holbrooki",150.533,-30.933
"44555","Gambusia_holbrooki",152.54666,-29.34833
"44556","Gambusia_holbrooki",152.13971,-30.83944
"44558","Gambusia_holbrooki",153.283,-29.416
"44560","Gambusia_holbrooki",150.76243,-33.74973
"44561","Gambusia_holbrooki",150.14466,-33.54944
"44562","Gambusia_holbrooki",152.76888,-31.465
"44563","Gambusia_holbrooki",150.84133,-33.81716
"44565","Gambusia_holbrooki",145.43471,-22.78527
"44569","Gambusia_holbrooki",143.75,-30.483
"44572","Gambusia_holbrooki",153.34066,-28.90916
"44574","Gambusia_holbrooki",150.64666,-33.86
"44575","Gambusia_holbrooki",150.14808,-33.551
"44576","Gambusia_holbrooki",150.87766,-33.66882
"44577","Gambusia_holbrooki",153.25,-29.4
"44578","Gambusia_holbrooki",151.07405,-33.2766
"44580","Gambusia_holbrooki",150.34049,-29.902
"44582","Gambusia_holbrooki",152.60183,-31.4595
"44584","Gambusia_holbrooki",149.4,-29.266
"44585","Gambusia_holbrooki",150.84166,-33.80683
"44586","Gambusia_holbrooki",145.15066,-35.67449
"44743","Gambusia_holbrooki",67.620003,37.82
"44800","Gambusia_holbrooki",67.339996,37.259998
"44813","Gambusia_holbrooki",69.389999,41.27
"44823","Gambusia_holbrooki",60.57,41.52
"44827","Gambusia_holbrooki",22.75,41.169998
"44842","Gambusia_holbrooki",67.330002,37.240002
"44858","Gambusia_holbrooki",71.830002,40.919998
"45230","Gambusia_holbrooki",-82.1664,29.4778
"55435","Gambusia_holbrooki",68.0721,38.3631
"55443","Gambusia_holbrooki",67.0761,39.6764
"55446","Gambusia_holbrooki",140.78,-34.066
"58848","Gambusia_holbrooki",-77.8190006,35.0969858
"58852","Gambusia_holbrooki",-77.5823992,35.4290777
"58854","Gambusia_holbrooki",-81.104897,32.442001
"58855","Gambusia_holbrooki",-78.465797,34.115799
"58856","Gambusia_holbrooki",-80.673302,35.106701
"58857","Gambusia_holbrooki",-80.521202,25.3153
"58859","Gambusia_holbrooki",-77.7575,35.889999
"58862","Gambusia_holbrooki",-77.3228,34.626099
"58863","Gambusia_holbrooki",-78.5341226,35.9194642
"58866","Gambusia_holbrooki",-79.033401,33.937
"58867","Gambusia_holbrooki",-81.881897,27.2239
"58873","Gambusia_holbrooki",-78.178515,35.8039699
"58874","Gambusia_holbrooki",-78.7679318,36.3333578
"58878","Gambusia_holbrooki",-78.504501,36.4953
"58880","Gambusia_holbrooki",-77.4392906,35.0956848
"58883","Gambusia_holbrooki",-78.862801,34.564701
"58884","Gambusia_holbrooki",-77.277,35.625599
"58885","Gambusia_holbrooki",-79.767197,34.623798
"58887","Gambusia_holbrooki",-77.5789963,35.0321874
