"","species","lon","lat"
"212","Geranium_pratense",21.550236,60.672584
"647","Geranium_pratense",24.524354,63.175651
"1077","Geranium_pratense",24.796614,61.142468
"1637","Geranium_pratense",28.089014,61.856044
"2125","Geranium_pratense",22.740615,63.681445
"2697","Geranium_pratense",28.734134,61.690107
"4082","Geranium_pratense",25.749626,66.49296
"4242","Geranium_pratense",23.813406,60.018073
"4288","Geranium_pratense",25.936546,61.479321
"4304","Geranium_pratense",24.45504,61.001788
"4544","Geranium_pratense",24.822857,60.218148
"4631","Geranium_pratense",28.496363,62.803489
"4812","Geranium_pratense",24.431351,64.664023
"4865","Geranium_pratense",23.058154,63.871813
"4940","Geranium_pratense",24.648386,60.134356
"6310","Geranium_pratense",25.236889,60.906558
"6347","Geranium_pratense",25.672754,61.503932
"6943","Geranium_pratense",23.558462,63.110607
"7315","Geranium_pratense",24.90674,61.162172
"7523","Geranium_pratense",22.702714,62.742421
"7687","Geranium_pratense",24.479807,61.388337
"7948","Geranium_pratense",27.228274,63.600744
"8108","Geranium_pratense",24.203484,61.338036
"8143","Geranium_pratense",24.31851,61.304439
"8276","Geranium_pratense",28.863332,63.642684
"8313","Geranium_pratense",26.895551,60.507914
"8575","Geranium_pratense",22.411338,63.464574
"9110","Geranium_pratense",25.65458,61.489843
"9404","Geranium_pratense",24.410435,64.663659
"10669","Geranium_pratense",22.172485,60.436527
"12008","Geranium_pratense",25.29383,60.530268
"12327","Geranium_pratense",12.96567,55.92207
"12976","Geranium_pratense",19.75,50.116667
"14283","Geranium_pratense",26.00788,60.411824
"15253","Geranium_pratense",22.680166,63.679642
"16026","Geranium_pratense",24.947369,60.247069
"16181","Geranium_pratense",22.988926,63.499921
"16871","Geranium_pratense",23.342588,63.877656
"17012","Geranium_pratense",24.410437,64.663658
"17485","Geranium_pratense",27.386068,63.349214
"18152","Geranium_pratense",24.878099,60.201087
"18242","Geranium_pratense",23.058384,63.870183
"18409","Geranium_pratense",28.794393,64.783117
"18612","Geranium_pratense",22.700315,63.680245
"19927","Geranium_pratense",-0.470963,52.793538
"20078","Geranium_pratense",99.67,34.56
"20108","Geranium_pratense",81.12,43.15
"20245","Geranium_pratense",96.67,32.77
"20280","Geranium_pratense",9.046861,61.865564
"20365","Geranium_pratense",0.020348,53.335291
"20369","Geranium_pratense",-0.127136,53.563748
"20860","Geranium_pratense",83.833333,28.8
"23007","Geranium_pratense",12.31583,51.72722
"25079","Geranium_pratense",11.31472,51.5225
"25080","Geranium_pratense",11.79167,51.29778
"25945","Geranium_pratense",17.82125,59.17982
"27104","Geranium_pratense",88.833,48.5
"28552","Geranium_pratense",24.661907,60.19745
"28697","Geranium_pratense",24.451423,64.673346
"29836","Geranium_pratense",23.99648,60.37265
"30580","Geranium_pratense",25.148412,60.205139
"30822","Geranium_pratense",25.29029,61.355566
"30983","Geranium_pratense",26.972276,60.476674
"32872","Geranium_pratense",24.441295,63.205148
"33074","Geranium_pratense",31.369214,62.701327
"33433","Geranium_pratense",22.327288,62.994411
"36161","Geranium_pratense",16.36625,48.57742
"36367","Geranium_pratense",15.41861,46.78722
"36513","Geranium_pratense",13.65861,47.42667
"36755","Geranium_pratense",25.856325,61.534152
"37492","Geranium_pratense",6.110333,52.368583
"39679","Geranium_pratense",44.670556,42.659167
"43758","Geranium_pratense",100.557778,34.588611
"50530","Geranium_pratense",19.45,50.07
"50583","Geranium_pratense",19.42,50.05
"51088","Geranium_pratense",33.921944,47.721667
"54577","Geranium_pratense",-1.823611,51.431667
"54866","Geranium_pratense",10.96,48.72
"54899","Geranium_pratense",11.6,50.11
"54968","Geranium_pratense",11.98,50.29
"54972","Geranium_pratense",10.79,48.12
"55028","Geranium_pratense",10.21,47.37
"55088","Geranium_pratense",10.29,47.72
"55148","Geranium_pratense",10.29,47.32
"55218","Geranium_pratense",11.98,50.26
"55367","Geranium_pratense",10.29,47.77
"55423","Geranium_pratense",17.80651,59.17277
"56989","Geranium_pratense",97.3336,30.1711
"57035","Geranium_pratense",25.9319,45.4625
"57336","Geranium_pratense",2.0994,42.4231
"57356","Geranium_pratense",14.7589,49.0028
"57731","Geranium_pratense",16.4047,48.1486
"58166","Geranium_pratense",1.98,42.35
"58278","Geranium_pratense",-0.63,40.39
"58466","Geranium_pratense",2.01,42.35
"58518","Geranium_pratense",1.95,42.35
"60604","Geranium_pratense",10.21,50.12
"60664","Geranium_pratense",10.29,47.97
"60678","Geranium_pratense",10.29,47.82
"60698","Geranium_pratense",11.56,50.04
"60739","Geranium_pratense",10.29,47.67
"60763","Geranium_pratense",10.37,47.42
"60849","Geranium_pratense",10.21,47.87
"60950","Geranium_pratense",10.87,48.07
"61884","Geranium_pratense",13.683333,50.05
"64471","Geranium_pratense",82.01499,52.93743
"66198","Geranium_pratense",38.197715,53.68095
"66218","Geranium_pratense",37.561821,54.156159
"66247","Geranium_pratense",38.68943,53.665322
"66248","Geranium_pratense",36.474627,53.578301
"66249","Geranium_pratense",37.295465,54.127502
"66250","Geranium_pratense",36.807909,53.485702
"66251","Geranium_pratense",37.474124,54.266117
"66252","Geranium_pratense",38.557296,53.581761
"66253","Geranium_pratense",37.655414,54.612156
"66254","Geranium_pratense",37.509205,53.997331
"66255","Geranium_pratense",37.587673,54.156517
"66257","Geranium_pratense",37.511919,54.083918
"66258","Geranium_pratense",38.455742,53.417697
"66260","Geranium_pratense",36.383611,54.120583
"66261","Geranium_pratense",36.174409,53.693145
"66262","Geranium_pratense",37.701725,54.380582
"66263","Geranium_pratense",36.802395,53.482067
"66264","Geranium_pratense",37.619789,54.032329
"66265","Geranium_pratense",36.806233,53.486713
"67787","Geranium_pratense",5.278491,51.791097
"68020","Geranium_pratense",4.480183,52.210717
"69066","Geranium_pratense",10.12,47.47
"69076","Geranium_pratense",9.6,49.81
"69121","Geranium_pratense",10.21,50.07
"69220","Geranium_pratense",11.85,49.91
"72186","Geranium_pratense",12.94391,55.55509
"73286","Geranium_pratense",19.093341,69.721223
"74396","Geranium_pratense",87.64,43.83
"74512","Geranium_pratense",112.53,32.99
"74561","Geranium_pratense",112.25,36.15
"74649","Geranium_pratense",87.65,43.78
"74697","Geranium_pratense",112.2,31.05
"74909","Geranium_pratense",87.027146,54.756904
"74911","Geranium_pratense",87.8467,55.7484
"74912","Geranium_pratense",87.166667,54.816667
"74913","Geranium_pratense",84.981292,56.082869
"74914","Geranium_pratense",86.136908,55.402999
"74915","Geranium_pratense",86.142674,55.369958
"74916","Geranium_pratense",88.46,54.351944
"74917","Geranium_pratense",86.8805,56.0561
"74918","Geranium_pratense",87.0643,54.1626
"74919","Geranium_pratense",88.500163,52.260893
"74920","Geranium_pratense",86.190903,55.365717
"75203","Geranium_pratense",3.53882,44.9454
"78142","Geranium_pratense",97.045278,32.071667
"78146","Geranium_pratense",88.42,50.073611
"78209","Geranium_pratense",38.561325,59.923453
"78221","Geranium_pratense",88.99396,62.27382
"78306","Geranium_pratense",40.124559,56.060968
"78396","Geranium_pratense",95.05,50.616667
"78558","Geranium_pratense",47.275372,56.64056
"78591","Geranium_pratense",91.916667,51.733333
"78658","Geranium_pratense",87.483333,49.283333
"78733","Geranium_pratense",38.477196,59.958142
"78827","Geranium_pratense",38.278878,59.866727
"79328","Geranium_pratense",13.029166,48.239445
"79352","Geranium_pratense",13.556111,48.371113
"79438","Geranium_pratense",13.366667,47.983334
"79557","Geranium_pratense",13.537222,48.37639
"79566","Geranium_pratense",13.489445,48.558334
"79648","Geranium_pratense",13.646667,48.20111
"79769","Geranium_pratense",13.186944,48.239445
"79832","Geranium_pratense",13.432777,48.456665
"79833","Geranium_pratense",13.550834,47.711666
"80101","Geranium_pratense",13.5725,48.254444
"80513","Geranium_pratense",13.044444,48.253613
"80559","Geranium_pratense",13.57,48.41611
"80630","Geranium_pratense",13.021944,48.24361
"80684","Geranium_pratense",13.476111,48.56167
"80848","Geranium_pratense",13.388611,48.351665
"81058","Geranium_pratense",14.257222,48.359165
"81135","Geranium_pratense",13.475833,48.56222
"81201","Geranium_pratense",13.145833,48.131943
"81303","Geranium_pratense",13.450556,48.40389
"81326","Geranium_pratense",13.274167,48.267776
"81334","Geranium_pratense",13.291389,48.266666
"81448","Geranium_pratense",13.1475,47.9975
"81542","Geranium_pratense",17.9824,69.2293
"81896","Geranium_pratense",2.1175,42.50472
"81960","Geranium_pratense",12.395027,55.731767
"82150","Geranium_pratense",10.295504,57.603367
"82151","Geranium_pratense",12.203013,55.520788
"82324","Geranium_pratense",8.519971,55.165321
"82483","Geranium_pratense",9.166798,55.938911
"82484","Geranium_pratense",9.708603,55.802207
"82659","Geranium_pratense",9.958478,56.23181
"83003","Geranium_pratense",8.442677,56.198326
"83178","Geranium_pratense",8.12874,56.537933
"83179","Geranium_pratense",8.736336,55.67817
"83180","Geranium_pratense",9.584883,54.994123
"83181","Geranium_pratense",9.860948,56.915345
"83344","Geranium_pratense",12.11735,55.608696
"83531","Geranium_pratense",8.702344,55.965618
"83532","Geranium_pratense",9.556486,55.200942
"84215","Geranium_pratense",25.486211,64.852972
"86066","Geranium_pratense",-0.56,40.36
"86703","Geranium_pratense",-0.58,40.49
"86879","Geranium_pratense",-0.58,40.4
"87646","Geranium_pratense",-0.52,40.45
"87855","Geranium_pratense",-0.63,40.39
"88284","Geranium_pratense",1.4,42.55
"88399","Geranium_pratense",-0.65,40.38
"93793","Geranium_pratense",-3.035,55.838
"95013","Geranium_pratense",17.80649,59.12191
"95106","Geranium_pratense",19.75,50.116667
"96027","Geranium_pratense",9.676904,50.497637
"96028","Geranium_pratense",9.683921,50.685444
"96029","Geranium_pratense",9.792308,50.439652
"96030","Geranium_pratense",9.662451,50.705219
"96031","Geranium_pratense",9.801968,50.453178
"96842","Geranium_pratense",12.90453,55.86223
"97261","Geranium_pratense",28.433244,64.715272
"97437","Geranium_pratense",29.638099,64.815527
"97458","Geranium_pratense",25.4294,65.040214
"97545","Geranium_pratense",25.439698,65.029333
"97658","Geranium_pratense",24.114087,61.385385
"97662","Geranium_pratense",28.014008,64.18991
"97820","Geranium_pratense",24.556845,64.666151
"97830","Geranium_pratense",25.439864,65.079169
"98394","Geranium_pratense",25.404289,65.089067
"98398","Geranium_pratense",29.648257,65.21955
"98510","Geranium_pratense",24.469402,65.900924
"98606","Geranium_pratense",24.541938,64.667654
"98646","Geranium_pratense",26.726096,67.661162
"98673","Geranium_pratense",25.377819,65.296467
"98747","Geranium_pratense",26.866632,63.376587
