"","species","lon","lat"
"3120","Geum_aleppicum",25.120953,60.403662
"7915","Geum_aleppicum",25.117081,60.405349
"10013","Geum_aleppicum",25.120667,60.403263
"12069","Geum_aleppicum",26.649592,60.922406
"12385","Geum_aleppicum",40.415167,44.07025
"12394","Geum_aleppicum",-92.883333,48.5
"19962","Geum_aleppicum",108.2,33.98
"19968","Geum_aleppicum",103.39,29.49
"19984","Geum_aleppicum",103.35,34.69
"19989","Geum_aleppicum",105.6,33.32
"19996","Geum_aleppicum",104.11,35.84
"20067","Geum_aleppicum",117.09,40.5
"20070","Geum_aleppicum",110.85,26.43
"20140","Geum_aleppicum",81.02,44.96
"20161","Geum_aleppicum",110.58,25.6
"20221","Geum_aleppicum",115.99,29.61
"20249","Geum_aleppicum",106.77,33.97
"20250","Geum_aleppicum",103.14,36.97
"20292","Geum_aleppicum",-88.309316,42.420178
"20302","Geum_aleppicum",-88.308908,42.420131
"20312","Geum_aleppicum",-88.342189,42.419133
"20313","Geum_aleppicum",-91.482835,47.955717
"20318","Geum_aleppicum",-88.309091,42.418697
"20321","Geum_aleppicum",-88.309284,42.420154
"20342","Geum_aleppicum",-88.309123,42.419679
"20344","Geum_aleppicum",-88.306248,42.417406
"27380","Geum_aleppicum",-121.41666,43.95
"32620","Geum_aleppicum",25.072433,60.377777
"35010","Geum_aleppicum",-79.523,44.037
"37218","Geum_aleppicum",-73.568651,45.595329
"37229","Geum_aleppicum",-75.736111,45.493056
"37234","Geum_aleppicum",-76.906736,45.005745
"37256","Geum_aleppicum",-73.454267,45.417567
"37262","Geum_aleppicum",-78.9592,48.2399
"37310","Geum_aleppicum",-77.777863,48.091623
"37610","Geum_aleppicum",5.628693,52.388333
"42389","Geum_aleppicum",-96.045197,50.554222
"42398","Geum_aleppicum",-97.506222,51.102194
"42407","Geum_aleppicum",-97.395944,51.241306
"42928","Geum_aleppicum",-105.309971,39.992291
"42968","Geum_aleppicum",-107.57841,39.68217
"43057","Geum_aleppicum",-105.21512,39.901198
"43091","Geum_aleppicum",-105.209213,39.874341
"43193","Geum_aleppicum",-105.76691,38.10314
"43235","Geum_aleppicum",-107.41434,38.44971
"43236","Geum_aleppicum",-105.31895,39.953533
"43310","Geum_aleppicum",-105.678967,35.85125
"43444","Geum_aleppicum",-105.206767,39.904953
"43508","Geum_aleppicum",-107.8702,39.8915
"43670","Geum_aleppicum",-108.134819,39.585131
"43706","Geum_aleppicum",-106.81305,39.18906
"43735","Geum_aleppicum",-104.45497,37.00562
"44692","Geum_aleppicum",-114.55394,46.63739
"49506","Geum_aleppicum",-88.90732,45.483275
"49507","Geum_aleppicum",-88.87673,45.472311
"49508","Geum_aleppicum",-88.33477,45.598498
"49509","Geum_aleppicum",-88.46433,45.954667
"49510","Geum_aleppicum",-88.46483,44.736167
"49511","Geum_aleppicum",-88.19068,43.710507
"49512","Geum_aleppicum",-87.72894,43.650698
"49788","Geum_aleppicum",-87.5547,44.45763
"49789","Geum_aleppicum",-88.54073,44.678333
"49790","Geum_aleppicum",-87.55495,44.15158
"49791","Geum_aleppicum",-88.65117,45.66531
"49792","Geum_aleppicum",-88.71716,45.25124
"49793","Geum_aleppicum",-89.11018,46.10198
"49794","Geum_aleppicum",-89.16222,45.338537
"49795","Geum_aleppicum",-88.55894,45.8944
"49796","Geum_aleppicum",-88.63593,45.41762
"49797","Geum_aleppicum",-88.31899,45.14714
"49798","Geum_aleppicum",-88.049444,44.567778
"49799","Geum_aleppicum",-88.79863,45.5622
"49800","Geum_aleppicum",-88.49628,45.97039
"49801","Geum_aleppicum",-88.79166,45.477328
"50258","Geum_aleppicum",-97.24225,45.741583
"50413","Geum_aleppicum",91.68555,27.83444
"50563","Geum_aleppicum",141.2,43.04
"51083","Geum_aleppicum",37.631793,47.165898
"51231","Geum_aleppicum",38.363887,48.224215
"62212","Geum_aleppicum",-105.649833,33.303833
"64252","Geum_aleppicum",-108.5683,47.6433
"64381","Geum_aleppicum",84.5739,53.3601
"64386","Geum_aleppicum",83.0333,51.15
"64388","Geum_aleppicum",82.4833,50.8
"64392","Geum_aleppicum",84.5666,50.9666
"64394","Geum_aleppicum",85.5,50.25
"64413","Geum_aleppicum",82.2745,51.89251
"64415","Geum_aleppicum",80.26026,53.75845
"64416","Geum_aleppicum",86.2833,50.7
"64418","Geum_aleppicum",83.45,51.2166
"64419","Geum_aleppicum",82.5666,51.25
"64420","Geum_aleppicum",91.55,50.6166
