"","species","lon","lat"
"22","Goodyera_repens",23.368353,61.767433
"45","Goodyera_repens",26.323957,61.786902
"48","Goodyera_repens",24.384853,61.404501
"385","Goodyera_repens",28.001115,63.229588
"467","Goodyera_repens",26.13872,61.633308
"571","Goodyera_repens",30.280781,62.80012
"575","Goodyera_repens",24.670763,61.337874
"720","Goodyera_repens",24.435583,64.61922
"765","Goodyera_repens",27.66602,62.49583
"807","Goodyera_repens",24.543902,61.048329
"916","Goodyera_repens",25.343274,63.788776
"926","Goodyera_repens",27.896731,61.776667
"927","Goodyera_repens",26.535866,64.048716
"942","Goodyera_repens",22.562953,63.523286
"978","Goodyera_repens",28.720025,61.589309
"1078","Goodyera_repens",24.493392,61.918298
"1082","Goodyera_repens",24.544598,61.039363
"1105","Goodyera_repens",24.666365,60.134675
"1106","Goodyera_repens",30.363887,62.151508
"1138","Goodyera_repens",23.888005,60.558773
"1139","Goodyera_repens",24.07168,60.544967
"1149","Goodyera_repens",23.797408,60.368004
"1178","Goodyera_repens",23.875647,61.43866
"1206","Goodyera_repens",26.987783,60.586044
"1220","Goodyera_repens",25.490606,64.068537
"1222","Goodyera_repens",26.079752,61.71369
"1314","Goodyera_repens",22.352103,60.451152
"1316","Goodyera_repens",29.301189,61.805192
"1424","Goodyera_repens",24.84595,60.416052
"1486","Goodyera_repens",24.571315,60.932103
"1508","Goodyera_repens",24.610509,64.532408
"1607","Goodyera_repens",24.696885,61.490941
"1612","Goodyera_repens",28.31811,68.752299
"1702","Goodyera_repens",26.075364,63.113465
"1803","Goodyera_repens",25.276633,60.853213
"1813","Goodyera_repens",24.87245,61.395046
"1854","Goodyera_repens",24.553882,61.398668
"1865","Goodyera_repens",24.646734,64.595812
"1868","Goodyera_repens",22.52668,62.789656
"1889","Goodyera_repens",23.988197,60.462277
"1922","Goodyera_repens",26.001517,61.793909
"1932","Goodyera_repens",27.499455,60.638963
"1997","Goodyera_repens",24.649408,61.373418
"2039","Goodyera_repens",24.267957,61.456079
"2082","Goodyera_repens",28.362084,62.867666
"2107","Goodyera_repens",24.677384,60.233638
"2151","Goodyera_repens",23.862896,60.252797
"2225","Goodyera_repens",23.900872,60.424346
"2229","Goodyera_repens",23.783732,60.322761
"2263","Goodyera_repens",29.339634,61.56215
"2264","Goodyera_repens",26.427886,63.321674
"2270","Goodyera_repens",25.582517,61.009376
"2314","Goodyera_repens",29.580595,62.419703
"2345","Goodyera_repens",27.403307,68.739014
"2387","Goodyera_repens",24.272565,61.617795
"2393","Goodyera_repens",24.535988,61.779464
"2466","Goodyera_repens",28.632301,62.425059
"2495","Goodyera_repens",26.711222,60.908822
"2526","Goodyera_repens",24.354699,60.874144
"2567","Goodyera_repens",24.422256,61.405215
"2680","Goodyera_repens",25.538288,63.548623
"2690","Goodyera_repens",25.752029,60.930272
"2696","Goodyera_repens",24.096009,60.68021
"2874","Goodyera_repens",24.453869,61.935529
"2914","Goodyera_repens",27.573996,61.742501
"2929","Goodyera_repens",26.441695,60.513078
"2968","Goodyera_repens",24.611294,64.523446
"2972","Goodyera_repens",25.600998,61.009569
"3275","Goodyera_repens",25.323801,61.356477
"3296","Goodyera_repens",24.101904,60.410913
"3299","Goodyera_repens",25.65138,63.603117
"3318","Goodyera_repens",24.166978,61.328299
"3319","Goodyera_repens",24.23764,61.374652
"3349","Goodyera_repens",23.868068,60.57627
"3371","Goodyera_repens",27.610454,60.710303
"3380","Goodyera_repens",24.415381,60.579003
"3422","Goodyera_repens",23.856824,60.504151
"3511","Goodyera_repens",27.36609,64.910111
"3542","Goodyera_repens",26.864034,63.923807
"3595","Goodyera_repens",28.33672,68.355054
"3601","Goodyera_repens",26.232335,61.660787
"3616","Goodyera_repens",24.460389,61.396954
"3657","Goodyera_repens",26.703862,61.698514
"3705","Goodyera_repens",25.69672,60.929748
"3709","Goodyera_repens",23.432912,63.808063
"3724","Goodyera_repens",28.888081,61.874323
"3789","Goodyera_repens",24.094076,67.583832
"3881","Goodyera_repens",25.216122,60.286865
"3908","Goodyera_repens",30.528523,62.246212
"3918","Goodyera_repens",24.901424,61.521174
"3920","Goodyera_repens",23.811349,61.149764
"3930","Goodyera_repens",26.319588,61.984296
"3931","Goodyera_repens",24.834426,61.403424
"3934","Goodyera_repens",24.879136,61.296402
"3937","Goodyera_repens",25.870303,62.268509
"3952","Goodyera_repens",28.38126,61.171318
"4007","Goodyera_repens",26.38279,61.688469
"4023","Goodyera_repens",26.191775,61.76824
"4086","Goodyera_repens",25.584373,62.615873
"4153","Goodyera_repens",24.247644,61.473629
"4256","Goodyera_repens",24.436673,60.310023
"4267","Goodyera_repens",24.427419,61.342462
"4275","Goodyera_repens",25.099229,61.667693
"4337","Goodyera_repens",24.58255,64.612725
"4389","Goodyera_repens",26.038868,61.812123
"4416","Goodyera_repens",24.725458,61.356757
"4441","Goodyera_repens",26.002063,63.516711
"4475","Goodyera_repens",24.484134,61.334546
"4547","Goodyera_repens",24.810375,60.283488
"4600","Goodyera_repens",23.380896,63.896583
"4645","Goodyera_repens",23.280344,61.711171
"4647","Goodyera_repens",24.384138,60.964513
"4648","Goodyera_repens",24.328062,60.972392
"4659","Goodyera_repens",26.021045,61.776102
"4664","Goodyera_repens",26.212134,63.912757
"4681","Goodyera_repens",24.479087,61.397302
"4692","Goodyera_repens",24.506231,60.347266
"4721","Goodyera_repens",24.615457,60.34029
"4734","Goodyera_repens",24.597366,60.339965
"4772","Goodyera_repens",24.760889,61.384277
"4787","Goodyera_repens",24.708093,61.33851
"4867","Goodyera_repens",29.858821,61.884507
"4986","Goodyera_repens",23.808509,67.434848
"5000","Goodyera_repens",26.528661,60.791635
"5009","Goodyera_repens",24.516481,61.397989
"5012","Goodyera_repens",27.606212,61.455202
"5021","Goodyera_repens",24.471366,61.029032
"5034","Goodyera_repens",24.377429,61.269675
"5106","Goodyera_repens",24.835667,61.385489
"5136","Goodyera_repens",25.679027,60.911624
"5147","Goodyera_repens",29.809174,62.379367
"5364","Goodyera_repens",24.835047,61.394455
"5406","Goodyera_repens",24.65411,61.310654
"5651","Goodyera_repens",26.131542,60.538346
"5666","Goodyera_repens",23.875799,60.306995
"5712","Goodyera_repens",25.845819,65.012388
"5802","Goodyera_repens",25.305938,60.647122
"5845","Goodyera_repens",26.235677,63.79626
"5894","Goodyera_repens",27.875239,61.687067
"5997","Goodyera_repens",24.802684,61.322118
"6006","Goodyera_repens",21.984766,61.759714
"6043","Goodyera_repens",23.87065,60.360765
"6063","Goodyera_repens",24.543225,64.585151
"6075","Goodyera_repens",26.344437,61.715212
"6106","Goodyera_repens",24.207476,61.29322
"6142","Goodyera_repens",24.556683,61.362805
"6156","Goodyera_repens",23.855955,60.513113
"6166","Goodyera_repens",26.98772,60.74759
"6201","Goodyera_repens",24.38561,60.946584
"6355","Goodyera_repens",27.242737,60.523001
"6359","Goodyera_repens",24.348002,60.954827
"6362","Goodyera_repens",24.507624,61.038685
"6393","Goodyera_repens",27.716943,60.557199
"6430","Goodyera_repens",25.165933,60.21436
"6458","Goodyera_repens",26.06221,61.668701
"6610","Goodyera_repens",25.19627,60.45205
"6653","Goodyera_repens",24.882646,61.520883
"6697","Goodyera_repens",24.294047,60.064721
"6711","Goodyera_repens",24.046723,60.418681
"6745","Goodyera_repens",23.650484,64.199411
"7091","Goodyera_repens",25.443788,60.442334
"7126","Goodyera_repens",25.695251,60.965636
"7160","Goodyera_repens",27.487561,65.779754
"7270","Goodyera_repens",24.038815,62.088862
"7287","Goodyera_repens",25.323174,60.425349
"7309","Goodyera_repens",21.45531,62.378039
"7310","Goodyera_repens",24.346507,60.972757
"7350","Goodyera_repens",24.353523,61.332063
"7380","Goodyera_repens",24.057554,60.499751
"7401","Goodyera_repens",24.62003,60.277518
"7454","Goodyera_repens",24.57387,61.623476
"7481","Goodyera_repens",24.68678,61.37406
"7559","Goodyera_repens",24.284345,61.483345
"7624","Goodyera_repens",24.334866,61.331699
"7646","Goodyera_repens",23.304696,61.190766
"7681","Goodyera_repens",29.97303,62.860836
"7686","Goodyera_repens",24.410238,61.324178
"7730","Goodyera_repens",24.712342,64.560947
"7739","Goodyera_repens",25.621954,60.525082
"7762","Goodyera_repens",23.629937,64.198938
"7772","Goodyera_repens",25.095382,60.186431
"7790","Goodyera_repens",24.466199,61.325233
"7797","Goodyera_repens",25.622201,60.946957
"7807","Goodyera_repens",27.555512,60.710542
"7816","Goodyera_repens",25.841281,61.011847
"7823","Goodyera_repens",23.658304,61.190978
"7833","Goodyera_repens",24.558082,61.344874
"7836","Goodyera_repens",28.583659,62.237156
"7879","Goodyera_repens",25.325278,66.121213
"7901","Goodyera_repens",22.884944,63.802453
"7902","Goodyera_repens",25.735451,61.809665
"8021","Goodyera_repens",29.346408,61.65181
"8086","Goodyera_repens",24.050216,60.580419
"8105","Goodyera_repens",24.370677,61.350354
"8118","Goodyera_repens",28.914968,66.76433
"8172","Goodyera_repens",24.63411,61.328264
"8205","Goodyera_repens",24.152145,64.129273
"8217","Goodyera_repens",27.190989,67.008968
"8311","Goodyera_repens",24.744587,60.306629
"8406","Goodyera_repens",26.588158,63.277369
"8432","Goodyera_repens",27.437085,61.428928
"8437","Goodyera_repens",24.552478,61.416599
"8438","Goodyera_repens",24.010466,60.615459
"8440","Goodyera_repens",24.054297,60.535603
"8502","Goodyera_repens",25.759865,63.541737
"8520","Goodyera_repens",25.823128,61.002714
"8557","Goodyera_repens",29.561705,63.102317
"8649","Goodyera_repens",24.987362,60.697921
"8734","Goodyera_repens",28.328166,62.114199
"8755","Goodyera_repens",24.914636,61.323883
"8763","Goodyera_repens",24.358809,61.269314
"8791","Goodyera_repens",23.65083,60.382357
"8792","Goodyera_repens",23.943462,60.551074
"8817","Goodyera_repens",27.225965,60.729451
"8873","Goodyera_repens",27.812808,60.745131
"8881","Goodyera_repens",24.656788,61.274789
"8885","Goodyera_repens",25.620258,60.991816
"8926","Goodyera_repens",24.679923,61.327707
"8959","Goodyera_repens",26.6555,60.940416
"8979","Goodyera_repens",25.620648,60.982844
"9111","Goodyera_repens",24.541525,61.31764
"9145","Goodyera_repens",23.878445,60.468732
"9148","Goodyera_repens",25.96452,61.766712
"9154","Goodyera_repens",24.689096,60.323633
"9224","Goodyera_repens",24.555983,61.371771
"9245","Goodyera_repens",23.589115,63.524465
"9332","Goodyera_repens",27.694971,61.230424
"9446","Goodyera_repens",24.634786,61.319297
"9458","Goodyera_repens",24.423199,60.938329
"9504","Goodyera_repens",24.208273,61.284256
"9557","Goodyera_repens",27.537197,60.710617
"9569","Goodyera_repens",21.569956,60.664392
"9573","Goodyera_repens",28.578505,62.138493
"9650","Goodyera_repens",23.238731,63.740254
"9666","Goodyera_repens",24.358575,61.493783
"9752","Goodyera_repens",25.181479,60.259462
"9805","Goodyera_repens",28.977529,62.375711
"9806","Goodyera_repens",26.402027,61.670608
"9833","Goodyera_repens",23.937524,60.613808
"9869","Goodyera_repens",26.638109,64.057976
"9888","Goodyera_repens",26.344628,61.70624
"9916","Goodyera_repens",26.209331,61.822184
"9992","Goodyera_repens",26.194589,61.66057
"10079","Goodyera_repens",27.908933,61.246902
"10082","Goodyera_repens",24.083928,62.017986
"10131","Goodyera_repens",23.351135,61.111172
"10145","Goodyera_repens",24.852517,61.412688
"10146","Goodyera_repens",24.877924,61.314338
"10375","Goodyera_repens",24.50281,60.309038
"10434","Goodyera_repens",25.162923,60.268184
