"","species","lon","lat"
"12959","Gratiola_officinalis",16.903056,48.710556
"12960","Gratiola_officinalis",17.008917,48.02475
"19414","Gratiola_officinalis",28.258267,52.1051
"24751","Gratiola_officinalis",21.47944,40.60722
"26483","Gratiola_officinalis",-2.8212181,41.8688574
"36038","Gratiola_officinalis",17.55611,45.98528
"36272","Gratiola_officinalis",16.00056,46.72472
"36273","Gratiola_officinalis",16.00139,46.72417
"36318","Gratiola_officinalis",15.76278,46.74667
"42677","Gratiola_officinalis",-1.72,42.83
"55527","Gratiola_officinalis",8.638724,47.247873
"55545","Gratiola_officinalis",8.541157,47.462034
"55585","Gratiola_officinalis",8.562724,47.271128
"57190","Gratiola_officinalis",-7.3107,42.4649
"57685","Gratiola_officinalis",-3.3758,42.0355
"58443","Gratiola_officinalis",-1.72,42.84
"58532","Gratiola_officinalis",2.94,42.36
"60945","Gratiola_officinalis",12.79,48.72
"70740","Gratiola_officinalis",-4.9197,37.9483
"78238","Gratiola_officinalis",41.522222,55.708333
"78325","Gratiola_officinalis",42.56861,54.684043
"79749","Gratiola_officinalis",13.326667,48.199722
"86095","Gratiola_officinalis",21.15,39.8
"86493","Gratiola_officinalis",-1.22,43.63
"87466","Gratiola_officinalis",-1.72,42.84
"88879","Gratiola_officinalis",24,41.57
"94371","Gratiola_officinalis",16.078343,46.699679
"94380","Gratiola_officinalis",14.578589,46.199674
"134922","Gratiola_officinalis",5.97985,51.976617
"135099","Gratiola_officinalis",4.59988,48.4625
"140267","Gratiola_officinalis",9.71,47.52
"143913","Gratiola_officinalis",6.28111,46.29517
"146813","Gratiola_officinalis",16.51,47.15
"147167","Gratiola_officinalis",16.95,48.22
"148988","Gratiola_officinalis",23.45,48.08333
"149099","Gratiola_officinalis",8.816112,41.92778
"154206","Gratiola_officinalis",33.3889,52.2614
"155934","Gratiola_officinalis",-6.44,42.63
"155935","Gratiola_officinalis",-1.72,42.84
"156294","Gratiola_officinalis",-4.6,39.07
"160303","Gratiola_officinalis",11.786434,51.936038
"163663","Gratiola_officinalis",2.94,42.41
"173013","Gratiola_officinalis",27.06445,55.87555
"173087","Gratiola_officinalis",26.93935,55.87555
"173105","Gratiola_officinalis",27.18955,55.87555
"173448","Gratiola_officinalis",27.31465,55.87555
"179690","Gratiola_officinalis",21.72611,39.30861
"184093","Gratiola_officinalis",33.27567,47.09874
"184095","Gratiola_officinalis",32.81127,46.41703
"184097","Gratiola_officinalis",32.01131,46.45707
"200439","Gratiola_officinalis",20.73278,41.66306
"200990","Gratiola_officinalis",16.87,48.78472
"201048","Gratiola_officinalis",21.93167,48.49889
"201802","Gratiola_officinalis",16.79361,48.74861
"202140","Gratiola_officinalis",21.87139,48.42222
"202230","Gratiola_officinalis",16.81083,48.75861
"202274","Gratiola_officinalis",16.86333,48.38889
"202737","Gratiola_officinalis",14.36111,45.76556
"202793","Gratiola_officinalis",16.78306,48.83194
"203241","Gratiola_officinalis",21.80694,48.40083
"206172","Gratiola_officinalis",40.233333,51.15
"226965","Gratiola_officinalis",11.244596,43.099825
"227053","Gratiola_officinalis",11.222171,43.154956
"227098","Gratiola_officinalis",10.340128,43.703614
"227108","Gratiola_officinalis",11.393453,42.488764
"227125","Gratiola_officinalis",11.048502,42.89367
"227178","Gratiola_officinalis",11.831349,43.487699
"227239","Gratiola_officinalis",11.632204,43.558547
"227258","Gratiola_officinalis",11.076548,43.91797
"227259","Gratiola_officinalis",11.175036,42.943325
"227350","Gratiola_officinalis",10.650018,44.121343
"227387","Gratiola_officinalis",10.340057,43.704036
"227393","Gratiola_officinalis",10.340115,43.703657
"227414","Gratiola_officinalis",10.34106,43.73306
"227445","Gratiola_officinalis",11.482653,42.514007
"227466","Gratiola_officinalis",11.79679,43.501732
"227543","Gratiola_officinalis",11.799249,43.508189
"227698","Gratiola_officinalis",11.363028,42.462611
"227758","Gratiola_officinalis",11.799923,43.502078
"227834","Gratiola_officinalis",11.786804,43.500119
"227979","Gratiola_officinalis",11.35811,42.4247
"228057","Gratiola_officinalis",11.793315,43.506292
"228130","Gratiola_officinalis",11.893947,43.72551
"228346","Gratiola_officinalis",11.634822,43.560919
"228422","Gratiola_officinalis",11.820868,43.477105
"228594","Gratiola_officinalis",10.94418,43.86313
"228871","Gratiola_officinalis",11.018729,43.854454
"228935","Gratiola_officinalis",11.809958,43.261789
"229010","Gratiola_officinalis",11.736244,43.501921
"229139","Gratiola_officinalis",10.304957,43.775442
"229140","Gratiola_officinalis",10.296127,43.782919
"229209","Gratiola_officinalis",11.840634,43.262021
"229428","Gratiola_officinalis",10.297366,43.696056
"229749","Gratiola_officinalis",11.866642,43.278029
"229817","Gratiola_officinalis",11.187813,42.923636
"230022","Gratiola_officinalis",11.761717,43.499136
"230097","Gratiola_officinalis",11.842959,43.225582
"230201","Gratiola_officinalis",10.270512,43.794261
