"","species","lon","lat"
"13334","Hedychium_coronarium",-90.3,19.6
"13391","Hedychium_coronarium",-97.89694,20.24083
"13753","Hedychium_coronarium",-93.54361,16.29583
"13781","Hedychium_coronarium",-97.91556,20.18667
"19420","Hedychium_coronarium",-57.533333,-25.75
"19424","Hedychium_coronarium",-75.38333,-10.66666
"19487","Hedychium_coronarium",-77.816667,-0.95
"19680","Hedychium_coronarium",-83.76666,9.29444
"19859","Hedychium_coronarium",-83.02,9.67
"20970","Hedychium_coronarium",121.6,14.666667
"27427","Hedychium_coronarium",-57.46666,-25.63333
"27468","Hedychium_coronarium",-83.786111,9.772222
"27471","Hedychium_coronarium",-93.960833,16.375
"27594","Hedychium_coronarium",-83.5,10.53
"34648","Hedychium_coronarium",-75.1,6.05
"34834","Hedychium_coronarium",-57.466667,-25.333333
"35297","Hedychium_coronarium",-76.080833,6.598889
"35480","Hedychium_coronarium",-75.33333,-10.98333
"35497","Hedychium_coronarium",-79.118611,-4.951389
"36962","Hedychium_coronarium",-72.983333,7.133333
"37011","Hedychium_coronarium",-75.5775,4.728056
"37106","Hedychium_coronarium",-75.482056,5.305167
"37196","Hedychium_coronarium",-40.481944,-20.3025
"37417","Hedychium_coronarium",-77.933333,-1.5
"38780","Hedychium_coronarium",120.948333,24.273056
"38999","Hedychium_coronarium",-53.363056,-26.200278
"39002","Hedychium_coronarium",-53.250278,-25.764722
"39067","Hedychium_coronarium",-64.51666,-23.1
"39190","Hedychium_coronarium",-57.41666,-25.28333
"39191","Hedychium_coronarium",-84.82,10.27
"39196","Hedychium_coronarium",-67.536389,-14.438889
"39288","Hedychium_coronarium",-77.711667,-1.045833
"39745","Hedychium_coronarium",-84.2,10.8
"39881","Hedychium_coronarium",-77.901389,-2.710833
"44662","Hedychium_coronarium",-64.05,-17.38
"44714","Hedychium_coronarium",-75.605472,4.708225
"44908","Hedychium_coronarium",-50.074444,-29.205
"49858","Hedychium_coronarium",-77.933333,-1.5
"49939","Hedychium_coronarium",-84.003611,10.431389
"50290","Hedychium_coronarium",-89.55,13.683333
"50404","Hedychium_coronarium",-79.21666,-0.31666
"54779","Hedychium_coronarium",-80.863889,32.233056
"54780","Hedychium_coronarium",-82.39075,34.86275
"56666","Hedychium_coronarium",-79,-4.033
"61045","Hedychium_coronarium",-84.050833,10.400833
"61098","Hedychium_coronarium",-83.783288,9.775679
"61128","Hedychium_coronarium",-83.782833,9.755611
"61133","Hedychium_coronarium",-83.993368,9.781855
"61150","Hedychium_coronarium",-83.025,9.675
"61333","Hedychium_coronarium",-83.827778,9.281944
"61405","Hedychium_coronarium",-83.953333,9.804722
"61412","Hedychium_coronarium",-83.507222,10.533889
"61460","Hedychium_coronarium",-83.694444,9.972222
"61856","Hedychium_coronarium",-66.5225,18.16
"62138","Hedychium_coronarium",-66.571583,18.186617
"62227","Hedychium_coronarium",-66.609317,18.1693
"62306","Hedychium_coronarium",-66.6174,18.209067
"62535","Hedychium_coronarium",-48.413889,-24.267778
"62562","Hedychium_coronarium",-46.499722,-24.005278
"62569","Hedychium_coronarium",-48.400278,-24.639444
"64858","Hedychium_coronarium",-53.716792,-27.676039
"64878","Hedychium_coronarium",-53.683333,-29.566667
"65035","Hedychium_coronarium",-39.166667,-14.166667
"65161","Hedychium_coronarium",-41.816667,-13.816667
"65390","Hedychium_coronarium",-39.159444,-13.155556
"65625","Hedychium_coronarium",-43.82,-21.816667
"65646","Hedychium_coronarium",-41.686944,-13.695833
"67875","Hedychium_coronarium",-78.316667,-4.916667
"67897","Hedychium_coronarium",-78.716667,-5.35
"68563","Hedychium_coronarium",-95.525,18.708333
"68629","Hedychium_coronarium",-95.016667,18.366667
"69640","Hedychium_coronarium",-49.210278,-28.651389
"69641","Hedychium_coronarium",-49.298889,-28.285278
"69642","Hedychium_coronarium",-52.445,-24.273056
"69643","Hedychium_coronarium",-49.950556,-29.197222
"69721","Hedychium_coronarium",-75.651806,1.606389
"70338","Hedychium_coronarium",-51.114444,-29.376389
"70479","Hedychium_coronarium",-78.55,1
"71911","Hedychium_coronarium",-59.22425,-9.459778
"72016","Hedychium_coronarium",-51.021389,-30.0725
"74624","Hedychium_coronarium",83.26,43.43
"77319","Hedychium_coronarium",-77.714209,-1.043822
"77421","Hedychium_coronarium",-51.33391,-29.221081
"80267","Hedychium_coronarium",-83.21667,8.683333
"83828","Hedychium_coronarium",-103.712408,19.4555
"84079","Hedychium_coronarium",-103.716667,19.45
"84100","Hedychium_coronarium",-95.383333,16.8
"84355","Hedychium_coronarium",103.297362,26.41795
"89065","Hedychium_coronarium",-39.006111,-13.055278
"94279","Hedychium_coronarium",-85.467,10.927
"94575","Hedychium_coronarium",-97.508333,20.061667
"96233","Hedychium_coronarium",114.381419,30.561162
"133869","Hedychium_coronarium",-82.41076,29.61381
"133880","Hedychium_coronarium",-82.41092,29.61319
"133915","Hedychium_coronarium",-77.36,-1.04
"134139","Hedychium_coronarium",-82.41076,29.6138
"134854","Hedychium_coronarium",-68.571389,-14.789444
"134957","Hedychium_coronarium",-73.209167,4.848611
"134979","Hedychium_coronarium",-73.325028,6.081972
"135022","Hedychium_coronarium",-73.281667,4.891667
"135041","Hedychium_coronarium",-75.675278,4.654444
"136306","Hedychium_coronarium",-77.711667,-1.045833
"136359","Hedychium_coronarium",-57.46666,-25.66666
"136360","Hedychium_coronarium",-77.6,-1.06666
"136436","Hedychium_coronarium",-77.816667,-0.95
"136517","Hedychium_coronarium",-75.666389,6.294722
"136651","Hedychium_coronarium",-75.020833,7.348333
"136910","Hedychium_coronarium",-58.6,6.5
"137004","Hedychium_coronarium",-97.5557,19.955
"137339","Hedychium_coronarium",-41.763333,-22.285556
"137352","Hedychium_coronarium",-39.033333,-13.483333
"137353","Hedychium_coronarium",-39.1,-13.583333
"138954","Hedychium_coronarium",-43.486406,-21.0725
"139807","Hedychium_coronarium",124.436667,0.860278
"139821","Hedychium_coronarium",115.433333,-8.35
"139906","Hedychium_coronarium",88.6,27.216667
"140240","Hedychium_coronarium",-110.933326,32.553801
"143351","Hedychium_coronarium",-84.39,9.7
"143535","Hedychium_coronarium",-79.118611,-4.951389
"143569","Hedychium_coronarium",-75.56666,-10.16666
"149184","Hedychium_coronarium",-73.037589,6.915217
"149192","Hedychium_coronarium",-73.070969,7.068
"152152","Hedychium_coronarium",-40.481944,-20.3025
"152163","Hedychium_coronarium",-40.553056,-19.9075
"152191","Hedychium_coronarium",-41.545833,-20.940556
"153648","Hedychium_coronarium",-85.470001,10.93
"157891","Hedychium_coronarium",152.6611,-30.5731
"158431","Hedychium_coronarium",160.827,-8.69717
"161181","Hedychium_coronarium",-83.958333,9.811111
"161368","Hedychium_coronarium",-105.065,21.43222
"161410","Hedychium_coronarium",-84.27,9.71
"161477","Hedychium_coronarium",-85.55,13.53333
"161539","Hedychium_coronarium",-85.983056,11.840833
"162072","Hedychium_coronarium",-45.665,-23.774444
"162287","Hedychium_coronarium",-48.2,-15.666667
"163045","Hedychium_coronarium",-68.571389,-14.789444
"163054","Hedychium_coronarium",-84.467117,12.003967
"163161","Hedychium_coronarium",-75.71666,5.65
"163282","Hedychium_coronarium",-78.646667,-1.353889
"163389","Hedychium_coronarium",-84.05083,10.40083
"164921","Hedychium_coronarium",-47.89,-24.956944
"164947","Hedychium_coronarium",-47.916667,-24.883333
"164954","Hedychium_coronarium",-45.665083,-23.774361
"164983","Hedychium_coronarium",-47.5,-22.75
"165017","Hedychium_coronarium",-47.559167,-24.166111
"165061","Hedychium_coronarium",-48.413889,-24.267778
"165075","Hedychium_coronarium",-45.137389,-23.470444
"165080","Hedychium_coronarium",-57.666667,-27.75
"165088","Hedychium_coronarium",-44.852789,-23.3525
"165750","Hedychium_coronarium",-42.759444,-20.024444
