"","species","lon","lat"
"13385","Heteranthera_rotundifolia",-104.75,21.417
"13746","Heteranthera_rotundifolia",-100.93333,21.14111
"13748","Heteranthera_rotundifolia",-101.253,19.52214
"13808","Heteranthera_rotundifolia",-101.66667,20.66778
"19445","Heteranthera_rotundifolia",-104.730833,21.383889
"19519","Heteranthera_rotundifolia",-90.32972,36.58166
"27744","Heteranthera_rotundifolia",-103.253889,20.523333
"35421","Heteranthera_rotundifolia",-90.43916,36.56805
"39116","Heteranthera_rotundifolia",-90.49833,36.50777
"39146","Heteranthera_rotundifolia",-91.46944,36.82166
"39276","Heteranthera_rotundifolia",-91.181944,38.632778
"50254","Heteranthera_rotundifolia",-61.84805,-16.52166
"64918","Heteranthera_rotundifolia",-41.216667,-9.216667
"64937","Heteranthera_rotundifolia",-40.558333,-9.562222
"64955","Heteranthera_rotundifolia",-42.636667,-14.634167
"64970","Heteranthera_rotundifolia",-42.933333,-6.939444
"64974","Heteranthera_rotundifolia",-37.783333,-8.767778
"65009","Heteranthera_rotundifolia",-41.766389,-10.755556
"65011","Heteranthera_rotundifolia",-40.038889,-12.0425
"65052","Heteranthera_rotundifolia",-40.129444,-14.129444
"65073","Heteranthera_rotundifolia",-39.188611,-9.191667
"65093","Heteranthera_rotundifolia",-40.821111,-9.8325
"65098","Heteranthera_rotundifolia",-37.228611,-7.226944
"65114","Heteranthera_rotundifolia",-42.566389,-9.559444
"65118","Heteranthera_rotundifolia",-37.561389,-9.565833
"65126","Heteranthera_rotundifolia",-40.2275,-10.225556
"65190","Heteranthera_rotundifolia",-42.2,-10.2
"65199","Heteranthera_rotundifolia",-38.376944,-8.378333
"65238","Heteranthera_rotundifolia",-39.886944,-12.890833
"65239","Heteranthera_rotundifolia",-39.670833,-8.675278
"65243","Heteranthera_rotundifolia",-39.4675,-8.4825
"65272","Heteranthera_rotundifolia",-37.730556,-8.724722
"65288","Heteranthera_rotundifolia",-42.878889,-9.867222
"65302","Heteranthera_rotundifolia",-37.713889,-8.706944
"65304","Heteranthera_rotundifolia",-44.331667,-10.322778
"65324","Heteranthera_rotundifolia",-42.720556,-11.723333
"65380","Heteranthera_rotundifolia",-41.583056,-13.574444
"65405","Heteranthera_rotundifolia",-39.596667,-8.594167
"65430","Heteranthera_rotundifolia",-40.821111,-9.832222
"65439","Heteranthera_rotundifolia",-37.080556,-7.078889
"65444","Heteranthera_rotundifolia",-39.054444,-11.054167
"65483","Heteranthera_rotundifolia",-41.95,-13.95
"65507","Heteranthera_rotundifolia",-37.601944,-8.613889
"65520","Heteranthera_rotundifolia",-38.873611,-11.881111
"65524","Heteranthera_rotundifolia",-39.816667,-12.816667
"65557","Heteranthera_rotundifolia",-39.021111,-10.026667
"65579","Heteranthera_rotundifolia",-39.439444,-12.448889
"65588","Heteranthera_rotundifolia",-39.856667,-12.855
"65635","Heteranthera_rotundifolia",-40.428611,-9.423611
"67368","Heteranthera_rotundifolia",-37.169444,-6.683333
"67455","Heteranthera_rotundifolia",-35.976667,-8.262222
"67466","Heteranthera_rotundifolia",-36.255556,-6.179167
"67491","Heteranthera_rotundifolia",-37.25,-6.580556
"92739","Heteranthera_rotundifolia",-99.705049,41.144747
"93101","Heteranthera_rotundifolia",-97.996784,41.689563
"137388","Heteranthera_rotundifolia",-46.248056,-14.811667
"137478","Heteranthera_rotundifolia",-42.720556,-11.106667
"137479","Heteranthera_rotundifolia",-39.886944,-12.886111
"137480","Heteranthera_rotundifolia",-40.821111,-9.482222
"137481","Heteranthera_rotundifolia",-42.636667,-14.0675
"137482","Heteranthera_rotundifolia",-42.566389,-9.892778
"137724","Heteranthera_rotundifolia",-38.214444,-9.406111
"137812","Heteranthera_rotundifolia",-37.684167,-9.805278
"137898","Heteranthera_rotundifolia",-38.729167,-8.120556
"137906","Heteranthera_rotundifolia",-37.42,-10.218333
"138050","Heteranthera_rotundifolia",-37.206389,-11.014722
"141183","Heteranthera_rotundifolia",-100.3715,20.2345
"141184","Heteranthera_rotundifolia",-100.269667,20.401667
"141203","Heteranthera_rotundifolia",-100.268333,20.391667
"141208","Heteranthera_rotundifolia",-100.115278,20.324444
"141251","Heteranthera_rotundifolia",-100.266667,20.388333
"141260","Heteranthera_rotundifolia",-99.862222,20.086944
"141355","Heteranthera_rotundifolia",-100.266667,20.388611
"141458","Heteranthera_rotundifolia",-100.188333,20.88
