"","species","lon","lat"
"12295","Hibiscus_trionum",3.803888,51.001666
"12681","Hibiscus_trionum",16.90839,48.249271
"13128","Hibiscus_trionum",147.75119,-31.765109
"13140","Hibiscus_trionum",150.214722,-35.7625
"20095","Hibiscus_trionum",106.15,33.32
"20322","Hibiscus_trionum",-88.309316,42.421762
"20340","Hibiscus_trionum",-88.311072,42.421535
"23633","Hibiscus_trionum",20.77889,39.72972
"23634","Hibiscus_trionum",20.85444,39.69667
"23635","Hibiscus_trionum",21.41083,40.0625
"23636","Hibiscus_trionum",21.47972,40.1325
"23637","Hibiscus_trionum",21.38333,39.98694
"23639","Hibiscus_trionum",21.46472,40.13944
"23640","Hibiscus_trionum",21.48778,40.15556
"23643","Hibiscus_trionum",21.2475,39.94861
"23649","Hibiscus_trionum",20.72667,39.74028
"23656","Hibiscus_trionum",21.99722,40.8025
"23657","Hibiscus_trionum",21.565,40.82111
"23661","Hibiscus_trionum",21.91278,40.8325
"23662","Hibiscus_trionum",21.59528,40.20667
"25981","Hibiscus_trionum",15.03572,58.51655
"27415","Hibiscus_trionum",-91.72166,36.7025
"27531","Hibiscus_trionum",-91.864639,39.72175
"27608","Hibiscus_trionum",-92.22555,39.93194
"35257","Hibiscus_trionum",-90.41958,38.90075
"40066","Hibiscus_trionum",-77.728267,39.292417
"43032","Hibiscus_trionum",-108.00876,38.75995
"43110","Hibiscus_trionum",-104.705165,39.914066
"43531","Hibiscus_trionum",-108.24732,37.39258
"43569","Hibiscus_trionum",-108.25517,37.39099
"43962","Hibiscus_trionum",147.634164,-22.739274
"49614","Hibiscus_trionum",-88.00784,44.48108
"53764","Hibiscus_trionum",-117.5436,33.721483
"53881","Hibiscus_trionum",-121.91571,36.97367
"55189","Hibiscus_trionum",11.53,48.08
"63651","Hibiscus_trionum",150.428974,-31.385046
"63666","Hibiscus_trionum",147.5189,-30.7981
"63769","Hibiscus_trionum",150.8456,-31.0419
"68070","Hibiscus_trionum",27.4233,-28.910033
"68997","Hibiscus_trionum",30.688888,-17.124999
"68998","Hibiscus_trionum",29.920833,-19.995833
"73393","Hibiscus_trionum",150.846404,-31.040493
"73499","Hibiscus_trionum",151.641111,-30.533333
"73756","Hibiscus_trionum",150.648611,-31.511111
"73764","Hibiscus_trionum",149.55,-30.183333
"73841","Hibiscus_trionum",151.525,-30.516667
"74491","Hibiscus_trionum",114.27,33.27
"74577","Hibiscus_trionum",86.03,44.3
"74595","Hibiscus_trionum",111.75,34.77
"74612","Hibiscus_trionum",117,39.13
"74615","Hibiscus_trionum",100.23,25.6
"74632","Hibiscus_trionum",110.13,34.08
"74694","Hibiscus_trionum",122.05,46.08
"78400","Hibiscus_trionum",127.55454,50.279576
"78637","Hibiscus_trionum",81.791944,43.623611
"80436","Hibiscus_trionum",13.413889,48.189167
"81048","Hibiscus_trionum",12.987778,48.226665
"84313","Hibiscus_trionum",103.400348,24.808853
"85207","Hibiscus_trionum",147.543611,-36.014167
"85954","Hibiscus_trionum",-0.03,38.87
"86240","Hibiscus_trionum",-0.07,38.88
"87043","Hibiscus_trionum",-1.24,39.75
"87486","Hibiscus_trionum",-0.06,38.86
"87881","Hibiscus_trionum",46.53,39.06
"88111","Hibiscus_trionum",44.24,40.08
"88363","Hibiscus_trionum",-1.17,39.88
"92410","Hibiscus_trionum",-105.01,39.72
"92488","Hibiscus_trionum",-104.37,40.23
"92547","Hibiscus_trionum",-103.65,40.27
"92802","Hibiscus_trionum",-97.257649,37.61175
"92803","Hibiscus_trionum",-94.978604,38.952604
"92991","Hibiscus_trionum",-96.802222,39.066111
"92997","Hibiscus_trionum",-95.191179,38.808582
"93039","Hibiscus_trionum",-94.238255,43.122394
"93062","Hibiscus_trionum",-98.112981,39.454946
