"","species","lon","lat"
"12871","Hygrophila_polysperma",-80.0271,32.9537
"38230","Hygrophila_polysperma",120.588154,22.593303
"38731","Hygrophila_polysperma",120.585687,22.591888
"63707","Hygrophila_polysperma",153.35909,-28.77702
"101656","Hygrophila_polysperma",-80.02713,32.95373
"102003","Hygrophila_polysperma",-81.45127,28.30359
"102004","Hygrophila_polysperma",-82.76199,29.90606
"102005","Hygrophila_polysperma",-81.38158,28.20695
"102006","Hygrophila_polysperma",-83.64163,30.27336
"102007","Hygrophila_polysperma",-81.39963,28.70121
"102008","Hygrophila_polysperma",-82.34966,27.65788
"102009","Hygrophila_polysperma",-80.07203,26.68128
"102010","Hygrophila_polysperma",-81.81527,28.77754
"102011","Hygrophila_polysperma",-82.31646,28.01026
"102012","Hygrophila_polysperma",-81.31551,28.33004
"102013","Hygrophila_polysperma",-81.34415,28.27034
"102014","Hygrophila_polysperma",-80.10213,26.96627
"102015","Hygrophila_polysperma",-81.84656,27.29793
"102016","Hygrophila_polysperma",-81.14197,27.38394
"102017","Hygrophila_polysperma",-81.38516,28.48187
"102018","Hygrophila_polysperma",-82.48335,27.43196
"102019","Hygrophila_polysperma",-82.1869,28.03282
"102020","Hygrophila_polysperma",-82.36993,28.04586
"102021","Hygrophila_polysperma",-81.84889,28.63336
"102022","Hygrophila_polysperma",-81.28148,28.29759
"102023","Hygrophila_polysperma",-82.98389,29.50617
"102024","Hygrophila_polysperma",-80.07803,26.59683
"102025","Hygrophila_polysperma",-82.575,28.01134
"102026","Hygrophila_polysperma",-82.67242,27.84133
"102027","Hygrophila_polysperma",-80.0763,26.73925
"102028","Hygrophila_polysperma",-82.27757,28.06095
"102029","Hygrophila_polysperma",-81.14108,26.80332
"102288","Hygrophila_polysperma",-80.1827,27.1429
"102519","Hygrophila_polysperma",-82.27292,27.86679
"102520","Hygrophila_polysperma",-81.28271,27.37524
"102521","Hygrophila_polysperma",-81.62203,26.71911
"102522","Hygrophila_polysperma",-82.77911,27.86199
"102523","Hygrophila_polysperma",-80.07372,26.64531
"102524","Hygrophila_polysperma",-81.36817,28.49111
"102525","Hygrophila_polysperma",-83.58795,30.0564
"102526","Hygrophila_polysperma",-82.23749,28.72799
"102527","Hygrophila_polysperma",-81.77329,28.82809
"102528","Hygrophila_polysperma",-81.41009,28.02491
"102529","Hygrophila_polysperma",-81.31209,26.9331
"106345","Hygrophila_polysperma",-82.59135,28.02676
"106346","Hygrophila_polysperma",-81.25713,28.25947
"106347","Hygrophila_polysperma",-81.2438,28.14094
"106348","Hygrophila_polysperma",-82.56017,28.04501
"106349","Hygrophila_polysperma",-81.91678,28.77661
"106350","Hygrophila_polysperma",-82.62013,28.44237
"106351","Hygrophila_polysperma",-81.75594,28.72214
"106352","Hygrophila_polysperma",-81.34907,28.46842
"106353","Hygrophila_polysperma",-80.75497,27.13717
"106354","Hygrophila_polysperma",-82.28677,27.2756
"106355","Hygrophila_polysperma",-80.75458,27.72943
"106356","Hygrophila_polysperma",-81.72709,28.84672
"106755","Hygrophila_polysperma",-82.30458,27.48294
"106756","Hygrophila_polysperma",-81.42976,27.3819
"106757","Hygrophila_polysperma",-82.7439,30.03615
"106758","Hygrophila_polysperma",-81.22291,28.33929
"106759","Hygrophila_polysperma",-82.59444,29.03043
"106760","Hygrophila_polysperma",-80.08022,26.48561
"106761","Hygrophila_polysperma",-81.35598,27.47009
"110257","Hygrophila_polysperma",-82.25668,28.79897
"110628","Hygrophila_polysperma",-94.07509,32.689
"110629","Hygrophila_polysperma",-81.26557,27.90618
"110630","Hygrophila_polysperma",-81.12479,28.67972
"113724","Hygrophila_polysperma",-80.03464,32.96432
"113899","Hygrophila_polysperma",-82.16384,27.91447
"114264","Hygrophila_polysperma",-81.47751,28.74717
"117222","Hygrophila_polysperma",-98.06357,29.67291
"117224","Hygrophila_polysperma",-81.88388,27.01616
"117225","Hygrophila_polysperma",-81.52863,28.47239
"117226","Hygrophila_polysperma",-81.71374,30.25419
"117227","Hygrophila_polysperma",-81.44221,28.73042
"117583","Hygrophila_polysperma",-82.23058,27.46963
"117584","Hygrophila_polysperma",-83.37097,29.6684
"117585","Hygrophila_polysperma",-81.80056,26.95237
"119286","Hygrophila_polysperma",-81.18573,28.24514
"120890","Hygrophila_polysperma",-81.65751,28.75969
"120891","Hygrophila_polysperma",-82.35829,27.31802
"133955","Hygrophila_polysperma",-82.46204,27.57839
"134289","Hygrophila_polysperma",-80.18247,27.142714
