"","species","lon","lat"
"10395","Iberis_umbellata",23.058384,63.870183
"20393","Iberis_umbellata",9.835699,44.059399
"20408","Iberis_umbellata",9.775407,44.076684
"20445","Iberis_umbellata",9.95062,44.134972
"25921","Iberis_umbellata",1.43634,48.7592
"36064","Iberis_umbellata",15.38776,47.08077
"36229","Iberis_umbellata",9.83167,44.05361
"55325","Iberis_umbellata",13.28,48.38
"57560","Iberis_umbellata",0.3552,42.5641
"58837","Iberis_umbellata",17.86207,59.60498
"60743","Iberis_umbellata",10.21,50.07
"62504","Iberis_umbellata",17.86269,59.60789
"68438","Iberis_umbellata",11.89,49.07
"69282","Iberis_umbellata",10.12,48.02
"70964","Iberis_umbellata",14.26009,55.92087
"70975","Iberis_umbellata",13.50626,59.44508
"71227","Iberis_umbellata",173.025846,-41.110914
"74093","Iberis_umbellata",13.07581,56.52028
"79415","Iberis_umbellata",12.895555,48.006668
"79473","Iberis_umbellata",13.245833,48.279446
"79509","Iberis_umbellata",13.23,48.244446
"79889","Iberis_umbellata",14.315278,48.281944
"80089","Iberis_umbellata",13.170278,48.029167
"80236","Iberis_umbellata",14.35,48.45639
"80257","Iberis_umbellata",13.413889,48.189167
"80724","Iberis_umbellata",13.276389,48.378056
"80810","Iberis_umbellata",12.999722,48.20639
"81002","Iberis_umbellata",13.05,48.163055
"81175","Iberis_umbellata",14.424723,47.961945
"81359","Iberis_umbellata",13.367222,48.119446
"82001","Iberis_umbellata",8.663406,56.756147
"82197","Iberis_umbellata",8.756084,55.058187
"82364","Iberis_umbellata",10.228587,57.604035
"82365","Iberis_umbellata",12.208522,55.889471
"82528","Iberis_umbellata",9.848757,56.376368
"82877","Iberis_umbellata",9.022878,56.208565
"82878","Iberis_umbellata",10.312845,56.6868
"82879","Iberis_umbellata",12.394827,55.255347
"83049","Iberis_umbellata",9.380505,54.869122
"83230","Iberis_umbellata",9.334024,56.765139
"83231","Iberis_umbellata",10.3297,56.237363
"83571","Iberis_umbellata",9.368413,56.935733
"83572","Iberis_umbellata",10.305089,56.462257
"89790","Iberis_umbellata",-116.6655,33.0984
"91225","Iberis_umbellata",-116.66466,33.09845
"91695","Iberis_umbellata",-116.6633,33.099
"91842","Iberis_umbellata",-116.6662,33.098
"93933","Iberis_umbellata",3.120555,50.963611
"95727","Iberis_umbellata",15.61099,56.23987
"95967","Iberis_umbellata",9.524532,50.687853
"97920","Iberis_umbellata",24.769607,64.281383
"98316","Iberis_umbellata",24.074154,61.262617
"98890","Iberis_umbellata",22.745584,63.682042
"132199","Iberis_umbellata",25.667718,63.361459
"135289","Iberis_umbellata",13.218611,48.005554
"135489","Iberis_umbellata",13.360833,48.209167
"135856","Iberis_umbellata",13.29,48.383335
"135960","Iberis_umbellata",13.047222,48.16528
"135978","Iberis_umbellata",12.845,48.06139
"136875","Iberis_umbellata",16.54196,59.34221
"138325","Iberis_umbellata",7.8085,58.6717
"140970","Iberis_umbellata",-83.8625,42.331
"144222","Iberis_umbellata",12.96,47.93
"144262","Iberis_umbellata",13.02,47.77
"144469","Iberis_umbellata",13.01,47.8
"145217","Iberis_umbellata",13.21,47.44
"145247","Iberis_umbellata",13.14,47.66
"145251","Iberis_umbellata",13.13,47.68
"145282","Iberis_umbellata",13.1,47.98
"145292","Iberis_umbellata",13.02,47.83
"145361","Iberis_umbellata",13.03,47.82
"145364","Iberis_umbellata",12.96,47.73
"145433","Iberis_umbellata",13.03,47.83
"145436","Iberis_umbellata",13.01,47.82
"145624","Iberis_umbellata",13.04,47.78
"145653","Iberis_umbellata",13.04,47.77
"145791","Iberis_umbellata",13.08,47.85
"145880","Iberis_umbellata",13.05,47.77
"145918","Iberis_umbellata",13.12,47.87
"146192","Iberis_umbellata",13.07,47.82
