"","species","lon","lat"
"19574","Jasminum_multiflorum",-67.08333,18.35
"19901","Jasminum_multiflorum",127.982389,0.482639
"27617","Jasminum_multiflorum",-82.5642,27.3917
"34785","Jasminum_multiflorum",105.89858,14.044507
"35243","Jasminum_multiflorum",127.983111,0.484806
"36957","Jasminum_multiflorum",-73.169667,6.476556
"37539","Jasminum_multiflorum",127.982306,0.481472
"49954","Jasminum_multiflorum",-89.356111,13.712778
"62085","Jasminum_multiflorum",-66.726167,18.107
"62108","Jasminum_multiflorum",-66.2632,18.126533
"62286","Jasminum_multiflorum",-66.713967,18.2052
"72867","Jasminum_multiflorum",31.115278,-25.655278
"95376","Jasminum_multiflorum",121.3,25
"134297","Jasminum_multiflorum",-82.564167,27.391667
"134904","Jasminum_multiflorum",-89.2,14.291667
"136411","Jasminum_multiflorum",127.982389,0.482639
"136623","Jasminum_multiflorum",-73.169722,6.476667
"137986","Jasminum_multiflorum",-37.056389,-10.883611
"161154","Jasminum_multiflorum",-66.18333,18.05
"161176","Jasminum_multiflorum",-86.680083,12.591722
"247424","Jasminum_multiflorum",-97.70992,19.92159
"257096","Jasminum_multiflorum",127.982306,0.481472
"262013","Jasminum_multiflorum",-69.9583,18.57
"262263","Jasminum_multiflorum",153.039111,-27.532099
"262861","Jasminum_multiflorum",145.305516,-16.047451
"268085","Jasminum_multiflorum",152.45942,-28.123408
"283558","Jasminum_multiflorum",3.442503,7.200674
"283676","Jasminum_multiflorum",3.31154,6.728195
"283721","Jasminum_multiflorum",3.438929,6.978858
"284171","Jasminum_multiflorum",-98.9362,18.54297
"295709","Jasminum_multiflorum",-84.45,30.65
"300311","Jasminum_multiflorum",-97.477554,27.770095
"350858","Jasminum_multiflorum",-89.356111,13.712778
"351783","Jasminum_multiflorum",127.982306,0.481472
"352064","Jasminum_multiflorum",127.983111,0.484806
"383702","Jasminum_multiflorum",29.866667,-24.266667
"419764","Jasminum_multiflorum",-89.40273,14.36167
"419826","Jasminum_multiflorum",-89.16585,14.30148
"419886","Jasminum_multiflorum",-89.35634,13.71291
"423661","Jasminum_multiflorum",85.31667,27.7
"425766","Jasminum_multiflorum",-96.761667,19.331667
"425801","Jasminum_multiflorum",-96.854167,19.927222
"433015","Jasminum_multiflorum",-86.680083,12.591722
"434826","Jasminum_multiflorum",-66.7,18.341667
"436601","Jasminum_multiflorum",127.983111,0.484806
"450889","Jasminum_multiflorum",-83.645833,9.340278
"460023","Jasminum_multiflorum",105.593167,20.35
"468592","Jasminum_multiflorum",-57.560472,-16.570333
"468857","Jasminum_multiflorum",127.982389,0.482639
"472719","Jasminum_multiflorum",-96.858333,19.925
"481119","Jasminum_multiflorum",-89.35634,13.71291
"483978","Jasminum_multiflorum",31.625,-28.875
