"","species","lon","lat"
"55187","Leucanthemella_serotina",10.22,50.26
"60719","Leucanthemella_serotina",10.71,47.72
"79702","Leucanthemella_serotina",13.396944,48.25611
"82220","Leucanthemella_serotina",11.668029,55.523606
"85742","Leucanthemella_serotina",0.07,38.77
"140271","Leucanthemella_serotina",10.29,47.42
"149686","Leucanthemella_serotina",13.70174,55.86228
"150741","Leucanthemella_serotina",13.70252,55.86275
"150767","Leucanthemella_serotina",15.60303,56.24276
"151832","Leucanthemella_serotina",15.59808,56.23938
"166735","Leucanthemella_serotina",9.62,47.57
"197992","Leucanthemella_serotina",-94.63534,47.171691
"200688","Leucanthemella_serotina",22.22639,48.45556
"202814","Leucanthemella_serotina",21.92561,48.56353
"258118","Leucanthemella_serotina",15.60303,56.24276
"258238","Leucanthemella_serotina",14.9132,56.95053
"295089","Leucanthemella_serotina",12.61089,57.00496
"367032","Leucanthemella_serotina",16.17503,56.69838
"432010","Leucanthemella_serotina",13.70252,55.86275
"432220","Leucanthemella_serotina",15.60283,56.24251
"473185","Leucanthemella_serotina",-92.079444,46.836667
"473440","Leucanthemella_serotina",-92.14167,46.75
"473684","Leucanthemella_serotina",8.58652,46.87787
"485947","Leucanthemella_serotina",16.17464,56.69856
