"","species","lon","lat"
"1345","Limosella_aquatica",24.469837,64.700587
"1912","Limosella_aquatica",25.41308,65.012903
"2068","Limosella_aquatica",24.448895,64.700228
"2289","Limosella_aquatica",25.397727,65.0567
"2660","Limosella_aquatica",24.359029,64.546065
"2661","Limosella_aquatica",24.319275,61.295475
"3346","Limosella_aquatica",25.453516,65.010636
"3694","Limosella_aquatica",24.371215,64.63604
"5532","Limosella_aquatica",21.282964,62.301313
"6048","Limosella_aquatica",24.359896,64.537105
"6050","Limosella_aquatica",27.106157,60.51869
"6739","Limosella_aquatica",24.409582,64.672619
"6838","Limosella_aquatica",24.04052,64.40535
"7085","Limosella_aquatica",25.434491,65.009541
"7141","Limosella_aquatica",23.693721,64.18244
"7439","Limosella_aquatica",25.446113,65.028502
"8381","Limosella_aquatica",27.461936,66.784233
"8488","Limosella_aquatica",25.353855,65.04456
"8509","Limosella_aquatica",23.908673,64.285915
"8523","Limosella_aquatica",24.798335,61.423941
"9136","Limosella_aquatica",24.511724,64.701298
"9278","Limosella_aquatica",25.952825,62.663978
"9529","Limosella_aquatica",25.344642,65.056122
"10189","Limosella_aquatica",25.322988,65.484262
"10213","Limosella_aquatica",24.430502,64.672984
"10908","Limosella_aquatica",25.464365,64.96948
"10911","Limosella_aquatica",25.390328,65.073666
"10942","Limosella_aquatica",23.439453,64.077659
"11216","Limosella_aquatica",24.297453,64.535972
"11233","Limosella_aquatica",25.462196,64.970355
"11234","Limosella_aquatica",25.459462,65.017875
"12577","Limosella_aquatica",18.65,49.916667
"12861","Limosella_aquatica",16.650278,48.116306
"13090","Limosella_aquatica",19.191667,49.694444
"14351","Limosella_aquatica",24.339081,64.53673
"14562","Limosella_aquatica",22.266996,63.486832
"14589","Limosella_aquatica",21.295857,62.299594
"14699","Limosella_aquatica",25.413816,65.036237
"14769","Limosella_aquatica",25.042189,64.906664
"15026","Limosella_aquatica",25.485834,64.964317
"15027","Limosella_aquatica",25.46643,64.970399
"15029","Limosella_aquatica",25.423944,65.008533
"15030","Limosella_aquatica",25.44229,65.021285
"15340","Limosella_aquatica",24.469,64.709548
"16032","Limosella_aquatica",25.457395,64.980174
"16407","Limosella_aquatica",25.485784,64.965214
"16409","Limosella_aquatica",25.440431,65.01678
"16897","Limosella_aquatica",24.5109,64.710259
"17059","Limosella_aquatica",25.426012,65.009452
"17068","Limosella_aquatica",24.181601,61.373502
"17388","Limosella_aquatica",24.376404,64.582279
"17399","Limosella_aquatica",24.298339,64.527013
"17426","Limosella_aquatica",25.410908,65.013778
"17436","Limosella_aquatica",24.339954,64.52777
"17532","Limosella_aquatica",23.770655,64.229058
"18189","Limosella_aquatica",24.257627,64.517283
"18344","Limosella_aquatica",24.378991,64.555397
"18396","Limosella_aquatica",21.483624,61.272612
"18445","Limosella_aquatica",24.49078,64.700944
"18493","Limosella_aquatica",25.41064,65.01826
"18541","Limosella_aquatica",23.791229,64.229512
"18869","Limosella_aquatica",23.981698,60.336388
"19146","Limosella_aquatica",25.440169,65.021263
"20282","Limosella_aquatica",11.077889,59.312143
"20935","Limosella_aquatica",5.379923,51.970913
"22844","Limosella_aquatica",12.29139,51.75056
"26475","Limosella_aquatica",-5.7812932,42.7588448
"27114","Limosella_aquatica",89.583,48.917
"27949","Limosella_aquatica",-111.49,41.9956
"28337","Limosella_aquatica",24.277533,64.526629
"29420","Limosella_aquatica",25.447209,65.009673
"29970","Limosella_aquatica",24.375542,64.591239
"30019","Limosella_aquatica",24.605356,64.828485
"30530","Limosella_aquatica",24.6264,64.828822
"31138","Limosella_aquatica",24.319147,64.527393
"32481","Limosella_aquatica",24.278426,64.51767
"32543","Limosella_aquatica",25.457549,65.014266
"32961","Limosella_aquatica",23.419,64.077157
"33150","Limosella_aquatica",25.083773,64.916177
"33248","Limosella_aquatica",25.279012,65.019494
"33714","Limosella_aquatica",25.890544,62.241751
"34507","Limosella_aquatica",6.004437,51.879415
"34626","Limosella_aquatica",5.670692,51.925632
"34783","Limosella_aquatica",6.095459,51.591462
"35032","Limosella_aquatica",-3.379,56.177
"35998","Limosella_aquatica",15.75806,46.74444
"35999","Limosella_aquatica",16.96944,48.19361
"36000","Limosella_aquatica",16.91667,48.15556
"36001","Limosella_aquatica",16.67056,47.52306
"37308","Limosella_aquatica",-56.706944,51.651667
"37622","Limosella_aquatica",5.4226,51.768067
"39244","Limosella_aquatica",-65.365833,-17.56
"42757","Limosella_aquatica",-5.78,42.75
"43019","Limosella_aquatica",-105.2144,39.778464
"43056","Limosella_aquatica",-104.524134,40.675722
"43090","Limosella_aquatica",-104.856104,39.372203
"43145","Limosella_aquatica",-106.112208,39.045803
"43312","Limosella_aquatica",-110.1829,42.1747
"43330","Limosella_aquatica",-105.211364,39.878058
"43359","Limosella_aquatica",-105.9362,42.3397
"43443","Limosella_aquatica",-105.514105,38.183107
"43522","Limosella_aquatica",-105.224215,39.895676
"43548","Limosella_aquatica",-109.137778,36.425278
"43635","Limosella_aquatica",-105.11455,39.15503
"43658","Limosella_aquatica",-105.261139,36.913417
"43664","Limosella_aquatica",-108.313611,37.424167
"49949","Limosella_aquatica",-70.723056,-16.125
"50576","Limosella_aquatica",16.13,51.1
"51078","Limosella_aquatica",37.815698,48.171233
"51079","Limosella_aquatica",37.736486,48.96614
"51080","Limosella_aquatica",38.120661,48.961632
"51081","Limosella_aquatica",37.890605,48.924935
"53732","Limosella_aquatica",-117.26389,34.31998
"54931","Limosella_aquatica",10.21,49.77
"55449","Limosella_aquatica",-133.729,60.128
"56911","Limosella_aquatica",-4.3467,42.8118
"57338","Limosella_aquatica",-5.8113,41.6505
"58014","Limosella_aquatica",-5.78,42.76
"60571","Limosella_aquatica",12.37,48.97
"62133","Limosella_aquatica",-120.189744,39.893602
"62231","Limosella_aquatica",-121.52527,39.196958
"63390","Limosella_aquatica",-99.306039,19.049453
"64198","Limosella_aquatica",-105.9801,45.4592
"64204","Limosella_aquatica",-107.4483,48.1243
"64370","Limosella_aquatica",82.48333,51.29166
"64396","Limosella_aquatica",87.31666,51.78333
"64399","Limosella_aquatica",84.36666,50.26666
"64400","Limosella_aquatica",86.33333,51.2
"64469","Limosella_aquatica",83.58333,52.86666
"64470","Limosella_aquatica",83.01666,51.13333
"64759","Limosella_aquatica",84.3,50.98333
"64760","Limosella_aquatica",87.61611,50.38694
"64761","Limosella_aquatica",83.91666,51.50833
"67851","Limosella_aquatica",5.147033,51.979656
"67887","Limosella_aquatica",5.920224,51.684415
"67976","Limosella_aquatica",-70.529342,-16.162361
"68110","Limosella_aquatica",6.078167,52.46975
"68124","Limosella_aquatica",4.693893,51.455326
"69783","Limosella_aquatica",-119.117617,34.7023
"69854","Limosella_aquatica",-119.1183,34.7024
"69903","Limosella_aquatica",-121.2326,35.9879
"69936","Limosella_aquatica",-119.1193,34.70265
"70206","Limosella_aquatica",-121.3135,35.969
"70245","Limosella_aquatica",-119.1183,34.7022
"70249","Limosella_aquatica",-121.03983,35.890608
"72197","Limosella_aquatica",11.98272,58.34766
"72966","Limosella_aquatica",-116.8665,34.264083
"74100","Limosella_aquatica",18.41792,60.21046
"74997","Limosella_aquatica",86.9175,54.463889
"74998","Limosella_aquatica",85.05183,55.0491
"74999","Limosella_aquatica",86.163749,55.3611
"75000","Limosella_aquatica",86.203333,55.366333
"75001","Limosella_aquatica",87.9627,55.8878
"75002","Limosella_aquatica",87.275556,52.819444
"77599","Limosella_aquatica",-110.5219,42.6878
"78239","Limosella_aquatica",44.190779,52.464687
"78326","Limosella_aquatica",40.309906,56.10285
"78482","Limosella_aquatica",30.386682,57.192411
"78762","Limosella_aquatica",34.99,58.078056
"78846","Limosella_aquatica",35.820946,54.761969
"79011","Limosella_aquatica",-117.9231,43.46543
"79045","Limosella_aquatica",-118.873056,42.476111
"79079","Limosella_aquatica",-120.4647,43.5853
"79178","Limosella_aquatica",-119.91167,39.1011
"79342","Limosella_aquatica",13.0775,48.27111
"79386","Limosella_aquatica",14.333611,48.223057
"79529","Limosella_aquatica",13.453333,48.22222
"80152","Limosella_aquatica",14.338889,48.31972
"80674","Limosella_aquatica",15.705833,48.17611
"81272","Limosella_aquatica",14.426945,48.255833
"81477","Limosella_aquatica",14.440556,48.24917
"81730","Limosella_aquatica",-122.224736,45.55267
"82734","Limosella_aquatica",11.615201,55.443845
"82907","Limosella_aquatica",12.08431,55.625894
"83639","Limosella_aquatica",-113.711189,42.048744
"83704","Limosella_aquatica",-111.4419,43.1301
"83726","Limosella_aquatica",-111.572167,42.322033
"85165","Limosella_aquatica",4.42361,46.8094
"85724","Limosella_aquatica",22.7,60.55
"88371","Limosella_aquatica",-0.67,42.8
"88823","Limosella_aquatica",-5.78,42.76
"91868","Limosella_aquatica",-120.81694,35.77111
"92334","Limosella_aquatica",-110.1,42.4
"92342","Limosella_aquatica",-105.29,40.71
"92584","Limosella_aquatica",-103.76,37.38
"92755","Limosella_aquatica",-116.806293,43.564066
"92792","Limosella_aquatica",-106.888985,41.545995
"94337","Limosella_aquatica",-2.16892,51.9998
"95066","Limosella_aquatica",17.17,61.72
"95075","Limosella_aquatica",17,61
"95506","Limosella_aquatica",-77.45,50.083333
"95508","Limosella_aquatica",-77.683333,50.35
"95547","Limosella_aquatica",-78.733611,51.487222
"95567","Limosella_aquatica",-78.983333,51.8
"95568","Limosella_aquatica",-78.833333,51.866667
"95594","Limosella_aquatica",-57.203056,51.411389
"95608","Limosella_aquatica",-78.866667,53.55
"96103","Limosella_aquatica",9.42969,50.9023
"97255","Limosella_aquatica",24.916484,66.125663
"97263","Limosella_aquatica",24.372022,64.595215
"97313","Limosella_aquatica",26.082342,66.45446
"97322","Limosella_aquatica",25.440169,65.021263
"97353","Limosella_aquatica",24.716605,65.996772
"97401","Limosella_aquatica",27.343423,66.515067
"97422","Limosella_aquatica",25.955064,66.494916
"97490","Limosella_aquatica",24.914198,66.126529
"97526","Limosella_aquatica",26.623855,66.383168
"97528","Limosella_aquatica",26.077627,66.46071
"97536","Limosella_aquatica",25.380666,65.099013
"97616","Limosella_aquatica",25.346269,65.457605
"97633","Limosella_aquatica",25.412708,65.01918
"97634","Limosella_aquatica",25.397727,65.0567
"97669","Limosella_aquatica",24.263154,64.534891
"97673","Limosella_aquatica",27.231463,64.128975
"97675","Limosella_aquatica",25.353312,65.345543
"97700","Limosella_aquatica",26.550053,66.383869
"97783","Limosella_aquatica",26.023488,66.468453
"97970","Limosella_aquatica",26.453632,66.396116
"98039","Limosella_aquatica",24.628635,65.888212
"98079","Limosella_aquatica",25.419342,65.023601
"98107","Limosella_aquatica",25.408558,65.053226
"98111","Limosella_aquatica",26.057443,66.46059
"98170","Limosella_aquatica",24.365845,64.572666
"98189","Limosella_aquatica",27.425511,66.71484
"98196","Limosella_aquatica",26.034913,66.463143
"98218","Limosella_aquatica",25.397134,65.066562
"98252","Limosella_aquatica",24.363588,64.574421
"98262","Limosella_aquatica",24.577171,65.829081
"98284","Limosella_aquatica",25.973362,66.486965
"98438","Limosella_aquatica",24.650216,65.892134
"98442","Limosella_aquatica",25.387715,65.081712
"98587","Limosella_aquatica",25.923471,66.498289
"98648","Limosella_aquatica",27.460755,66.781996
"98657","Limosella_aquatica",24.65038,65.890342
"98710","Limosella_aquatica",25.392345,65.075481
"98715","Limosella_aquatica",25.402535,65.011894
"98722","Limosella_aquatica",26.011846,66.479141
"98729","Limosella_aquatica",25.353855,65.04456
"98796","Limosella_aquatica",26.071033,66.457084
"98855","Limosella_aquatica",25.803624,66.514459
"98874","Limosella_aquatica",24.36811,64.592453
"98921","Limosella_aquatica",-117.20994,42.32647
"98976","Limosella_aquatica",-119.86319,41.88519
"122463","Limosella_aquatica",24.27664,64.535589
"122544","Limosella_aquatica",23.669956,64.208837
"123520","Limosella_aquatica",25.397403,65.062079
"123545","Limosella_aquatica",24.783394,61.330782
"124209","Limosella_aquatica",25.468598,64.969524
"124213","Limosella_aquatica",25.342519,65.056098
"124496","Limosella_aquatica",24.374678,64.600199
"124584","Limosella_aquatica",21.55175,60.663651
"124817","Limosella_aquatica",24.388663,64.672251
"124865","Limosella_aquatica",25.464313,64.970377
"125794","Limosella_aquatica",25.421507,65.01389
"126488","Limosella_aquatica",25.395603,65.056677
