"","species","lon","lat"
"13065","Linaria_purpurea",-82.096139,35.089111
"20853","Linaria_purpurea",4.057152,51.918453
"34540","Linaria_purpurea",4.6291,52.402383
"34771","Linaria_purpurea",5.723833,51.971
"34923","Linaria_purpurea",5.678058,53.058028
"39937","Linaria_purpurea",12.76745,56.06817
"43759","Linaria_purpurea",-0.319505,51.712806
"55403","Linaria_purpurea",10.04,47.57
"57242","Linaria_purpurea",-0.4317,51.4417
"57455","Linaria_purpurea",13.5914,42.3364
"57563","Linaria_purpurea",14.0167,37.8667
"58069","Linaria_purpurea",13.38,37.85
"62480","Linaria_purpurea",14.65769,58.20855
"62614","Linaria_purpurea",14.01797,37.98654
"62713","Linaria_purpurea",13.548628,37.979723
"62718","Linaria_purpurea",13.604819,37.621676
"62992","Linaria_purpurea",13.211331,38.023087
"63002","Linaria_purpurea",14.031246,37.894786
"63111","Linaria_purpurea",15.286961,37.852186
"63228","Linaria_purpurea",15,37.13
"67769","Linaria_purpurea",5.921833,52.013167
"69114","Linaria_purpurea",11.53,48.14
"69975","Linaria_purpurea",-118.94444,34.23711
"71093","Linaria_purpurea",174.866265,-41.259453
"71117","Linaria_purpurea",173.209346,-41.322782
"71264","Linaria_purpurea",172.696966,-43.488537
"71279","Linaria_purpurea",172.753744,-40.785022
"71332","Linaria_purpurea",172.60325,-43.544488
"78171","Linaria_purpurea",37.225971,56.723348
"81383","Linaria_purpurea",12.957778,48.24472
"81733","Linaria_purpurea",-122.51925,45.173111
"82550","Linaria_purpurea",12.467376,55.598452
"83255","Linaria_purpurea",11.542801,55.301549
"85963","Linaria_purpurea",13.62,42.33
"86809","Linaria_purpurea",12.9,41.58
"87561","Linaria_purpurea",3.91,50.41
"88049","Linaria_purpurea",13.74,41.84
"88765","Linaria_purpurea",14.9,37.87
"95081","Linaria_purpurea",17.93221,59.14935
"96856","Linaria_purpurea",14.13404,55.61559
"133708","Linaria_purpurea",16.20902,58.60089
"133784","Linaria_purpurea",14.68459,58.38163
"136868","Linaria_purpurea",14.125,55.61547
"140346","Linaria_purpurea",13.25,48.35
"144743","Linaria_purpurea",13.04,47.76
"149780","Linaria_purpurea",11.80471,58.14268
"149784","Linaria_purpurea",17.80703,59.17538
"149875","Linaria_purpurea",14.2069,55.69742
"149912","Linaria_purpurea",13.52326,55.90941
"149946","Linaria_purpurea",15.03847,58.51772
"150588","Linaria_purpurea",15.6013,56.24255
"150596","Linaria_purpurea",16.20938,58.60043
"150705","Linaria_purpurea",14.12773,55.61461
"150753","Linaria_purpurea",14.12619,55.61369
"150765","Linaria_purpurea",11.44621,58.29245
"150828","Linaria_purpurea",15.17642,59.245
"150973","Linaria_purpurea",16.17672,56.69725
"151009","Linaria_purpurea",11.95111,58.38203
"151209","Linaria_purpurea",14.43955,59.32486
"151334","Linaria_purpurea",12.86866,56.65076
"151339","Linaria_purpurea",12.76705,56.06739
"151506","Linaria_purpurea",15.80227,58.10699
"151576","Linaria_purpurea",17.76484,59.93136
"151619","Linaria_purpurea",17.84343,59.19541
"152049","Linaria_purpurea",-119.537,49.794
"153816","Linaria_purpurea",-119.540001,49.790001
"155741","Linaria_purpurea",17.91598,59.12438
"157666","Linaria_purpurea",147.359619,-42.913808
"157928","Linaria_purpurea",17.78754,59.38458
"164397","Linaria_purpurea",12.871,41.564
"169448","Linaria_purpurea",11.52,48.19
"178084","Linaria_purpurea",14.68437,58.38133
"180912","Linaria_purpurea",12.76551,56.06645
"183973","Linaria_purpurea",12.79714,56.07074
"192316","Linaria_purpurea",12.96,48.24
"192435","Linaria_purpurea",10.37,47.72
"192440","Linaria_purpurea",10.29,47.72
"204872","Linaria_purpurea",15.60427,58.39487
"206377","Linaria_purpurea",15.001944,37.703889
"207180","Linaria_purpurea",17,59
"212479","Linaria_purpurea",147.359722,-42.913889
"215275","Linaria_purpurea",-119.035556,37.652778
"215287","Linaria_purpurea",-121.9645074,36.9702032
"226496","Linaria_purpurea",16.15528,58.57724
"226499","Linaria_purpurea",17.93229,59.14956
"226973","Linaria_purpurea",11.297013,43.078883
"227182","Linaria_purpurea",11.67939,43.875383
"227267","Linaria_purpurea",10.925134,42.773994
"227470","Linaria_purpurea",11.682558,43.875476
"227550","Linaria_purpurea",11.168866,42.899197
"227700","Linaria_purpurea",10.962486,43.284896
"227839","Linaria_purpurea",10.748933,43.222324
"227922","Linaria_purpurea",10.37465,44.20247
"227924","Linaria_purpurea",10.650018,44.121343
"228019","Linaria_purpurea",11.482653,42.514007
"228139","Linaria_purpurea",10.949922,43.161434
"228236","Linaria_purpurea",11.1758,42.37371
"228600","Linaria_purpurea",11.018077,43.113089
"228618","Linaria_purpurea",11.46582,42.85477
"228725","Linaria_purpurea",11.418141,42.456115
"229016","Linaria_purpurea",10.377639,44.208862
"229296","Linaria_purpurea",10.597301,44.114643
"229392","Linaria_purpurea",11.675112,43.875345
"229496","Linaria_purpurea",11.660664,43.68005
"229754","Linaria_purpurea",11.709652,43.798591
"229825","Linaria_purpurea",11.374771,42.397728
"230007","Linaria_purpurea",10.21587,44.29857
"230272","Linaria_purpurea",11.495823,42.822505
"230965","Linaria_purpurea",10.622435,43.090003
"231045","Linaria_purpurea",11.104117,42.665389
"231129","Linaria_purpurea",10.826029,42.779376
"231248","Linaria_purpurea",10.612357,43.437168
"231339","Linaria_purpurea",11.145667,42.411119
"232231","Linaria_purpurea",11.722313,43.617067
"232420","Linaria_purpurea",11.082728,42.656241
"232434","Linaria_purpurea",11.378271,43.148646
"237705","Linaria_purpurea",17.93148,59.15218
"247890","Linaria_purpurea",12.66,47.73
"251794","Linaria_purpurea",17.91469,59.12463
"253522","Linaria_purpurea",16.36328,39.930469
"253833","Linaria_purpurea",16.371453,39.920601
"253853","Linaria_purpurea",10.258841,44.071643
"254108","Linaria_purpurea",17.199788,40.638223
"254123","Linaria_purpurea",11.048502,42.89367
"254200","Linaria_purpurea",11.186093,42.545933
"254274","Linaria_purpurea",11.237189,43.324662
"254354","Linaria_purpurea",10.288178,44.039287
"254515","Linaria_purpurea",17.352952,40.70482
"254586","Linaria_purpurea",17.226379,40.783582
"254640","Linaria_purpurea",16.351864,39.923452
"254646","Linaria_purpurea",17.335897,40.830278
"254707","Linaria_purpurea",17.20239,40.652952
"255504","Linaria_purpurea",-122.884583,49.227778
"257863","Linaria_purpurea",12.76941,56.06791
"257895","Linaria_purpurea",13.39877,55.65952
"257904","Linaria_purpurea",11.95153,58.38257
"258278","Linaria_purpurea",12.76628,56.06693
"260929","Linaria_purpurea",13.07,47.82
"261236","Linaria_purpurea",15.85,38.14
"263867","Linaria_purpurea",4.086216,51.918778
"283211","Linaria_purpurea",7.01685,46.29812
"289280","Linaria_purpurea",-122.3426,48.2399
"290553","Linaria_purpurea",5.6488,58.7373
"292831","Linaria_purpurea",15.3101,56.18693
"294893","Linaria_purpurea",11.42786,58.21308
"295097","Linaria_purpurea",12.76864,56.06743
"295118","Linaria_purpurea",11.95166,58.38259
"296126","Linaria_purpurea",10.21,50.07
"300516","Linaria_purpurea",14.9,37.87
"302677","Linaria_purpurea",-120.1406536,39.1740111
"302815","Linaria_purpurea",-120.1428937,39.174701
"310544","Linaria_purpurea",10.7097,59.4399
"310812","Linaria_purpurea",5.6151,58.8848
"314873","Linaria_purpurea",-123.05855,44.022533
"314909","Linaria_purpurea",-122.39833,45.54087
"327205","Linaria_purpurea",-119.48333,47.15
"329809","Linaria_purpurea",14.39689,56.31822
"330798","Linaria_purpurea",-124.8075,49.262222
"330821","Linaria_purpurea",-119.533333,49.861111
"330903","Linaria_purpurea",-124.835556,49.255278
"330996","Linaria_purpurea",-114.460871,42.562967
"348618","Linaria_purpurea",15.05,37.7
"365914","Linaria_purpurea",-73.31055,41.63138
"367021","Linaria_purpurea",15.0186,56.49976
"368768","Linaria_purpurea",16.17672,56.697247
"368800","Linaria_purpurea",17.975909,59.229751
"368965","Linaria_purpurea",15.038474,58.517722
"369118","Linaria_purpurea",15.67482,58.145911
"371547","Linaria_purpurea",14.32722,41.18333
"371548","Linaria_purpurea",14.31889,41.10667
"371550","Linaria_purpurea",10.59639,43.08028
"373838","Linaria_purpurea",-117.37833,33.9075
"374131","Linaria_purpurea",-121.88722,36.96167
"385117","Linaria_purpurea",13.250278,48.350555
"391327","Linaria_purpurea",172.51034,-42.871273
"391419","Linaria_purpurea",171.010598,-44.049949
"391481","Linaria_purpurea",172.238537,-43.790208
"392622","Linaria_purpurea",13.7419,41.8428
"399378","Linaria_purpurea",4.658381,52.489957
"405128","Linaria_purpurea",17.91597,59.12434
"423608","Linaria_purpurea",15.40625,48.36289
"424314","Linaria_purpurea",15.31546,56.18394
"424344","Linaria_purpurea",14.1253,55.61593
"424538","Linaria_purpurea",12.76745,56.06818
"424579","Linaria_purpurea",13.02351,55.59028
"424624","Linaria_purpurea",12.76781,56.06787
"424706","Linaria_purpurea",16.10622,58.59592
"424989","Linaria_purpurea",14.12799,55.6134
"425055","Linaria_purpurea",11.46,48.22
"425120","Linaria_purpurea",11.43,48.18
"425154","Linaria_purpurea",10.12,50.12
"431717","Linaria_purpurea",6.6893,46.52132
"432076","Linaria_purpurea",15.60122,56.24251
"432080","Linaria_purpurea",12.76767,56.06966
"432178","Linaria_purpurea",13.52403,55.90988
"432346","Linaria_purpurea",13.10727,55.82261
"432611","Linaria_purpurea",14.20767,55.69788
"432622","Linaria_purpurea",14.13482,55.61606
"433963","Linaria_purpurea",14.12696,55.61416
"435728","Linaria_purpurea",16.20874,58.602
"436304","Linaria_purpurea",12.883333,41.833333
"437435","Linaria_purpurea",8.369444,52.466667
"437515","Linaria_purpurea",15.099722,37.738056
"438644","Linaria_purpurea",-0.271231,51.548322
"442389","Linaria_purpurea",-6.32,38.38
"442443","Linaria_purpurea",-5.39,39.61
"444580","Linaria_purpurea",5.887153,51.781096
"444685","Linaria_purpurea",5.972232,51.636883
"444714","Linaria_purpurea",5.929738,51.827647
"444730","Linaria_purpurea",5.770005,51.63772
"444749","Linaria_purpurea",5.859018,51.862109
"449604","Linaria_purpurea",12.6,41.52
"451047","Linaria_purpurea",147.595833,-41.94
"453728","Linaria_purpurea",17.79011,59.38494
"453739","Linaria_purpurea",15.04374,58.51611
"453748","Linaria_purpurea",15.60175,56.24365
"459243","Linaria_purpurea",5.7518,58.7694
"459269","Linaria_purpurea",5.7115,58.8701
"465310","Linaria_purpurea",13.6203,42.3392
"468568","Linaria_purpurea",-122.496667,48.388333
"469801","Linaria_purpurea",9.9175,37.24806
"469851","Linaria_purpurea",15.95833,41.68861
"470802","Linaria_purpurea",15.94722,38.12583
"474753","Linaria_purpurea",12.104099,55.788175
"474855","Linaria_purpurea",12.481796,55.868403
"475430","Linaria_purpurea",12.323479,55.613371
"475766","Linaria_purpurea",12.521157,55.752355
"476103","Linaria_purpurea",12.548483,55.824809
"480484","Linaria_purpurea",14.71667,37.95
"485369","Linaria_purpurea",15.31546,56.18393
"485553","Linaria_purpurea",12.86471,55.85872
"485635","Linaria_purpurea",12.77322,56.74827
"485782","Linaria_purpurea",12.86858,56.65318
"485827","Linaria_purpurea",15.67482,58.14591
"485857","Linaria_purpurea",17.97591,59.22975
"486044","Linaria_purpurea",15.03417,59.51008
