"","species","lon","lat"
"26167","Linaria_supina",-3.291245,42.7688724
"26300","Linaria_supina",-3.2512446,42.7888733
"26328","Linaria_supina",-3.2812446,42.7588723
"26499","Linaria_supina",-3.1112529,43.3388875
"26593","Linaria_supina",-3.2612446,42.778873
"26663","Linaria_supina",-3.3612444,42.6688694
"26745","Linaria_supina",-6.871308,42.4788264
"26816","Linaria_supina",-2.1512326,43.2888967
"26984","Linaria_supina",-2.3712278,42.8288837
"26992","Linaria_supina",0.1788272,42.6789072
"27847","Linaria_supina",9.73,44.1
"34533","Linaria_supina",4.939302,52.374517
"34603","Linaria_supina",2.133333,42.533333
"36087","Linaria_supina",7.56306,44.15028
"36632","Linaria_supina",7.01561,44.673
"37366","Linaria_supina",-5.3899707,43.5263247
"37367","Linaria_supina",-5.224725,43.483094
"37369","Linaria_supina",-5.214273,43.475247
"37373","Linaria_supina",-5.213285,43.4756
"37376","Linaria_supina",-5.212977,43.475984
"37382","Linaria_supina",-5.224492,43.483152
"37385","Linaria_supina",-5.493072,43.045689
"42845","Linaria_supina",-4.8,43.09
"42903","Linaria_supina",-4.78,43.169998
"42917","Linaria_supina",-5.493059,43.045689
"56820","Linaria_supina",-2.7838,42.045
"56984","Linaria_supina",-8.0223,42.8515
"57086","Linaria_supina",2.539,42.1434
"57512","Linaria_supina",0.7655,40.9427
"57783","Linaria_supina",2.46,41.69
"57791","Linaria_supina",1.23,42.57
"57925","Linaria_supina",-6.87,42.48
"57937","Linaria_supina",1.34,42.21
"57996","Linaria_supina",1.43,42.15
"58005","Linaria_supina",1.85,42.38
"58030","Linaria_supina",2.26,41.68
"58061","Linaria_supina",1.49,42.57
"58280","Linaria_supina",2.76,42.26
"58285","Linaria_supina",0.18,40.74
"58393","Linaria_supina",0.41,40.93
"58441","Linaria_supina",1.85,42.4
"58610","Linaria_supina",0.89,42.53
"58647","Linaria_supina",1.71,41.59
"58664","Linaria_supina",0.86,42.52
"58755","Linaria_supina",1.36,42.22
"79549","Linaria_supina",14.275,48.245277
"85584","Linaria_supina",-0.81,40.77
"85691","Linaria_supina",0.1,40.66
"85758","Linaria_supina",-0.11,40.39
"85762","Linaria_supina",0.11,40.57
"85782","Linaria_supina",-0.21,40.84
"85797","Linaria_supina",-0.09,40.38
"85883","Linaria_supina",-0.06,40.25
"85903","Linaria_supina",-2.82,42.05
"85978","Linaria_supina",-8.82,41.87
"85993","Linaria_supina",0.22,40.57
"86060","Linaria_supina",0.34,40.58
"86145","Linaria_supina",-5.15,43.02
"86181","Linaria_supina",-0.12,40.3
"86191","Linaria_supina",5e-05,40.43
"86316","Linaria_supina",-0.12,40.21
"86423","Linaria_supina",-2.24,39.52
"86473","Linaria_supina",-5.16,43.38
"86560","Linaria_supina",-0.35,42.77
"86575","Linaria_supina",-0.05,40.34
"86762","Linaria_supina",0.11,40.48
"86872","Linaria_supina",0.11,40.39
"86901","Linaria_supina",0.22,40.66
"86976","Linaria_supina",-3.11,43.34
"87089","Linaria_supina",-1.46,41.29
"87115","Linaria_supina",-2.1,40.62
"87178","Linaria_supina",0.23,40.48
"87224","Linaria_supina",-0.2,41.2
"87263","Linaria_supina",-0.23,40.48
"87368","Linaria_supina",-2.7,41.87
"87602","Linaria_supina",-0.83,39.96
"87718","Linaria_supina",-1.98,41.68
"87809","Linaria_supina",-2.59,39.79
"87846","Linaria_supina",0.12,40.3
"87908","Linaria_supina",-5.39,43.01
"87939","Linaria_supina",-1.65,40.33
"87991","Linaria_supina",0.3,40.77
"88044","Linaria_supina",-2.58,41.24
"88072","Linaria_supina",-3.42,43.41
"88101","Linaria_supina",-1.61,40.53
"88270","Linaria_supina",-2.58,42.05
"88572","Linaria_supina",-3.19,43.4
"88610","Linaria_supina",-2.34,41.96
"88905","Linaria_supina",-4.76,43.06
"135510","Linaria_supina",14.272223,48.24111
"141727","Linaria_supina",-8.80791,39.557332
"143669","Linaria_supina",7.49032,44.1182
"144136","Linaria_supina",13.27,47.97
"146643","Linaria_supina",13.26,47.97
"146915","Linaria_supina",13.04,47.83
"148053","Linaria_supina",13.13,47.9
"156062","Linaria_supina",-0.93,42.83
"156238","Linaria_supina",0.18,42.66
"156402","Linaria_supina",-6.43,42.99
"156499","Linaria_supina",-5.76,42.89
"156666","Linaria_supina",-5.79,42.9
"163572","Linaria_supina",-4.0187,40.3238
"163628","Linaria_supina",0.87,42.39
"163726","Linaria_supina",-2.61,37.27
"163933","Linaria_supina",0.863,42.527
"164076","Linaria_supina",1.61,42.22
"164155","Linaria_supina",1.891,41.515
"164392","Linaria_supina",0.998504,42.335018
"164715","Linaria_supina",0.899,42.537
"164716","Linaria_supina",-0.61,43.01
"164774","Linaria_supina",-3.117,43.348
"164882","Linaria_supina",6.42531,46.6992
"207905","Linaria_supina",9.931761,44.555861
"246708","Linaria_supina",0.86,42.53
"253684","Linaria_supina",6.964432,44.371099
"254696","Linaria_supina",6.900782,44.419609
"257352","Linaria_supina",-6.83693,42.44797
"257428","Linaria_supina",-8.08348,42.85196
"257432","Linaria_supina",-6.8316,42.24975
"257458","Linaria_supina",-7.13541,42.63333
"257460","Linaria_supina",-6.74456,42.31111
"260634","Linaria_supina",13.89,48.1
"300390","Linaria_supina",5.18224,44.00224
"300533","Linaria_supina",-5.49747,43.02309
"300548","Linaria_supina",-5.088155,42.95535
"300591","Linaria_supina",-4.808,42.947
"300610","Linaria_supina",-6.46909,42.4575
"300627","Linaria_supina",-4.75,43.047
"300667","Linaria_supina",-6.229,42.838
"300707","Linaria_supina",-5.185578,42.990305
"300829","Linaria_supina",-5.3496,43.0547
"300865","Linaria_supina",-6.1348,42.9997
"300880","Linaria_supina",-5.079,42.996
"300881","Linaria_supina",-5.49203,43.023
"300917","Linaria_supina",-4.778,43.173
"300924","Linaria_supina",-4.879,42.874
"300970","Linaria_supina",-5.26,42.66
"300988","Linaria_supina",-5.191,43.03
"300990","Linaria_supina",-4.786,43.037
"301116","Linaria_supina",-4.82,42.947
"301199","Linaria_supina",-5.035,42.781
"301232","Linaria_supina",-6.65328,42.45469
"301414","Linaria_supina",-5.242,43.074
"301499","Linaria_supina",-4.762,43.065
"301630","Linaria_supina",-5.204,43.039
"301664","Linaria_supina",-4.771,42.948
"301686","Linaria_supina",-4.892,42.892
"301716","Linaria_supina",-6.23366,42.790838
"301785","Linaria_supina",-4.364676,42.969083
"301813","Linaria_supina",-6.50341,42.33107
"301831","Linaria_supina",-4.364418,42.969068
"301848","Linaria_supina",-6.87,42.48
"301905","Linaria_supina",-5.53409,42.69477
"301924","Linaria_supina",-5.095122,42.956915
"301929","Linaria_supina",-5.6284,43.00498
"301964","Linaria_supina",-6.63787,42.4125
"301983","Linaria_supina",-6.817,42.454
"301991","Linaria_supina",-5.49,42.29
"302055","Linaria_supina",-5.095522,42.958943
"302058","Linaria_supina",-5.5224,42.7143
"302165","Linaria_supina",-5.6361,43.035
"302264","Linaria_supina",-5.1734,43.0357
"302321","Linaria_supina",-5.64117,43.0266
"302361","Linaria_supina",-4.802,43.154
"302392","Linaria_supina",-5.63651,43.0299
"302402","Linaria_supina",-4.387899,43.048578
"302403","Linaria_supina",-6.43,42.996
"310490","Linaria_supina",10.4399,59.8174
"330397","Linaria_supina",7.5618,44.14947
"347755","Linaria_supina",-0.34,42.72
"347838","Linaria_supina",-6.92,42.51
"347881","Linaria_supina",1.03,41.31
"347956","Linaria_supina",-2.69,43.4
"348248","Linaria_supina",-0.11,42.59
"348446","Linaria_supina",-7.11,42.64
"348611","Linaria_supina",-0.76,37.84
"348612","Linaria_supina",-6.87,42.48
"348644","Linaria_supina",-0.11,42.61
"348664","Linaria_supina",-2.27,42.8
"348686","Linaria_supina",-2.04,40.91
"348699","Linaria_supina",-3.11,43.34
"348734","Linaria_supina",-0.52,42.52
"348805","Linaria_supina",-0.88,38.51
"348889","Linaria_supina",-6.81,42.86
"348922","Linaria_supina",-1.64,40.3
"349058","Linaria_supina",0.06,42.66
"349085","Linaria_supina",-7.1,42.62
"349090","Linaria_supina",-3.2,43.01
"349101","Linaria_supina",-0.8,39.87
"362356","Linaria_supina",13.0417,47.825
"379762","Linaria_supina",13.24,47.97
"380748","Linaria_supina",13.05,47.82
"389090","Linaria_supina",-4.97,43.16
"389123","Linaria_supina",-4.98,43.22
"389251","Linaria_supina",-5.19,43.03
"389263","Linaria_supina",-0.63,42.38
"392630","Linaria_supina",1.6169,42.5564
"393364","Linaria_supina",-4.7558,43.0043
"393413","Linaria_supina",-4.0389,43.4183
"393514","Linaria_supina",-3.4956,43.4399
"393696","Linaria_supina",-6.7446,42.3111
"393739","Linaria_supina",-3.3047,42.1897
"404236","Linaria_supina",6.61517,44.95548
"410997","Linaria_supina",5.8649,49.1085
"411741","Linaria_supina",6.07011,49.10201
"415211","Linaria_supina",-6,43.06
"415357","Linaria_supina",1.08,42.57
"422795","Linaria_supina",6.5925,45.02
"422991","Linaria_supina",-2.161823,43.286752
"422992","Linaria_supina",-2.260315,43.296436
"422993","Linaria_supina",-1.990607,43.231252
"422995","Linaria_supina",-2.137174,43.286569
"422997","Linaria_supina",-2.247987,43.296356
"423002","Linaria_supina",-3.117719,43.346267
"423004","Linaria_supina",-3.135715,43.34377
"423012","Linaria_supina",-2.941349,43.418303
"423013","Linaria_supina",-2.198562,43.305025
"423609","Linaria_supina",6.6433,45.04181
"429059","Linaria_supina",-6.87,42.48
"437309","Linaria_supina",15.099722,37.738056
"440849","Linaria_supina",0.07,42.825001
"440851","Linaria_supina",-0.37,42.830002
"440852","Linaria_supina",2.57,42.860001
"440856","Linaria_supina",-0.29,42.820999
"440857","Linaria_supina",-1.407,43.147999
"440858","Linaria_supina",-1.654,43.106998
"440859","Linaria_supina",-0.587,42.737999
"440860","Linaria_supina",-1.977,42.894001
"440862","Linaria_supina",-2.156,43.291
"440863","Linaria_supina",-2.1,42.895
"440864","Linaria_supina",-3.117,43.348
"440866","Linaria_supina",-2.242,43.300999
"441502","Linaria_supina",-9.05,39.19
"449117","Linaria_supina",-2.71,42.83
"449160","Linaria_supina",-3.31,43.4
"449196","Linaria_supina",-3.11,43.34
"449227","Linaria_supina",-2.63,42.86
"449304","Linaria_supina",-1.58,43.48
"449308","Linaria_supina",-1.8,41.66
"449310","Linaria_supina",-2.67,42.82
"449428","Linaria_supina",-3.32,43.4
"449490","Linaria_supina",-2.34,42.01
"449597","Linaria_supina",-2.78,42.81
"449701","Linaria_supina",-2.28,42.85
"449793","Linaria_supina",-2.63,42.8
"449870","Linaria_supina",-1.7,43.39
"449898","Linaria_supina",-2.1,42.89
"465151","Linaria_supina",-6.3525,43.5453
"465455","Linaria_supina",-3.1247,43.3419
