"","species","lon","lat"
"13047","Lonicera_alpigena",11.5589,47.5497
"20760","Lonicera_alpigena",9.149168,44.570171
"20761","Lonicera_alpigena",9.17732,44.583806
"20762","Lonicera_alpigena",9.08016,44.576311
"20763","Lonicera_alpigena",9.155519,44.5468
"20764","Lonicera_alpigena",9.099215,44.600163
"26751","Lonicera_alpigena",0.4988345,42.6489098
"36213","Lonicera_alpigena",15.57722,47.66472
"36382","Lonicera_alpigena",14.04556,47.59056
"36480","Lonicera_alpigena",13.69,47.42139
"36493","Lonicera_alpigena",14.20411,45.28761
"36711","Lonicera_alpigena",15.24429,47.63853
"37591","Lonicera_alpigena",14.483333,45.783333
"54854","Lonicera_alpigena",10.21,47.82
"55104","Lonicera_alpigena",10.79,47.72
"55232","Lonicera_alpigena",10.71,47.82
"55368","Lonicera_alpigena",10.21,47.37
"57112","Lonicera_alpigena",0.9982,42.6491
"57458","Lonicera_alpigena",13.7883,42.3933
"57693","Lonicera_alpigena",2.2022,42.2649
"58000","Lonicera_alpigena",1.95,42.34
"58414","Lonicera_alpigena",1.61,42.22
"58438","Lonicera_alpigena",0.89,42.55
"58492","Lonicera_alpigena",0.73,42.62
"58824","Lonicera_alpigena",2.01,42.35
"60750","Lonicera_alpigena",10.62,47.87
"60781","Lonicera_alpigena",10.29,47.32
"60801","Lonicera_alpigena",9.87,47.57
"60851","Lonicera_alpigena",10.29,47.42
"60872","Lonicera_alpigena",10.62,47.72
"60882","Lonicera_alpigena",10.37,47.62
"60912","Lonicera_alpigena",10.79,47.82
"60938","Lonicera_alpigena",10.54,47.72
"64325","Lonicera_alpigena",143,51
"69040","Lonicera_alpigena",10.21,47.57
"69110","Lonicera_alpigena",10.21,47.87
"69143","Lonicera_alpigena",10.37,47.47
"79244","Lonicera_alpigena",14.178333,47.7775
"79785","Lonicera_alpigena",14.286389,47.65361
"86451","Lonicera_alpigena",0.5,42.65
"87458","Lonicera_alpigena",1.51,42.27
"87603","Lonicera_alpigena",21.53,40.4
"87654","Lonicera_alpigena",13.78,42.39
"140283","Lonicera_alpigena",10.46,47.77
"140291","Lonicera_alpigena",10.79,47.87
"140398","Lonicera_alpigena",10.29,47.47
"140437","Lonicera_alpigena",10.62,47.57
"140467","Lonicera_alpigena",10.29,47.52
"140517","Lonicera_alpigena",10.96,47.87
"140545","Lonicera_alpigena",10.62,47.77
"140563","Lonicera_alpigena",10.37,47.42
"140606","Lonicera_alpigena",10.04,47.62
"140641","Lonicera_alpigena",10.37,47.87
"140658","Lonicera_alpigena",10.29,47.92
"140726","Lonicera_alpigena",10.37,47.67
"140785","Lonicera_alpigena",12.87,47.62
"141757","Lonicera_alpigena",14.92877,57.9171
"143933","Lonicera_alpigena",6.51753,45.92756
"143934","Lonicera_alpigena",6.31871,45.84344
"144240","Lonicera_alpigena",13.35,47.63
"144295","Lonicera_alpigena",12.7,47.64
"144316","Lonicera_alpigena",12.66,47.6
"144544","Lonicera_alpigena",13.13,47.74
"144568","Lonicera_alpigena",13.2,47.31
"144647","Lonicera_alpigena",13.31,47.8
"144681","Lonicera_alpigena",13.18,47.51
"144709","Lonicera_alpigena",13.25,47.81
"144835","Lonicera_alpigena",13.24,47.78
"144918","Lonicera_alpigena",13.14,47.74
"145065","Lonicera_alpigena",13.19,47.5
"145081","Lonicera_alpigena",13.52,47.63
"145096","Lonicera_alpigena",13.21,47.73
"145121","Lonicera_alpigena",13.13,47.42
"145132","Lonicera_alpigena",12.72,47.21
"145169","Lonicera_alpigena",13.14,47.66
"145274","Lonicera_alpigena",13.29,47.75
"145335","Lonicera_alpigena",13.15,47.69
"145373","Lonicera_alpigena",12.73,47.63
"145400","Lonicera_alpigena",13.36,47.51
"145519","Lonicera_alpigena",12.73,47.22
"145543","Lonicera_alpigena",13.29,47.56
"145688","Lonicera_alpigena",12.76,47.66
"145848","Lonicera_alpigena",13.09,47.56
"145869","Lonicera_alpigena",13.37,47.79
"145904","Lonicera_alpigena",13.29,47.93
"145928","Lonicera_alpigena",13.26,47.74
"145968","Lonicera_alpigena",12.91,47.17
"145991","Lonicera_alpigena",13.17,47.64
"146053","Lonicera_alpigena",13.17,47.48
"146055","Lonicera_alpigena",10.73,47.24
"146081","Lonicera_alpigena",13.3,47.66
"146166","Lonicera_alpigena",13.19,47.49
"146201","Lonicera_alpigena",13.13,47.69
"146285","Lonicera_alpigena",13.18,47.6
"146500","Lonicera_alpigena",13.12,47.77
"146503","Lonicera_alpigena",13.17,47.67
"146732","Lonicera_alpigena",12.68,47.56
"146744","Lonicera_alpigena",13.12,47.74
"146767","Lonicera_alpigena",13.19,47.54
"146804","Lonicera_alpigena",12.41,47.24
"146899","Lonicera_alpigena",13.23,46.7
"147010","Lonicera_alpigena",13.23,47.88
"147046","Lonicera_alpigena",13.76,47.83
"147299","Lonicera_alpigena",12.59,47.23
"147326","Lonicera_alpigena",12.87,47.12
"147362","Lonicera_alpigena",13.28,47.14
"147392","Lonicera_alpigena",13.11,47.8
"147561","Lonicera_alpigena",13.41,47.62
"147685","Lonicera_alpigena",13.17,47.71
"147707","Lonicera_alpigena",12.72,47.57
"147708","Lonicera_alpigena",13.11,47.81
"147722","Lonicera_alpigena",12.74,47.66
"147781","Lonicera_alpigena",13.03,47.74
"147790","Lonicera_alpigena",12.77,47.66
"147903","Lonicera_alpigena",11.24,47.43
"147962","Lonicera_alpigena",13.1,47.77
"147984","Lonicera_alpigena",10.55,46.96
"147986","Lonicera_alpigena",13.08,47.81
"147993","Lonicera_alpigena",13.11,47.73
"147998","Lonicera_alpigena",13.53,47.48
"148025","Lonicera_alpigena",12.19,47.23
"148086","Lonicera_alpigena",13.35,47.54
"148108","Lonicera_alpigena",13.16,47.65
"151143","Lonicera_alpigena",13.34481,55.39204
"151693","Lonicera_alpigena",18.0953,59.27627
"156086","Lonicera_alpigena",1.51,42.27
"156399","Lonicera_alpigena",1,42.65
"162642","Lonicera_alpigena",13.6,46.67
"163632","Lonicera_alpigena",0.899,42.555
"164605","Lonicera_alpigena",0.847,42.644
"164673","Lonicera_alpigena",0.74,42.66
"166882","Lonicera_alpigena",25.952923,56.689206
"166884","Lonicera_alpigena",25.952476,56.689591
"166885","Lonicera_alpigena",25.952926,56.68917
"166887","Lonicera_alpigena",25.952476,56.689581
"166901","Lonicera_alpigena",25.952473,56.689572
"166903","Lonicera_alpigena",25.952474,56.689543
"166905","Lonicera_alpigena",25.952475,56.689561
"166910","Lonicera_alpigena",25.952475,56.689556
"169385","Lonicera_alpigena",10.71,47.72
"169393","Lonicera_alpigena",10.54,47.92
"169444","Lonicera_alpigena",10.37,47.52
"169464","Lonicera_alpigena",10.29,47.72
"170452","Lonicera_alpigena",14.275556,47.69278
"171431","Lonicera_alpigena",12.3,47.01
"171533","Lonicera_alpigena",13.2,47.02
"171564","Lonicera_alpigena",13.21,47.02
"172861","Lonicera_alpigena",25.06285,56.62525
"173368","Lonicera_alpigena",23.56165,56.45865
"173389","Lonicera_alpigena",24.43735,57.79145
"176493","Lonicera_alpigena",5.18915,44.18218
"180880","Lonicera_alpigena",10.92,47.86
"192254","Lonicera_alpigena",10.54,47.52
"192345","Lonicera_alpigena",9.96,47.52
"199721","Lonicera_alpigena",13.826389,47.740833
"201450","Lonicera_alpigena",15.80389,47.7725
"201908","Lonicera_alpigena",20.82722,40.95056
