"","species","lon","lat"
"24627","Lotus_cytisoides",22.2275,38.14611
"24628","Lotus_cytisoides",22.27611,38.15972
"24629","Lotus_cytisoides",22.09417,38.19361
"24632","Lotus_cytisoides",22.25778,38.175
"24633","Lotus_cytisoides",21.98111,38.22306
"24634","Lotus_cytisoides",22.39694,38.07472
"24635","Lotus_cytisoides",21.96,37.62694
"24636","Lotus_cytisoides",21.83972,38.09472
"35953","Lotus_cytisoides",9.68444,39.96194
"51345","Lotus_cytisoides",35.07,32.97
"62648","Lotus_cytisoides",12.668438,38.106939
"62697","Lotus_cytisoides",13.825751,37.965973
"62722","Lotus_cytisoides",13.117054,37.772988
"62741","Lotus_cytisoides",15.285971,37.852293
"62752","Lotus_cytisoides",15,37.13
"62928","Lotus_cytisoides",14.723063,36.923768
"63063","Lotus_cytisoides",13.260694,37.992698
"63121","Lotus_cytisoides",13.263006,37.992612
"63202","Lotus_cytisoides",15.083114,36.783246
"63203","Lotus_cytisoides",12.666593,38.099979
"63204","Lotus_cytisoides",14.000031,37.933332
"63206","Lotus_cytisoides",12.566672,38.033339
"63207","Lotus_cytisoides",12.776201,38.069113
"63257","Lotus_cytisoides",13.688632,37.642357
"63289","Lotus_cytisoides",13.983334,37.800022
"71804","Lotus_cytisoides",23.8044,35.2458
"86674","Lotus_cytisoides",-0.17,39.01
"87952","Lotus_cytisoides",-0.21,39.1
"88198","Lotus_cytisoides",-0.14,39.76
"88484","Lotus_cytisoides",-0.18,39.73
"149560","Lotus_cytisoides",-2.33,36.76
"161113","Lotus_cytisoides",25.483056,35.295833
"164575","Lotus_cytisoides",2.027,41.273
"164685","Lotus_cytisoides",-4.43305,34.47016
"178942","Lotus_cytisoides",13.98333,37.8
"201190","Lotus_cytisoides",23.7775,35.55806
"201360","Lotus_cytisoides",6.60389,43.1775
"201725","Lotus_cytisoides",18.755,42.40861
"206508","Lotus_cytisoides",14.733333,37.45
"230000","Lotus_cytisoides",11.13128,42.555723
"250524","Lotus_cytisoides",14,37.93333
"253685","Lotus_cytisoides",16.136559,38.994784
"258253","Lotus_cytisoides",25.7,35.183333
"300398","Lotus_cytisoides",6.63109,43.24314
"314011","Lotus_cytisoides",9.31667,41.6
"314168","Lotus_cytisoides",7.48056,43.75
"347010","Lotus_cytisoides",-1.82,37.16
"347378","Lotus_cytisoides",-1.87,37.03
"347481","Lotus_cytisoides",-2.04,36.87
"347543","Lotus_cytisoides",-2.77,36.69
"347589","Lotus_cytisoides",-1.84,37.08
"348865","Lotus_cytisoides",-0.02,38.87
"348957","Lotus_cytisoides",-1.9,36.98
"367437","Lotus_cytisoides",32.997222,34.602778
"371636","Lotus_cytisoides",16.47028,40.02667
"392116","Lotus_cytisoides",25.483056,35.295833
"393935","Lotus_cytisoides",-2.5833,35.1333
"418547","Lotus_cytisoides",16.183683,38.7486
"418863","Lotus_cytisoides",12.822033,38.070983
"422821","Lotus_cytisoides",7.32667,43.67472
"422855","Lotus_cytisoides",6.89508,43.50415
"423967","Lotus_cytisoides",20.71768,38.84397
"424365","Lotus_cytisoides",26.016667,35.2
"424474","Lotus_cytisoides",21.366667,38.15
"426277","Lotus_cytisoides",8.90379,41.67433
"432254","Lotus_cytisoides",8.478717,35.8709
"432350","Lotus_cytisoides",23.933333,37.7
"433803","Lotus_cytisoides",26.133333,35.2
"451363","Lotus_cytisoides",8.456842,39.76946
"451414","Lotus_cytisoides",8.463111,39.413528
"451535","Lotus_cytisoides",8.404425,39.897383
"451747","Lotus_cytisoides",8.233388,40.917501
"451770","Lotus_cytisoides",8.261156,40.87021
"451771","Lotus_cytisoides",8.319037,40.55569
"451772","Lotus_cytisoides",8.279684,40.856617
"451773","Lotus_cytisoides",8.223077,40.912712
"451774","Lotus_cytisoides",8.308001,40.843197
"451775","Lotus_cytisoides",8.235049,40.913512
"451778","Lotus_cytisoides",8.228176,40.935752
"451779","Lotus_cytisoides",8.216196,40.898153
"451780","Lotus_cytisoides",8.240206,40.898629
"451781","Lotus_cytisoides",8.31258,40.842008
"451782","Lotus_cytisoides",8.180959,40.939705
"451783","Lotus_cytisoides",8.416808,40.531172
"451784","Lotus_cytisoides",8.240634,40.895479
"451815","Lotus_cytisoides",8.374116,40.83345
"451872","Lotus_cytisoides",8.780894,40.916436
"464922","Lotus_cytisoides",9,42
"469676","Lotus_cytisoides",13.98333,37.8
"469920","Lotus_cytisoides",35.44556,30.33028
"469970","Lotus_cytisoides",16.17111,38.94861
"470254","Lotus_cytisoides",10.99611,37.05778
"470257","Lotus_cytisoides",-4.61694,36.60917
"470651","Lotus_cytisoides",8.87806,41.65444
"471523","Lotus_cytisoides",15.80389,38.2925
"479102","Lotus_cytisoides",14.53333,36.9
"479553","Lotus_cytisoides",14,37.93333
"480811","Lotus_cytisoides",23.42306,38.49694
"482922","Lotus_cytisoides",15.05,38.13334
