"","species","lon","lat"
"12","Ludwigia_peploides",-73.73016,4.02208
"12504","Ludwigia_peploides",-80.754029,34.700907
"12555","Ludwigia_peploides",-79.1461,33.52
"12810","Ludwigia_peploides",-81.80087,33.649345
"13276","Ludwigia_peploides",-77.1767,38.9694
"13382","Ludwigia_peploides",-99.983,20.297
"13397","Ludwigia_peploides",-98.11389,19.03333
"13661","Ludwigia_peploides",-97.30889,20.00889
"14110","Ludwigia_peploides",150.867857,-33.714391
"19417","Ludwigia_peploides",-58.014444,-31.528056
"19603","Ludwigia_peploides",-84.906725,12.895444
"19632","Ludwigia_peploides",-93.27916,39.71111
"19688","Ludwigia_peploides",-85.16666,14.38333
"19693","Ludwigia_peploides",-94.3,37.83333
"19698","Ludwigia_peploides",-90.4078,38.9069
"19711","Ludwigia_peploides",-57.41666,-25.28333
"19869","Ludwigia_peploides",-102.015833,20.291111
"19884","Ludwigia_peploides",-58.128333,-28.742778
"19922","Ludwigia_peploides",-92.33,18.1
"20909","Ludwigia_peploides",3.465401,51.307835
"27209","Ludwigia_peploides",-122.05407,37.01825
"27328","Ludwigia_peploides",-121.7684,36.6801
"27362","Ludwigia_peploides",-81.856111,33.310833
"27374","Ludwigia_peploides",-99.271667,23.436944
"27444","Ludwigia_peploides",-92.15055,38.76527
"27498","Ludwigia_peploides",-90.491111,36.500778
"27665","Ludwigia_peploides",-89.346389,36.717778
"27719","Ludwigia_peploides",-90.368056,38.618056
"27935","Ludwigia_peploides",-75.383556,0.758056
"27976","Ludwigia_peploides",-91.290409,33.733787
"28002","Ludwigia_peploides",-83.9742,22.1411
"34510","Ludwigia_peploides",4.3335,43.549667
"34897","Ludwigia_peploides",4.805,51.813333
"35328","Ludwigia_peploides",-56.63333,-16.46666
"35399","Ludwigia_peploides",-92.1318,38.7415
"35444","Ludwigia_peploides",-92.65,18.25
"35487","Ludwigia_peploides",-89.086111,15.424167
"35532","Ludwigia_peploides",-101.741667,19.662778
"37113","Ludwigia_peploides",-75.184956,8.551344
"37184","Ludwigia_peploides",-49.635556,-28.141944
"38870","Ludwigia_peploides",120.854583,24.467764
"39072","Ludwigia_peploides",-85.426111,11.921389
"39100","Ludwigia_peploides",-90.691,39.029
"39213","Ludwigia_peploides",-76.45,8.533333
"39263","Ludwigia_peploides",-71.16666,-35.83333
"39354","Ludwigia_peploides",-100.95,19.733889
"39389","Ludwigia_peploides",-90.27194,36.785
"39589","Ludwigia_peploides",-89.96583,36.24305
"39628","Ludwigia_peploides",-92.52,18.11
"39652","Ludwigia_peploides",-60.95,-21.75
"40115","Ludwigia_peploides",-78.151003,37.046816
"40189","Ludwigia_peploides",-90.783559,34.416073
"40190","Ludwigia_peploides",-91.345311,34.016858
"40191","Ludwigia_peploides",-91.116457,34.326253
"40192","Ludwigia_peploides",-91.786497,33.928126
"42297","Ludwigia_peploides",144.370278,-15.178056
"43824","Ludwigia_peploides",150.0218,-25.4375
"43925","Ludwigia_peploides",144.5938,-19.7914
"44051","Ludwigia_peploides",150.0432,-25.4511
"44062","Ludwigia_peploides",145.01126,-28.15969
"44076","Ludwigia_peploides",151.983283,-25.125638
"44080","Ludwigia_peploides",145.00015,-28.16278
"44089","Ludwigia_peploides",150.021,-25.4556
"44091","Ludwigia_peploides",150.0248,-25.4314
"44094","Ludwigia_peploides",150.0282,-25.4589
"44097","Ludwigia_peploides",150.0254,-25.4225
"44108","Ludwigia_peploides",149.363,-25.3547
"44132","Ludwigia_peploides",147.2033,-24.8089
"44142","Ludwigia_peploides",150.006,-25.4422
"44166","Ludwigia_peploides",144.49545,-20.09008
"44180","Ludwigia_peploides",150.87448,-26.5637
"44212","Ludwigia_peploides",145.4022,-23.2789
"44224","Ludwigia_peploides",151.8332,-25.9095
"44240","Ludwigia_peploides",145.581306,-20.008861
"44287","Ludwigia_peploides",150.0429,-25.4478
"44355","Ludwigia_peploides",151.317733,-24.048421
"44357","Ludwigia_peploides",152.844172,-27.924351
"44469","Ludwigia_peploides",145.03125,-18.08038
"44478","Ludwigia_peploides",149.5167,-22.3464
"44642","Ludwigia_peploides",-93.666814,31.632508
"44914","Ludwigia_peploides",-56.191389,-30.337778
"44920","Ludwigia_peploides",-49.635556,-28.141944
"49962","Ludwigia_peploides",-86.595,30.39638
"50387","Ludwigia_peploides",-86.68333,13.45
"50421","Ludwigia_peploides",-86.7,13.45
"52048","Ludwigia_peploides",142.769252,-20.726819
"53154","Ludwigia_peploides",141.685349,-16.862964
"53533","Ludwigia_peploides",-117.491667,33.8
"53542","Ludwigia_peploides",-118.79458,34.39767
"53754","Ludwigia_peploides",-117.683333,33.871111
"53833","Ludwigia_peploides",-120.830278,38.687222
"54667","Ludwigia_peploides",-81.856111,33.310833
"56137","Ludwigia_peploides",140.83793,-27.70147
"61933","Ludwigia_peploides",-75.016389,40.428056
"62275","Ludwigia_peploides",-66.240556,18.037222
"63787","Ludwigia_peploides",149.1611,-35.3036
"63823","Ludwigia_peploides",153.0061,-30.1347
"63864","Ludwigia_peploides",150.3031,-28.5392
"63918","Ludwigia_peploides",3.12327,43.41738
"63920","Ludwigia_peploides",3.14375,43.40392
"64005","Ludwigia_peploides",-81.907916,34.546305
"64951","Ludwigia_peploides",-39.15,-12.15
"64962","Ludwigia_peploides",-40.948889,-11.9375
"65014","Ludwigia_peploides",-39.206111,-11.2025
"65033","Ludwigia_peploides",-39.05,-12.05
"65102","Ludwigia_peploides",-39.385833,-12.3875
"65105","Ludwigia_peploides",-38.875278,-11.878333
"65120","Ludwigia_peploides",-39.150833,-12.159722
"65231","Ludwigia_peploides",-42.464444,-14.464722
"65350","Ludwigia_peploides",-39.405278,-12.414722
"65459","Ludwigia_peploides",-39.151111,-12.160278
"65480","Ludwigia_peploides",-41.816667,-13.816667
"65554","Ludwigia_peploides",-39.1,-12.1
"65591","Ludwigia_peploides",-41.8,-13.8
"65595","Ludwigia_peploides",-38.478056,-12.478056
"65615","Ludwigia_peploides",-38.874444,-11.878889
"67964","Ludwigia_peploides",4.333333,51.725
