"","species","lon","lat"
"55481","Macrobrachium_rosenbergii",76.93,10.58
"70855","Macrobrachium_rosenbergii",90.599998,23.65
"93220","Macrobrachium_rosenbergii",142.633333,-12.45
"93235","Macrobrachium_rosenbergii",145.0675,-15.116944
"94502","Macrobrachium_rosenbergii",76.93,10.58
"149299","Macrobrachium_rosenbergii",98.04716,14.5922
"149305","Macrobrachium_rosenbergii",95.12299,22.11395
"149311","Macrobrachium_rosenbergii",95.26631,21.49844
"149315","Macrobrachium_rosenbergii",98.2456,14.7246
"149317","Macrobrachium_rosenbergii",95.01982,21.2963
"149334","Macrobrachium_rosenbergii",96.00702,21.90265
"149338","Macrobrachium_rosenbergii",95.20013,21.75447
"153519","Macrobrachium_rosenbergii",77.93,17.75
"165097","Macrobrachium_rosenbergii",131.083333,-13.866667
"165101","Macrobrachium_rosenbergii",131.383333,-12.833333
"165104","Macrobrachium_rosenbergii",132.75,-12.05
"165110","Macrobrachium_rosenbergii",130.216667,-16.85
"165116","Macrobrachium_rosenbergii",126.116667,-16.533333
"184050","Macrobrachium_rosenbergii",128.739,-15.779
"214123","Macrobrachium_rosenbergii",10.03645,-2.617317
"214124","Macrobrachium_rosenbergii",10.097167,-2.641583
"251734","Macrobrachium_rosenbergii",73.051,22.3411
"257271","Macrobrachium_rosenbergii",127.7161,-15.76442
"257337","Macrobrachium_rosenbergii",-46.629944,-1.033694
"303515","Macrobrachium_rosenbergii",90.6,23.65
"303516","Macrobrachium_rosenbergii",79.45,11.14
"314223","Macrobrachium_rosenbergii",141.89031,-12.50943
"315897","Macrobrachium_rosenbergii",-66.46936,18.2225
"351061","Macrobrachium_rosenbergii",77.93,17.7513
"352096","Macrobrachium_rosenbergii",92.339996,20.76
"362392","Macrobrachium_rosenbergii",120.49618,22.86813
"362953","Macrobrachium_rosenbergii",120.43457,22.68569
"363245","Macrobrachium_rosenbergii",120.17824,23.51445
"363910","Macrobrachium_rosenbergii",120.60425,22.57808
"364876","Macrobrachium_rosenbergii",120.57864,22.58432
"453137","Macrobrachium_rosenbergii",142.166667,-12.383333
"453143","Macrobrachium_rosenbergii",142.5,-11.833333
"453145","Macrobrachium_rosenbergii",141.233333,-5.35
"453152","Macrobrachium_rosenbergii",142.933333,-13.433333
"472050","Macrobrachium_rosenbergii",79.4509,11.1444
