"","species","lon","lat"
"3073","Malva_sylvestris",22.172382,60.435759
"9907","Malva_sylvestris",25.639114,60.983031
"10055","Malva_sylvestris",24.747268,60.161173
"12285","Malva_sylvestris",3.282222,50.991944
"12336","Malva_sylvestris",13.03076,55.48056
"12814","Malva_sylvestris",19.866667,50.05
"20310","Malva_sylvestris",-87.661486,41.970949
"20392","Malva_sylvestris",9.62829,44.14403
"20410","Malva_sylvestris",9.775407,44.076684
"20411","Malva_sylvestris",9.638981,44.133635
"20531","Malva_sylvestris",9.798158,44.069019
"20744","Malva_sylvestris",8.232066,44.096357
"20745","Malva_sylvestris",8.178823,44.081919
"20746","Malva_sylvestris",9.795599,44.075591
"20878","Malva_sylvestris",5.226658,53.031317
"21577","Malva_sylvestris",20.76556,38.9375
"21578","Malva_sylvestris",20.89667,39.08778
"21584","Malva_sylvestris",21.11583,39.20861
"22118","Malva_sylvestris",21.56611,38.87611
"22119","Malva_sylvestris",21.60889,38.89083
"22120","Malva_sylvestris",21.56833,38.96611
"22121","Malva_sylvestris",21.37556,38.61556
"22122","Malva_sylvestris",21.19167,38.66306
"22123","Malva_sylvestris",21.44722,38.66028
"22124","Malva_sylvestris",21.22889,38.59944
"22125","Malva_sylvestris",21.35611,38.68083
"22126","Malva_sylvestris",21.20972,38.68833
"22127","Malva_sylvestris",21.33833,38.73417
"22128","Malva_sylvestris",21.86972,38.77306
"22129","Malva_sylvestris",21.81722,38.55139
"22130","Malva_sylvestris",21.86139,38.68611
"22131","Malva_sylvestris",21.86278,38.6875
"22132","Malva_sylvestris",21.67111,38.56694
"22133","Malva_sylvestris",21.88028,38.43861
"22134","Malva_sylvestris",21.79917,38.39694
"22135","Malva_sylvestris",21.51389,38.43194
"22136","Malva_sylvestris",21.59639,38.34528
"22137","Malva_sylvestris",21.84167,38.38944
"22138","Malva_sylvestris",21.72028,38.34333
"22139","Malva_sylvestris",21.73583,38.33667
"22140","Malva_sylvestris",21.65278,38.74667
"22141","Malva_sylvestris",21.40861,38.61694
"22142","Malva_sylvestris",21.48389,38.63861
"22143","Malva_sylvestris",21.785,38.58639
"22144","Malva_sylvestris",21.57861,38.61833
"22145","Malva_sylvestris",21.66833,38.49056
"22146","Malva_sylvestris",21.61028,38.68694
"22147","Malva_sylvestris",21.65889,38.59444
"22148","Malva_sylvestris",21.63778,38.58528
"22149","Malva_sylvestris",21.61861,38.56667
