"","species","lon","lat"
"12256","Medicago_monspeliaca",-3.91,34.229999
"21237","Medicago_monspeliaca",21.85583,38.76833
"21629","Medicago_monspeliaca",24.77444,41.07472
"21630","Medicago_monspeliaca",24.79861,40.97306
"21633","Medicago_monspeliaca",25.01389,41.12778
"21634","Medicago_monspeliaca",24.72472,41.16861
"21635","Medicago_monspeliaca",25.33917,41.1425
"21637","Medicago_monspeliaca",25.68806,41.02861
"21638","Medicago_monspeliaca",24.76,41.09278
"21639","Medicago_monspeliaca",25.1275,41.00667
"21640","Medicago_monspeliaca",23.11444,40.49167
"21641","Medicago_monspeliaca",24.88722,41.01361
"21642","Medicago_monspeliaca",23.25889,40.46833
"21643","Medicago_monspeliaca",23.59222,40.53278
"21644","Medicago_monspeliaca",25.4,41.14694
"21645","Medicago_monspeliaca",25.47361,41.135
"21646","Medicago_monspeliaca",23.00306,40.45778
"21647","Medicago_monspeliaca",23.12944,40.505
"21648","Medicago_monspeliaca",23.02806,40.54611
"21649","Medicago_monspeliaca",25.38861,41.11389
"21650","Medicago_monspeliaca",23.0475,40.52611
"21651","Medicago_monspeliaca",23.01778,40.44472
"21654","Medicago_monspeliaca",23.00278,40.64972
"21677","Medicago_monspeliaca",22.98333,38.88361
"21678","Medicago_monspeliaca",23.26056,38.33306
"21679","Medicago_monspeliaca",23.26139,38.31278
"21680","Medicago_monspeliaca",23.52333,38.31194
"21681","Medicago_monspeliaca",23.24917,38.4825
"21682","Medicago_monspeliaca",22.66056,38.42472
"21683","Medicago_monspeliaca",23.06389,38.50417
"21684","Medicago_monspeliaca",23.1475,38.36111
"21685","Medicago_monspeliaca",22.91917,38.50194
"21686","Medicago_monspeliaca",23.45667,38.17306
"21687","Medicago_monspeliaca",22.41389,38.44722
"21688","Medicago_monspeliaca",22.45167,38.43
"21689","Medicago_monspeliaca",22.40028,38.42917
"21690","Medicago_monspeliaca",22.52,38.44528
"21691","Medicago_monspeliaca",22.51917,38.42278
"21692","Medicago_monspeliaca",22.66417,38.47556
"22726","Medicago_monspeliaca",22.22056,37.78028
"22727","Medicago_monspeliaca",22.13806,37.94333
"22728","Medicago_monspeliaca",22.13556,37.91028
"22729","Medicago_monspeliaca",22.015,37.83806
"22730","Medicago_monspeliaca",22.22972,37.86167
"22800","Medicago_monspeliaca",22.06111,37.99806
"22801","Medicago_monspeliaca",22.05528,37.96611
"22802","Medicago_monspeliaca",21.88944,38.0375
"22803","Medicago_monspeliaca",22.16222,37.83694
"22804","Medicago_monspeliaca",21.94444,38.01167
"22805","Medicago_monspeliaca",21.98861,38.02861
"22806","Medicago_monspeliaca",21.87778,38.03917
"22808","Medicago_monspeliaca",23.32778,38.16333
"22809","Medicago_monspeliaca",21.98111,38.22306
"22810","Medicago_monspeliaca",22.08028,38.15333
"23914","Medicago_monspeliaca",20.97417,39.70583
"23915","Medicago_monspeliaca",21.00194,39.70417
"23925","Medicago_monspeliaca",21.49,40.64528
"23926","Medicago_monspeliaca",21.74917,40.65278
"23927","Medicago_monspeliaca",21.82583,40.72472
"23928","Medicago_monspeliaca",21.59472,39.72056
"23929","Medicago_monspeliaca",21.55556,39.81722
"23930","Medicago_monspeliaca",21.8,40.50167
"23931","Medicago_monspeliaca",21.68139,40.67278
"23932","Medicago_monspeliaca",21.72333,40.71306
"23933","Medicago_monspeliaca",21.75806,40.74389
"23934","Medicago_monspeliaca",21.53722,40.65472
"23937","Medicago_monspeliaca",21.46,40.29111
"23938","Medicago_monspeliaca",21.40778,40.35361
"23939","Medicago_monspeliaca",21.49944,40.34333
"23940","Medicago_monspeliaca",21.68694,40.52278
"23941","Medicago_monspeliaca",21.79917,40.60194
"23942","Medicago_monspeliaca",21.65889,40.29028
