"","species","lon","lat"
"12349","Mikania_scandens",-82.297,34.612
"12389","Mikania_scandens",-80.529731,33.945321
"12390","Mikania_scandens",-81.3359,34.2749
"12477","Mikania_scandens",-80.9824,33.8883
"12487","Mikania_scandens",-80.678499,34.580234
"12488","Mikania_scandens",-81.207268,34.205932
"12510","Mikania_scandens",-80.8178,33.9153
"12595","Mikania_scandens",-80.6763,32.795
"12600","Mikania_scandens",-79.7026,34.2896
"12604","Mikania_scandens",-81.312918,33.478037
"12624","Mikania_scandens",-79.9942,34.6839
"12636","Mikania_scandens",-81.2041,33.8374
"12667","Mikania_scandens",-81.6502,34.6083
"12675","Mikania_scandens",-81.273946,33.538027
"12676","Mikania_scandens",-96.331306,31.5075
"12687","Mikania_scandens",-79.1461,33.52
"12710","Mikania_scandens",-81.15529,33.4044
"12722","Mikania_scandens",-85.8465,33.589694
"12739","Mikania_scandens",-84.803869,29.890239
"12748","Mikania_scandens",-80.598224,33.157309
"12774","Mikania_scandens",-80.640308,32.775472
"12876","Mikania_scandens",-80.697082,34.335136
"12884","Mikania_scandens",-80.4375,32.8554
"12889","Mikania_scandens",-81.992056,34.499222
"12908","Mikania_scandens",-81.077778,33.937222
"12923","Mikania_scandens",-81.198394,34.058882
"13023","Mikania_scandens",-79.9898,33.5614
"13079","Mikania_scandens",-80.1756,34.0957
"13105","Mikania_scandens",-80.904732,34.085057
"13111","Mikania_scandens",-81.187,33.3796
"13126","Mikania_scandens",-80.641,33.9824
"13174","Mikania_scandens",-77.0575,38.8822
"13188","Mikania_scandens",-74.4868,40.7206
"19475","Mikania_scandens",-90.491111,36.500778
"20897","Mikania_scandens",117.666667,0.833333
"20944","Mikania_scandens",116.633333,-0.75
"27366","Mikania_scandens",-81.840733,33.338083
"27952","Mikania_scandens",-82.642069,30.234228
"27996","Mikania_scandens",-81.26833,28.55244
"34765","Mikania_scandens",126.25,8.333333
"35229","Mikania_scandens",-90.41861,36.80361
"37168","Mikania_scandens",-92.376212,34.959686
"37169","Mikania_scandens",-90.624206,34.595662
"37170","Mikania_scandens",-92.64679,34.888239
"37497","Mikania_scandens",117.583333,0.733333
"40208","Mikania_scandens",-90.625122,34.595421
"40209","Mikania_scandens",-92.64679,34.888239
"40210","Mikania_scandens",-91.699405,33.844534
"40211","Mikania_scandens",-92.376212,34.959686
