"","species","lon","lat"
"8","Mimosa_pudica",-73.72019,4.02997
"10","Mimosa_pudica",-73.73419,4.03558
"11","Mimosa_pudica",-73.71716,3.97583
"13","Mimosa_pudica",-73.68216,3.89341
"14","Mimosa_pudica",-73.72841,4.06372
"15","Mimosa_pudica",-73.73311,4.04413
"12212","Mimosa_pudica",-4.983889,10.204722
"13231","Mimosa_pudica",-60.08,-2.32
"13381","Mimosa_pudica",-100.568,18.16236
"13452","Mimosa_pudica",-91.6,16.98
"13474","Mimosa_pudica",-90.9,16.8
"13763","Mimosa_pudica",-90.87,16.8
"19489","Mimosa_pudica",31.3244,1.43115
"19561","Mimosa_pudica",-83.766667,10.933333
"19671","Mimosa_pudica",-83.52,8.61
"19722","Mimosa_pudica",46.36138,-15.79694
"19738","Mimosa_pudica",-84.016667,11.583333
"19787","Mimosa_pudica",-84.963056,12.029445
"19899","Mimosa_pudica",-68.554722,-14.391389
"20362","Mimosa_pudica",-88.684767,17.217668
"20820","Mimosa_pudica",10.416667,1.541667
"20869","Mimosa_pudica",103.8,18.54
"27460","Mimosa_pudica",-89.93333,13.81666
"27485","Mimosa_pudica",-65.8,18.36666
"27589","Mimosa_pudica",-86.261667,13.385278
"27736","Mimosa_pudica",-85.430278,14.1
"27786","Mimosa_pudica",-89.11777,16.5225
"27817","Mimosa_pudica",-58.68,4.67
"27923","Mimosa_pudica",-76.45,-0.68
"28032","Mimosa_pudica",-67.790514,-10.035414
"28033","Mimosa_pudica",-59.25,2.08
"34670","Mimosa_pudica",99.166667,19.583333
"34948","Mimosa_pudica",105.845998,14.037262
"35041","Mimosa_pudica",-85.467,10.927
"35047","Mimosa_pudica",70.5682,23.9061
"35170","Mimosa_pudica",-88.95,13.88333
"35215","Mimosa_pudica",-83.49,8.69
"35268","Mimosa_pudica",32.58333,0.36666
"35404","Mimosa_pudica",-90.869667,16.796056
"35418","Mimosa_pudica",-65.866667,6.45
"35503","Mimosa_pudica",-85.666667,11.183333
"36954","Mimosa_pudica",-72.786944,5.012778
"36981","Mimosa_pudica",-73.768056,2.254444
"37015","Mimosa_pudica",-70.2725,5.601667
"37020","Mimosa_pudica",-70.991408,6.809467
"37047","Mimosa_pudica",-76.374389,3.049583
"37056","Mimosa_pudica",-76.113139,1.8775
"37088","Mimosa_pudica",-76.1775,3.570833
"37109","Mimosa_pudica",-76.182778,3.575833
"37121","Mimosa_pudica",-75.189867,8.551075
"37605","Mimosa_pudica",106.829444,-6.174444
"37919","Mimosa_pudica",120.338611,23.397778
"38403","Mimosa_pudica",120.8025,23.828889
"38432","Mimosa_pudica",120.573625,22.88787
"38517","Mimosa_pudica",120.7025,23.813333
"38525","Mimosa_pudica",120.596794,23.567435
"38555","Mimosa_pudica",120.933538,24.558756
"38736","Mimosa_pudica",120.835278,22.242778
"38860","Mimosa_pudica",120.39485,22.7551
"38979","Mimosa_pudica",-58.191784,-2.501543
"38982","Mimosa_pudica",-58.122964,-2.503321
"39089","Mimosa_pudica",-85.683333,13.366667
"39109","Mimosa_pudica",-85.616667,10.916667
"39166","Mimosa_pudica",47.093056,-24.890278
"39249","Mimosa_pudica",-83.75,9.16
"39298","Mimosa_pudica",-84.36666,11.11666
"39417","Mimosa_pudica",-84.00361,10.43138
"39464","Mimosa_pudica",-89.245,13.484444
"39615","Mimosa_pudica",48.068611,-14.215556
"39641","Mimosa_pudica",-84.241111,10.668056
"39689","Mimosa_pudica",-91.256667,16.985
"39789","Mimosa_pudica",-90.928139,16.794639
"39898","Mimosa_pudica",-72.82916,-12.64166
"39967","Mimosa_pudica",-88.375,18.508333
"39988","Mimosa_pudica",-90.0975,20.434722
"40003","Mimosa_pudica",-88.6030439,18.0742617
"40029","Mimosa_pudica",-88.3929099,18.4943032
"40262","Mimosa_pudica",9.67,4.8
"40281","Mimosa_pudica",-40.64,-19.44
"40298","Mimosa_pudica",-66.62,-14.5
"40302","Mimosa_pudica",-40.5,-11.88
"40326","Mimosa_pudica",-59.97,-2.88
"40361","Mimosa_pudica",-39.05,-13.35
"43823","Mimosa_pudica",142.888331,-13.31201
"43831","Mimosa_pudica",143.849686,-14.52658
"43854","Mimosa_pudica",143.539903,-13.917713
"43886","Mimosa_pudica",143.522991,-13.923339
"43901","Mimosa_pudica",144.74409,-15.246881
"43912","Mimosa_pudica",143.542267,-13.977546
"43913","Mimosa_pudica",146.451111,-19.09
"43957","Mimosa_pudica",143.576622,-14.107055
"43972","Mimosa_pudica",149.165953,-21.126284
"43995","Mimosa_pudica",144.68889,-15.248463
"44002","Mimosa_pudica",144.317158,-15.093283
"44033","Mimosa_pudica",142.609972,-11.731823
"44066","Mimosa_pudica",146.03074,-18.56588
"44071","Mimosa_pudica",144.692155,-15.24636
"44075","Mimosa_pudica",143.53673,-13.917214
"44114","Mimosa_pudica",143.548458,-13.917764
"44128","Mimosa_pudica",142.631046,-12.177849
"44148","Mimosa_pudica",142.848756,-13.214641
"44155","Mimosa_pudica",144.768469,-15.255851
"44159","Mimosa_pudica",143.516539,-13.924031
"44174","Mimosa_pudica",144.743666,-15.244662
"44181","Mimosa_pudica",143.550513,-13.917767
"44183","Mimosa_pudica",148.639039,-21.128618
"44233","Mimosa_pudica",143.311015,-13.710282
"44262","Mimosa_pudica",143.549239,-13.976608
"44283","Mimosa_pudica",143.166642,-13.942615
"44320","Mimosa_pudica",143.516008,-13.922029
"44337","Mimosa_pudica",144.767722,-15.254081
"44404","Mimosa_pudica",144.733521,-15.25946
"44408","Mimosa_pudica",143.299163,-13.70887
"44416","Mimosa_pudica",143.546291,-13.968105
"44433","Mimosa_pudica",143.553568,-13.95208
"44437","Mimosa_pudica",142.596087,-11.734803
"44443","Mimosa_pudica",145.12569,-15.021539
"44446","Mimosa_pudica",149.014434,-21.184789
"44458","Mimosa_pudica",143.546441,-13.968896
"44465","Mimosa_pudica",143.024157,-13.20439
"44468","Mimosa_pudica",143.312059,-13.709537
"44485","Mimosa_pudica",143.536536,-13.989736
"44494","Mimosa_pudica",143.543936,-13.918396
"44519","Mimosa_pudica",145.130717,-15.048638
"44623","Mimosa_pudica",-56.3282119,-14.7242715
"44722","Mimosa_pudica",114.160004,22.35
"44949","Mimosa_pudica",-36.396389,-7.625278
"49889","Mimosa_pudica",-90.64694,15.92416
"49921","Mimosa_pudica",-52.635555,5.106944
"49983","Mimosa_pudica",-77.933333,-1.5
"50034","Mimosa_pudica",-75.458333,-9.908333
"50043","Mimosa_pudica",-88.183333,13.883333
"50208","Mimosa_pudica",-84.00361,10.43138
"50220","Mimosa_pudica",47.093056,-24.890278
"50234","Mimosa_pudica",48.296944,-20.009167
"50286","Mimosa_pudica",-85.216667,13.3
"50415","Mimosa_pudica",38.81722,-4.84333
"52161","Mimosa_pudica",130.8544,-12.4381
"53347","Mimosa_pudica",-58.1167,5.36667
"54492","Mimosa_pudica",-43.806667,-19.886389
"54552","Mimosa_pudica",-0.005036,5.622378
"54557","Mimosa_pudica",-0.000592,5.623997
"54559","Mimosa_pudica",-0.002903,5.623358
"56382","Mimosa_pudica",-78.183,0.933
"61033","Mimosa_pudica",-85.40139,10.880556
"61050","Mimosa_pudica",-83.386,8.53749
"61053","Mimosa_pudica",-83.452778,9.972222
"61076","Mimosa_pudica",-85.059045,9.871623
"61134","Mimosa_pudica",-84.758083,10.454694
"61147","Mimosa_pudica",-84.739784,10.445426
"61151","Mimosa_pudica",-84.533333,9.775
"61192","Mimosa_pudica",-85.102999,9.576768
"61199","Mimosa_pudica",-84.457222,9.824167
"61239","Mimosa_pudica",-84.666667,10.35
"61240","Mimosa_pudica",-84.263889,9.922222
"61327","Mimosa_pudica",-84.00471,9.484421
"61348","Mimosa_pudica",-84.197222,10.722222
"61357","Mimosa_pudica",-84.570111,9.810028
"61359","Mimosa_pudica",-84.483528,9.892639
"61378","Mimosa_pudica",-83.906389,9.884167
"61384","Mimosa_pudica",-83.516667,8.7
"61398","Mimosa_pudica",-83.727432,9.676582
"61411","Mimosa_pudica",-83.380556,8.75
"61909","Mimosa_pudica",-65.8035,18.402667
"62365","Mimosa_pudica",-59.5217,2.99611
"62560","Mimosa_pudica",-48.128889,-25.068611
"62572","Mimosa_pudica",-47.077778,-24.441944
"62582","Mimosa_pudica",-44.839722,-23.340833
"63500","Mimosa_pudica",-97.4683,20.0819
"63544","Mimosa_pudica",9.88,-1.93
