"","species","lon","lat"
"12247","Mirabilis_jalapa",3.156111,50.933333
"12273","Mirabilis_jalapa",5.128611,51.172499
"12417","Mirabilis_jalapa",-80.1729,34.2926
"12716","Mirabilis_jalapa",-79.9898,33.5614
"12784","Mirabilis_jalapa",-80.9821,33.9524
"12813","Mirabilis_jalapa",-80.5638,33.5982
"12820","Mirabilis_jalapa",-81.993937,34.523804
"13488","Mirabilis_jalapa",-101.73667,21.99583
"13553","Mirabilis_jalapa",-91.083,16.733
"13566","Mirabilis_jalapa",-98.11389,19.033
"13569","Mirabilis_jalapa",-89.4619,14.25917
"13622","Mirabilis_jalapa",-105.065,21.43222
"13642","Mirabilis_jalapa",-89.80472,18.14194
"13684","Mirabilis_jalapa",-100.79833,21.21889
"13729","Mirabilis_jalapa",-98.2625,23.217
"13768","Mirabilis_jalapa",-89.45167,14.24639
"13778","Mirabilis_jalapa",-93.28833,15.98417
"14122","Mirabilis_jalapa",-4.92012,6.0921
"19509","Mirabilis_jalapa",-88.98333,16.71666
"19635","Mirabilis_jalapa",-96.300278,16.301667
"19766","Mirabilis_jalapa",-64.043055,-20.339167
"19830","Mirabilis_jalapa",-67.55,-14.366667
"19862","Mirabilis_jalapa",-86.26666,13.26666
"20033","Mirabilis_jalapa",110.05,25.25
"20614","Mirabilis_jalapa",9.728898,44.107159
"20934","Mirabilis_jalapa",120.777222,24.178056
"27272","Mirabilis_jalapa",-121.96644,37.03226
"27573","Mirabilis_jalapa",-89.45333,18.22777
"27625","Mirabilis_jalapa",-64.08555,-18.51805
"27682","Mirabilis_jalapa",-86.51666,13.5
"27724","Mirabilis_jalapa",-96.73,17.05
"27783","Mirabilis_jalapa",-93.12,16.91
"27946","Mirabilis_jalapa",-70.6528,19.5972
"27973","Mirabilis_jalapa",-89.07,17.08
"34941","Mirabilis_jalapa",5.921833,52.013167
"35301","Mirabilis_jalapa",-104.85,21.466667
"35308","Mirabilis_jalapa",-64.338889,-19.025556
"36947","Mirabilis_jalapa",-75.720333,5.696972
"37006","Mirabilis_jalapa",-74.115556,3.428611
"37277","Mirabilis_jalapa",-96.450278,16.958333
