"","species","lon","lat"
"12301","Morinda_citrifolia",50.45,-15.283333
"13380","Morinda_citrifolia",-94.9469,16.56083
"19600","Morinda_citrifolia",127.934222,0.526778
"27562","Morinda_citrifolia",-82.626944,9.611667
"27696","Morinda_citrifolia",-82.95277,9.86666
"34646","Morinda_citrifolia",118.255794,9.215143
"34698","Morinda_citrifolia",146.891667,-6.683333
"34721","Morinda_citrifolia",99.210974,1.597869
"34784","Morinda_citrifolia",127.934222,0.526778
"34856","Morinda_citrifolia",147.283333,-9.516667
"34995","Morinda_citrifolia",117,-1
"35213","Morinda_citrifolia",49.716667,-16.783333
"35315","Morinda_citrifolia",109.196389,11.721667
"35333","Morinda_citrifolia",-77.92065,-6.99025
"35795","Morinda_citrifolia",-57.9167,6.63333
"37414","Morinda_citrifolia",102.05,6.266667
"37586","Morinda_citrifolia",136.800755,-4.826965
"38022","Morinda_citrifolia",120.453324,22.450005
"38058","Morinda_citrifolia",120.315556,22.731667
"38508","Morinda_citrifolia",120.886037,23.922505
"38986","Morinda_citrifolia",-63.225963,-4.081857
"39030","Morinda_citrifolia",-86.86666,12.41666
"39444","Morinda_citrifolia",47.880278,-13.686667
"39561","Morinda_citrifolia",-85.9235,11.873111
"44944","Morinda_citrifolia",-40.870556,-9.6425
"49951","Morinda_citrifolia",127.934222,0.526778
"50058","Morinda_citrifolia",49.833056,-15.435278
"50391","Morinda_citrifolia",109.190278,11.727222
"51800","Morinda_citrifolia",144.616667,-14.362222
"51814","Morinda_citrifolia",125.315157,-9.303125
"52084","Morinda_citrifolia",125.753838,-9.158128
"52218","Morinda_citrifolia",134.815173,-12.35111
"52358","Morinda_citrifolia",131.22365,-12.42287
"52459","Morinda_citrifolia",135.991257,-12.140819
"52530","Morinda_citrifolia",124.230889,-16.370861
"52593","Morinda_citrifolia",134.586281,-12.078611
"52761","Morinda_citrifolia",136.801236,-12.506096
"52886","Morinda_citrifolia",136.367092,-13.156638
"52900","Morinda_citrifolia",133.076031,-11.571121
"53371","Morinda_citrifolia",-94.9469,16.5607
"56587","Morinda_citrifolia",112.166,1.333
"61036","Morinda_citrifolia",-82.952778,9.866667
"61182","Morinda_citrifolia",-82.825,9.738889
"61296","Morinda_citrifolia",-82.627217,9.611703
"61462","Morinda_citrifolia",-82.819833,9.715778
"62168","Morinda_citrifolia",-65.911111,18.446111
"65019","Morinda_citrifolia",-39.034167,-14.044167
"65521","Morinda_citrifolia",-38.965833,-12.951667
"67523","Morinda_citrifolia",-35.2,-5.833611
"67540","Morinda_citrifolia",110.666667,0.7
"67719","Morinda_citrifolia",132.2,-1.233333
"67894","Morinda_citrifolia",100.262778,5.234722
"67952","Morinda_citrifolia",119.4157,10.8715
"67993","Morinda_citrifolia",-52.35,4.9
"68029","Morinda_citrifolia",117.283333,2.083333
"68035","Morinda_citrifolia",118.252833,4.942
"68143","Morinda_citrifolia",147.160833,-7.39
"69635","Morinda_citrifolia",-60.146111,-12.741111
"70920","Morinda_citrifolia",110.599998,19.969999
"71892","Morinda_citrifolia",-59.517056,-10.003278
"81550","Morinda_citrifolia",80.17,13.04
"81887","Morinda_citrifolia",103.76361,13.42944
"84290","Morinda_citrifolia",101.56752,21.475834
"84446","Morinda_citrifolia",133.0739,-11.5739
