"","species","lon","lat"
"19854","Muhlenbergia_frondosa",-90.695288,37.683345
"20333","Muhlenbergia_frondosa",-88.362503,42.288463
"20336","Muhlenbergia_frondosa",-88.3645,42.289
"27998","Muhlenbergia_frondosa",-94.89465,39.38515
"37261","Muhlenbergia_frondosa",-75.26325,45.5845
"37279","Muhlenbergia_frondosa",-76.160583,45.525944
"37282","Muhlenbergia_frondosa",-73.648036,45.715669
"37285","Muhlenbergia_frondosa",-75.757583,45.416556
"37299","Muhlenbergia_frondosa",-76.160556,45.525917
"37315","Muhlenbergia_frondosa",-73.686,45.5492
"37334","Muhlenbergia_frondosa",-73.914,45.544
"39077","Muhlenbergia_frondosa",-90.20555,38.86666
"39819","Muhlenbergia_frondosa",-95.678333,40.499444
"40075","Muhlenbergia_frondosa",-78.299012,38.866767
"49700","Muhlenbergia_frondosa",-87.264717,44.864877
"49701","Muhlenbergia_frondosa",-87.82684,45.660602
"63470","Muhlenbergia_frondosa",-77.3055,39.544
"78988","Muhlenbergia_frondosa",-94.895787,39.38668
"92696","Muhlenbergia_frondosa",-95.191351,38.807679
"92740","Muhlenbergia_frondosa",-93.2287,39.3257
"92918","Muhlenbergia_frondosa",-96.849167,39.089722
"93066","Muhlenbergia_frondosa",-94.895062,39.390836
"93184","Muhlenbergia_frondosa",-95.363702,39.065633
"94622","Muhlenbergia_frondosa",-86.147517,43.943133
"94635","Muhlenbergia_frondosa",-85.99642,43.37671
"94688","Muhlenbergia_frondosa",-86.030986,43.332219
"95518","Muhlenbergia_frondosa",-73.1,45.6
"95527","Muhlenbergia_frondosa",-75.466667,45.633333
"95551","Muhlenbergia_frondosa",-71.533333,46.1
"95554","Muhlenbergia_frondosa",-73.778611,45.693056
"95556","Muhlenbergia_frondosa",-74.598056,45.668611
"136480","Muhlenbergia_frondosa",-90.467399,37.303876
"137529","Muhlenbergia_frondosa",-80.25,43.450001
"139286","Muhlenbergia_frondosa",-88.17179,41.581111
"140103","Muhlenbergia_frondosa",-89.5952,39.1878
"140976","Muhlenbergia_frondosa",-89.2723,46.52749
"141012","Muhlenbergia_frondosa",-85.98273,42.53662
"141057","Muhlenbergia_frondosa",-85.32184,42.27888
"143338","Muhlenbergia_frondosa",-84.268333,37.90056
"151111","Muhlenbergia_frondosa",-77.1759,38.9691
"153554","Muhlenbergia_frondosa",-80.470001,42.709999
"155391","Muhlenbergia_frondosa",-88.621595,38.995913
"155392","Muhlenbergia_frondosa",-72.6625,42.187778
"155393","Muhlenbergia_frondosa",-88.1029,39.6121
"155394","Muhlenbergia_frondosa",-88.250278,38.948611
"155395","Muhlenbergia_frondosa",-72.1,41.355556
"155396","Muhlenbergia_frondosa",-88.171111,39.420833
"155397","Muhlenbergia_frondosa",-88.23174,39.659771
"155401","Muhlenbergia_frondosa",-72.5,42.1
"157509","Muhlenbergia_frondosa",-80.247,43.449
"161230","Muhlenbergia_frondosa",-89.610192,37.719765
"163263","Muhlenbergia_frondosa",-90.898071,38.433944
"179767","Muhlenbergia_frondosa",-90.174026,38.274889
"179773","Muhlenbergia_frondosa",-88.765639,41.768917
"197896","Muhlenbergia_frondosa",-95.389758,45.638656
"197941","Muhlenbergia_frondosa",-92.924904,43.686474
"197946","Muhlenbergia_frondosa",-94.13,46.72
"197959","Muhlenbergia_frondosa",-92.812758,44.768259
"197969","Muhlenbergia_frondosa",-92.684577,44.56323
"197990","Muhlenbergia_frondosa",-92.400158,44.534983
"198021","Muhlenbergia_frondosa",-93.40242,44.792524
"198039","Muhlenbergia_frondosa",-94.732288,45.362225
"198065","Muhlenbergia_frondosa",-94.954944,43.932056
"213313","Muhlenbergia_frondosa",-79.0649,39.4829
"246449","Muhlenbergia_frondosa",-71.95,45.466667
"246506","Muhlenbergia_frondosa",-66.929167,47.978333
"246554","Muhlenbergia_frondosa",-72.2,46.566667
"247539","Muhlenbergia_frondosa",-90.467399,37.303876
"255263","Muhlenbergia_frondosa",-90.498333,37.207222
"264228","Muhlenbergia_frondosa",-80.49892,40.97962
"264335","Muhlenbergia_frondosa",-79.325029,40.10353
"264337","Muhlenbergia_frondosa",-76.052248,39.723072
"264340","Muhlenbergia_frondosa",-76.3,41.33333
"264403","Muhlenbergia_frondosa",-82.67079,41.368954
"264471","Muhlenbergia_frondosa",-79.214783,41.34193
"264534","Muhlenbergia_frondosa",-77.578333,40.852222
"264601","Muhlenbergia_frondosa",-80.237686,42.074757
"264677","Muhlenbergia_frondosa",-79.084722,40.379167
"264681","Muhlenbergia_frondosa",-79.2667,38.822011
"264685","Muhlenbergia_frondosa",-79.718582,40.11829
"264760","Muhlenbergia_frondosa",-80.385261,42.015068
"268301","Muhlenbergia_frondosa",-77.277834,39.062946
"282617","Muhlenbergia_frondosa",-80.805799,38.384064
"282620","Muhlenbergia_frondosa",-79.99956,39.047375
"287078","Muhlenbergia_frondosa",-75.5,45.5
"288473","Muhlenbergia_frondosa",-78.5581,39.5894
"295450","Muhlenbergia_frondosa",-90.1301,42.9603
"295468","Muhlenbergia_frondosa",-88.1792,41.3389
"295753","Muhlenbergia_frondosa",-88.9331,38.9428
"303811","Muhlenbergia_frondosa",-90.24962,37.30003
"304101","Muhlenbergia_frondosa",-94.00079,38.000371
"305957","Muhlenbergia_frondosa",-90.695288,37.683345
"312328","Muhlenbergia_frondosa",-97.271128,37.602588
"312387","Muhlenbergia_frondosa",-96.4175,42.286717
"312430","Muhlenbergia_frondosa",-96.527289,38.050184
"312449","Muhlenbergia_frondosa",-94.873492,38.135123
"312555","Muhlenbergia_frondosa",-96.4516,42.308212
"312717","Muhlenbergia_frondosa",-94.9002,39.3774
"312805","Muhlenbergia_frondosa",-94.8999,39.3796
"312983","Muhlenbergia_frondosa",-95.687794,38.590665
"312992","Muhlenbergia_frondosa",-95.437701,39.081429
"313091","Muhlenbergia_frondosa",-93.601482,38.744024
"313333","Muhlenbergia_frondosa",-92.480672,42.709425
"313337","Muhlenbergia_frondosa",-92.459187,42.759684
"313441","Muhlenbergia_frondosa",-95.838408,37.803586
"313446","Muhlenbergia_frondosa",-95.173479,37.305004
"313507","Muhlenbergia_frondosa",-95.333336,38.010277
"326916","Muhlenbergia_frondosa",-85.79701,42.4813
"335007","Muhlenbergia_frondosa",-89.85138,35.74803
"335016","Muhlenbergia_frondosa",-94.10609,36.33064
"344993","Muhlenbergia_frondosa",-78.5581,39.5894
"345038","Muhlenbergia_frondosa",-79.0649,39.4829
"350240","Muhlenbergia_frondosa",-89.57959,36.26055
"350768","Muhlenbergia_frondosa",-90.40033,37.25842
"353464","Muhlenbergia_frondosa",-75.895662,41.081209
"353465","Muhlenbergia_frondosa",-74.850682,41.358575
"353466","Muhlenbergia_frondosa",-75.893646,41.069579
"353467","Muhlenbergia_frondosa",-76.041561,39.732998
"353468","Muhlenbergia_frondosa",-75.709746,39.914287
"353469","Muhlenbergia_frondosa",-75.706483,41.036133
"353470","Muhlenbergia_frondosa",-75.310897,40.798011
"353559","Muhlenbergia_frondosa",-75.101643,40.525377
"359986","Muhlenbergia_frondosa",-79.78333,42.25
"360062","Muhlenbergia_frondosa",-79.710577,41.316055
"360068","Muhlenbergia_frondosa",-79.33333,40.35139
"360069","Muhlenbergia_frondosa",-79.450447,40.413869
"360075","Muhlenbergia_frondosa",-80.15046,41.58908
"360077","Muhlenbergia_frondosa",-80.371389,40.437778
"360118","Muhlenbergia_frondosa",-79.575049,41.32644
"360130","Muhlenbergia_frondosa",-80.0008,41.0075
"360144","Muhlenbergia_frondosa",-79.525833,40.361111
"360213","Muhlenbergia_frondosa",-79.590278,40.472222
"360215","Muhlenbergia_frondosa",-79.456282,40.915414
"360216","Muhlenbergia_frondosa",-77.453889,40.869722
"360282","Muhlenbergia_frondosa",-79.43966,39.99321
"360380","Muhlenbergia_frondosa",-79.75833,40.63872
"360381","Muhlenbergia_frondosa",-79.997502,41.799572
"360437","Muhlenbergia_frondosa",-79.540278,40.433333
"360442","Muhlenbergia_frondosa",-79.033333,41.7
"360446","Muhlenbergia_frondosa",-79.970751,41.584321
"360565","Muhlenbergia_frondosa",-80.48603,41.67108
"360569","Muhlenbergia_frondosa",-80.17811,40.937105
"361283","Muhlenbergia_frondosa",-91.323509,42.841
"361290","Muhlenbergia_frondosa",-91.359436,42.473003
"361291","Muhlenbergia_frondosa",-91.850784,43.292988
"361294","Muhlenbergia_frondosa",-91.382751,43.274963
"361297","Muhlenbergia_frondosa",-93.466095,42.037537
"361301","Muhlenbergia_frondosa",-91.725052,41.329403
"361305","Muhlenbergia_frondosa",-93.569717,41.68428
"361308","Muhlenbergia_frondosa",-93.93914,42.038601
"365415","Muhlenbergia_frondosa",-75.16611,40.52972
"365642","Muhlenbergia_frondosa",-72.66666,41.875
"365666","Muhlenbergia_frondosa",-72.70194,41.905
"365681","Muhlenbergia_frondosa",-74.49194,40.81916
"365717","Muhlenbergia_frondosa",-72.7025,41.905
"365737","Muhlenbergia_frondosa",-72.29166,41.90305
"365801","Muhlenbergia_frondosa",-74.48166,40.83611
"365821","Muhlenbergia_frondosa",-71.75027,42.30833
"366354","Muhlenbergia_frondosa",-92.63361,38.99888
"388981","Muhlenbergia_frondosa",-80.315998,42.724964
"388992","Muhlenbergia_frondosa",-79.931693,43.805535
"392113","Muhlenbergia_frondosa",-92.82138,38.96972
"392257","Muhlenbergia_frondosa",-90.40033,37.25842
"392286","Muhlenbergia_frondosa",-90.65833,38.46638
"429981","Muhlenbergia_frondosa",-90.2334,38.2248
"430592","Muhlenbergia_frondosa",-88.7656,41.7689
"430762","Muhlenbergia_frondosa",-88.4097,41.6264
"431947","Muhlenbergia_frondosa",-76.383852,40.249456
"433406","Muhlenbergia_frondosa",-94.65,37.916667
"433411","Muhlenbergia_frondosa",-94.91091,37.48684
"433436","Muhlenbergia_frondosa",-95.211111,34.284722
"433625","Muhlenbergia_frondosa",-94.917828,36.907062
"445192","Muhlenbergia_frondosa",-84.383417,42.7605
"445225","Muhlenbergia_frondosa",-85.359933,42.90365
"448156","Muhlenbergia_frondosa",-92.91944,39.13027
"452009","Muhlenbergia_frondosa",-78.5319,39.5666
"471549","Muhlenbergia_frondosa",-79.481944,40.379167
"471550","Muhlenbergia_frondosa",-77.236081,41.10836
"471553","Muhlenbergia_frondosa",-80.35,40.9
"471619","Muhlenbergia_frondosa",-78.21778,41.88722
"471680","Muhlenbergia_frondosa",-79.383333,40.140278
"471684","Muhlenbergia_frondosa",-79.908889,40.423611
"472034","Muhlenbergia_frondosa",-80.474,42.712
"473192","Muhlenbergia_frondosa",-92.759453,43.948283
"473305","Muhlenbergia_frondosa",-93.34395,43.888959
"473317","Muhlenbergia_frondosa",-93.859375,44.941647
"473345","Muhlenbergia_frondosa",-94.188579,45.904403
"473365","Muhlenbergia_frondosa",-96.313646,46.937308
"473375","Muhlenbergia_frondosa",-93.242692,46.120941
"473394","Muhlenbergia_frondosa",-91.954363,44.249964
"473413","Muhlenbergia_frondosa",-92.861009,46.026704
"473436","Muhlenbergia_frondosa",-94.230525,45.919475
"473483","Muhlenbergia_frondosa",-93.68774,44.672361
"473495","Muhlenbergia_frondosa",-94.509722,43.9925
"473502","Muhlenbergia_frondosa",-92.723218,43.505451
"473571","Muhlenbergia_frondosa",-91.340376,43.769506
"473574","Muhlenbergia_frondosa",-93.598889,44.735556
"473575","Muhlenbergia_frondosa",-93.958333,44.575278
"473588","Muhlenbergia_frondosa",-91.658359,43.769076
"473612","Muhlenbergia_frondosa",-92.653889,44.076944
"474051","Muhlenbergia_frondosa",-84.252922,42.044378
"474052","Muhlenbergia_frondosa",-86.00718,42.52393
"486978","Muhlenbergia_frondosa",-90.65833,38.46638
