"","species","lon","lat"
"12609","Mussaenda_philippica",-81.0831,34.008
"34841","Mussaenda_philippica",118.716667,9.883333
"35295","Mussaenda_philippica",-75.36666,7.2
"39577","Mussaenda_philippica",-84.52,9.91
"53319","Mussaenda_philippica",145.943611,-17.738795
"65104","Mussaenda_philippica",-38.975,-12.966944
"66026","Mussaenda_philippica",123.376588,13.632231
"67878","Mussaenda_philippica",121.083333,13.766667
"85381","Mussaenda_philippica",145.9831,-17.3925
"95211","Mussaenda_philippica",120.733889,22.731389
"133997","Mussaenda_philippica",-80.2504,25.71528
"172337","Mussaenda_philippica",-47.3314,-22.7392
"198398","Mussaenda_philippica",145.9831,-17.3925
"248979","Mussaenda_philippica",145.98416,-17.390965
"263358","Mussaenda_philippica",145.942774,-17.74013
"263776","Mussaenda_philippica",125.616667,7.1
"266912","Mussaenda_philippica",141.166667,-4.083333
"268187","Mussaenda_philippica",145.059722,-15.422222
"399150","Mussaenda_philippica",120.380833,16.75
"414652","Mussaenda_philippica",125.571944,8.777222
"418277","Mussaenda_philippica",122.303888,11.481944
"418406","Mussaenda_philippica",121.4,14.1
"436345","Mussaenda_philippica",122.166667,16.85
"436498","Mussaenda_philippica",122.916944,13.791111
"436598","Mussaenda_philippica",118.9654,9.9854
"460029","Mussaenda_philippica",120.583333,14.55
"460150","Mussaenda_philippica",121.2136,14.3224
"460173","Mussaenda_philippica",121.28,14.486667
"460188","Mussaenda_philippica",121.166667,14.85
"460880","Mussaenda_philippica",141.166667,-4.083333
